2017, INVENTORY, 53000
2016, INVENTORY, 54000
2015, INVENTORY, 52000
2014, INVENTORY, 53000
2013, INVENTORY, 59000
2012, INVENTORY, 60000
2011, INVENTORY, 57000
2010, INVENTORY, 64000
2009, INVENTORY, 63000
2008, INVENTORY, 58000
2007, INVENTORY, 60000
2006, INVENTORY, 64000
2005, INVENTORY, 64000
2004, INVENTORY, 68000
2003, INVENTORY, 74000
2002, INVENTORY, 70000
2001, INVENTORY, 67000
2000, INVENTORY, 84000
1999, INVENTORY, 80000
1998, INVENTORY, 89000
1997, INVENTORY, 79000
1996, INVENTORY, 69000
1995, INVENTORY, 73000
1994, INVENTORY, 75000
1993, INVENTORY, 100000
1992, INVENTORY, 105000
1991, INVENTORY, 110000
1990, INVENTORY, 112000
1989, INVENTORY, 108000
1988, INVENTORY, 102000
1987, INVENTORY, 92000
