Year, Data Item, Value
2017, INVENTORY, 12000
2016, INVENTORY, 16000
2015, INVENTORY, 14000
2014, INVENTORY, 15000
2013, INVENTORY, 13000
2012, INVENTORY, 10000
2011, INVENTORY, 9000
2010, INVENTORY, 10000
2009, INVENTORY, 10000
2008, INVENTORY, 10000
2007, INVENTORY, 10000
2006, INVENTORY, 10000
2005, INVENTORY, 9000
2004, INVENTORY, 8000
2003, INVENTORY, 7000
2002, INVENTORY, 7000
2001, INVENTORY, 8000
2000, INVENTORY, 7000
1999, INVENTORY, 8000
1998, INVENTORY, 8000
1997, INVENTORY, 9000
1996, INVENTORY, 8000
1995, INVENTORY, 8000
1994, INVENTORY, 9000
1993, INVENTORY, 9000
1992, INVENTORY, 9000
1991, INVENTORY, 10000
1990, INVENTORY, 10000
1989, INVENTORY, 9000
1988, INVENTORY, 9000
1987, INVENTORY, 9000
