Year, Data Item, Value
2017, INVENTORY, 7000
2016, INVENTORY, 7000
2015, INVENTORY, 8000
2014, INVENTORY, 7000
2013, INVENTORY, 6000
2012, INVENTORY, 6000
2011, INVENTORY, 7000
2010, INVENTORY, 9000
2009, INVENTORY, 9000
2008, INVENTORY, 10000
2007, INVENTORY, 14000
2006, INVENTORY, 14000
2005, INVENTORY, 16000
2004, INVENTORY, 14000
2003, INVENTORY, 16000
2002, INVENTORY, 17000
2001, INVENTORY, 13000
2000, INVENTORY, 15000
1999, INVENTORY, 13000
1998, INVENTORY, 16000
1997, INVENTORY, 17000
1996, INVENTORY, 16000
1995, INVENTORY, 17000
1994, INVENTORY, 19000
1993, INVENTORY, 23000
1992, INVENTORY, 28000
1991, INVENTORY, 35000
1990, INVENTORY, 36000
1989, INVENTORY, 37000
1988, INVENTORY, 42000
1987, INVENTORY, 46000
