Year, Data Item, Value
2017, INVENTORY, 8000
2016, INVENTORY, 8000
2015, INVENTORY, 10000
2014, INVENTORY, 12000
2013, INVENTORY, 10000
2012, INVENTORY, 7000
2011, INVENTORY, 8000
2010, INVENTORY, 11000
2009, INVENTORY, 11000
2008, INVENTORY, 11000
2007, INVENTORY, 14000
2006, INVENTORY, 15000
2005, INVENTORY, 15000
2004, INVENTORY, 16000
2003, INVENTORY, 17000
2002, INVENTORY, 18000
2001, INVENTORY, 22000
2000, INVENTORY, 23000
1999, INVENTORY, 24000
1998, INVENTORY, 23000
1997, INVENTORY, 24000
1996, INVENTORY, 22000
1995, INVENTORY, 23000
1994, INVENTORY, 25000
1993, INVENTORY, 24000
1992, INVENTORY, 25000
1991, INVENTORY, 28000
1990, INVENTORY, 30000
1989, INVENTORY, 33000
1988, INVENTORY, 30000
1987, INVENTORY, 30000
