Year, Data Item, Value
2017, INVENTORY, 255000
2016, INVENTORY, 280000
2015, INVENTORY, 290000
2014, INVENTORY, 280000
2013, INVENTORY, 265000
2012, INVENTORY, 260000
2011, INVENTORY, 250000
2010, INVENTORY, 265000
2009, INVENTORY, 270000
2008, INVENTORY, 225000
2007, INVENTORY, 255000
2006, INVENTORY, 225000
2005, INVENTORY, 220000
2004, INVENTORY, 215000
2003, INVENTORY, 215000
2002, INVENTORY, 225000
2001, INVENTORY, 235000
2000, INVENTORY, 235000
1999, INVENTORY, 224000
1998, INVENTORY, 225000
1997, INVENTORY, 240000
1996, INVENTORY, 240000
1995, INVENTORY, 240000
1994, INVENTORY, 260000
1993, INVENTORY, 245000
1992, INVENTORY, 240000
1991, INVENTORY, 225000
1990, INVENTORY, 245000
1989, INVENTORY, 235000
1988, INVENTORY, 245000
1987, INVENTORY, 260000
