Year, Data Item, Value
2017, INVENTORY, 77000
2016, INVENTORY, 84000
2015, INVENTORY, 73000
2014, INVENTORY, 68000
2013, INVENTORY, 69000
2012, INVENTORY, 62000
2011, INVENTORY, 71000
2010, INVENTORY, 71000
2009, INVENTORY, 62000
2008, INVENTORY, 49000
2007, INVENTORY, 46000
2006, INVENTORY, 49000
2005, INVENTORY, 51000
2004, INVENTORY, 56000
2003, INVENTORY, 58000
2002, INVENTORY, 50000
2001, INVENTORY, 48000
2000, INVENTORY, 52000
1999, INVENTORY, 52000
1998, INVENTORY, 58000
1997, INVENTORY, 60000
1996, INVENTORY, 60000
1995, INVENTORY, 60000
1994, INVENTORY, 60000
1993, INVENTORY, 60000
1992, INVENTORY, 80000
1991, INVENTORY, 85000
1990, INVENTORY, 80000
1989, INVENTORY, 70000
1988, INVENTORY, 65000
1987, INVENTORY, 75000
