Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBHM,America/Chicago,1989-01-01,39.92,62.06,37.94,62.06,4.60,13.81,,NW,5.00,10.00,,,29.97,30.19,SCT,partly cloudy,OVC,overcast,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-02,37.04,57.02,37.04,46.04,0.00,8.06,,N,1.00,10.00,0.01,,30.08,30.25,CLR,clear,OVC,overcast,-RA,light rain,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-03,44.06,62.06,33.08,60.98,3.45,18.41,29.92,NW,0.75,10.00,0.38,,29.90,30.20,CLR,clear,OVC,overcast,SHRA,showers of rain,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-04,30.92,51.08,17.96,35.06,0.00,9.21,,N,7.00,15.00,,,30.20,30.34,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-05,30.02,51.98,24.08,32.00,0.00,14.96,18.41,S,7.00,15.00,,,29.93,30.25,CLR,clear,OVC,overcast,TSRA,thunderstorm with rain,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-06,51.08,73.04,28.94,60.98,3.45,17.26,28.77,SW,3.00,10.00,0.14,,29.87,30.00,CLR,clear,OVC,overcast,SHRA,showers of rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-07,53.06,73.04,51.98,62.96,0.00,13.81,24.17,S,3.00,9.00,,,29.99,30.10,CLR,clear,OVC,overcast,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-08,42.98,66.92,24.08,62.96,3.45,16.11,32.22,N,4.00,10.00,0.22,,30.01,30.35,SCT,partly cloudy,OVC,overcast,SHRA,showers of rain,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-09,35.06,42.08,19.04,39.02,3.45,10.36,,NE,3.00,10.00,0.65,,30.26,30.42,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1989-01-10,39.92,51.98,39.92,48.02,3.45,6.90,,E,3.00,6.00,0.17,,30.33,30.43,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
