Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBHM,America/Chicago,1990-01-01,30.92,46.94,21.02,33.08,0.00,13.81,23.02,NW,7.00,15.00,,,30.14,30.45,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-02,32.00,48.92,24.08,28.94,3.45,10.36,,SE,10.00,15.00,,,30.37,30.49,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-03,33.98,60.08,28.04,51.08,0.00,11.51,,S,7.00,10.00,0.07,,30.18,30.38,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-04,55.04,62.96,50.00,57.92,0.00,14.96,23.02,S,2.00,10.00,0.14,,30.07,30.17,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-05,53.06,59.00,51.08,57.92,0.00,11.51,,N,0.12,6.00,1.29,,30.07,30.18,CLR,clear,OVC,overcast,RA,rain,SHRA,showers of rain,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-06,46.04,51.98,44.06,51.98,0.00,9.21,,N,4.00,6.00,0.12,,30.08,30.20,SCT,partly cloudy,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-07,44.96,50.00,42.98,48.92,2.30,10.36,,NE,3.00,6.00,0.75,,29.88,30.16,SCT,partly cloudy,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-08,35.06,51.98,33.98,46.04,0.00,13.81,,NW,2.00,10.00,0.09,,29.87,30.08,CLR,clear,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-09,33.08,60.08,33.08,44.06,0.00,20.71,26.47,SW,10.00,15.00,,,29.99,30.11,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-10,37.04,60.98,28.04,44.06,0.00,10.36,,NW,9.00,15.00,,,30.08,30.23,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-11,35.96,71.06,32.00,46.04,0.00,16.11,25.32,SW,10.00,15.00,,,29.88,30.10,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-12,33.08,51.98,10.94,26.96,3.45,23.02,35.67,NW,10.00,20.00,,,29.99,30.31,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-13,24.08,48.92,10.04,21.92,0.00,10.36,,N,10.00,20.00,,,30.32,30.50,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-14,28.94,53.96,17.06,26.96,0.00,14.96,,S,10.00,15.00,,,30.30,30.42,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-15,39.92,62.06,26.96,48.92,0.00,11.51,,S,9.00,15.00,,,30.32,30.40,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-16,39.92,71.06,39.02,51.08,0.00,12.66,,S,8.00,10.00,,,30.29,30.43,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-17,59.00,71.96,51.08,62.06,4.60,14.96,21.86,S,7.00,10.00,0.04,,30.18,30.30,SCT,partly cloudy,OVC,overcast,SHRA,showers of rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-18,57.02,62.96,57.02,60.98,0.00,20.71,,W,1.00,10.00,0.75,,30.17,30.27,SCT,partly cloudy,OVC,overcast,RA,rain,SHRA,showers of rain,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-19,55.94,69.98,55.94,60.08,0.00,12.66,,E,3.00,8.00,,,30.08,30.23,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KBHM,America/Chicago,1990-01-20,55.04,64.04,55.04,62.06,0.00,16.11,27.62,S,0.25,10.00,1.45,,29.91,30.08,SCT,partly cloudy,OVC,overcast,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,RA,rain,SHRA,showers of rain,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,
KBHM,America/Chicago,1990-01-21,35.96,55.04,33.98,53.06,0.00,16.11,24.17,W,5.00,15.00,,,30.01,30.17,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
