Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KLIT,America/Chicago,1987-01-01,24.08,48.92,24.08,35.06,0.00,17.26,26.47,NW,0.25,25.00,,,30.06,30.17,CLR,clear,OVC,overcast,FGDZ,drizzle with fog,FG,fog,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-02,24.98,51.08,23.00,33.08,0.00,11.51,,SE,10.00,30.00,,,30.09,30.23,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-03,33.08,41.00,33.08,35.96,4.60,21.86,31.07,E,0.50,10.00,,1.00,30.02,30.18,SCT,partly cloudy,OVC,overcast,-SN,light snow,-RA,light rain,FG,fog,-BLSN,light blowing snow,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-04,30.02,42.98,30.02,35.06,0.00,13.81,20.71,N,3.00,7.00,,,30.16,30.30,CLR,clear,OVC,overcast,FGDZ,drizzle with fog,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-05,28.04,48.92,28.04,37.94,0.00,8.06,,SE,3.00,7.00,,,30.08,30.33,CLR,clear,OVC,overcast,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-06,37.94,62.96,35.96,46.94,0.00,17.26,32.22,SW,6.00,10.00,,,29.95,30.09,CLR,clear,OVC,overcast,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-07,35.06,48.92,32.00,46.04,4.60,14.96,,NE,5.00,15.00,,,30.07,30.30,FEW,mostly clear,OVC,overcast,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-08,30.02,46.04,28.04,37.04,0.00,10.36,,NE,5.00,10.00,,,30.13,30.36,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-09,37.94,44.96,32.00,42.98,5.75,17.26,26.47,W,1.00,10.00,,,29.79,30.10,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1987-01-10,30.92,39.92,21.02,33.08,5.75,20.71,29.92,W,7.00,10.00,,,29.92,30.18,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
