Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KLIT,America/Chicago,1990-01-01,32.00,44.06,19.94,30.02,0.00,11.51,,SE,15.00,20.00,,,30.17,30.42,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-02,28.40,53.06,28.04,35.06,0.00,9.21,,S,6.00,20.00,,,30.22,30.40,CLR,clear,OVC,overcast,PL,ice pellets,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-03,44.06,57.92,35.96,51.98,0.00,12.66,19.56,S,3.00,15.00,,,29.97,30.20,SCT,partly cloudy,OVC,overcast,-RA,light rain,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-04,39.92,55.94,32.00,55.04,4.60,17.26,24.17,NW,2.00,7.00,,,29.97,30.23,FEW,mostly clear,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-05,33.08,44.06,28.04,33.08,4.60,9.21,,N,6.00,7.00,,,30.13,30.23,SCT,partly cloudy,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-06,33.98,50.00,30.02,35.06,0.00,6.90,,NW,7.00,20.00,,,30.16,30.28,CLR,clear,OVC,overcast,-DZ,light drizzle,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-07,33.98,46.94,28.94,33.98,0.00,6.90,,N,6.00,20.00,,,30.04,30.20,CLR,clear,OVC,overcast,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-08,30.02,60.98,28.04,37.94,0.00,14.96,,S,5.00,15.00,,,29.89,30.06,CLR,clear,SCT,partly cloudy,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-09,48.02,71.06,32.00,39.92,6.90,16.11,24.17,SW,10.00,15.00,,,29.84,30.14,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-10,35.96,69.08,30.92,35.96,0.00,16.11,,SW,10.00,20.00,,,30.01,30.25,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-11,48.02,71.06,10.94,35.96,0.00,16.11,25.32,N,20.00,25.00,,,29.92,30.19,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-12,33.98,48.02,1.04,12.92,4.60,16.11,23.02,NW,20.00,20.00,,,30.20,30.44,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-13,24.08,42.98,10.04,26.96,0.00,10.36,,SE,10.00,20.00,,,30.28,30.51,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-14,37.04,55.04,21.02,46.94,4.60,9.21,,S,7.00,20.00,,,30.09,30.27,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-15,46.04,64.94,42.98,55.04,0.00,8.06,,S,5.00,20.00,,,30.15,30.25,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-16,44.06,66.02,42.98,57.02,0.00,8.06,,SE,0.25,6.00,,,30.07,30.26,CLR,clear,OVC,overcast,-RA,light rain,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-17,55.94,66.92,53.96,64.04,0.00,13.81,,S,0.50,6.00,,,30.01,30.08,SCT,partly cloudy,OVC,overcast,TSRA,thunderstorm with rain,SHRA,showers of rain,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-18,42.08,57.92,39.02,55.94,0.00,11.51,,NE,0.50,7.00,,,30.08,30.31,SCT,partly cloudy,OVC,overcast,-RA,light rain,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-19,39.02,48.02,37.94,46.94,3.45,12.66,,E,0.25,4.00,,,29.83,30.25,SCT,partly cloudy,OVC,overcast,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-20,44.96,55.04,35.96,46.04,3.45,11.51,,W,2.00,10.00,,,29.87,30.06,SCT,partly cloudy,OVC,overcast,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-21,37.04,57.02,28.04,33.98,4.60,11.51,20.71,W,10.00,20.00,,,30.06,30.22,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-22,35.96,69.08,32.00,37.94,3.45,12.66,,W,10.00,20.00,,,30.03,30.17,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-23,48.02,66.92,33.98,42.08,5.75,17.26,26.47,SW,10.00,15.00,,,29.76,30.02,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-24,46.94,64.94,39.02,55.94,0.00,13.81,,S,7.00,15.00,,,29.66,29.87,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-25,35.06,50.00,14.00,35.96,6.90,23.02,35.67,W,15.00,25.00,,,29.75,30.16,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-26,28.94,62.96,17.96,26.96,3.45,14.96,23.02,S,10.00,20.00,,,30.00,30.18,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-27,48.92,64.94,28.94,51.98,3.45,13.81,21.86,S,7.00,20.00,,,29.98,30.13,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-28,37.04,50.00,35.06,42.08,5.75,10.36,,NE,3.00,7.00,,,30.01,30.26,BKN,mostly cloudy,OVC,overcast,RA,rain,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,
KLIT,America/Chicago,1990-01-29,37.94,55.04,26.96,37.04,4.60,13.81,,NW,4.00,20.00,,,29.92,30.05,CLR,clear,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
