Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,6.250240487062397,7.651391171993908,5.210350076103498,6.227336377473361,0.1778234398782344,1.6377777777777793,0.002200913242009133,3.3254520547945203,3.3372024353120264
1989,6.255282331511832,7.700856102003646,5.049599271402551,6.11959927140255,0.16686095931997572,1.6958257437765638,0.0024104432301153608,3.3266029143898006,3.338542805100182
1990,6.250350076103488,7.76141856925419,5.079719939117204,6.177089802130894,0.13266666666666665,1.5764809741248127,0.0012663622526636223,3.3275829528158285,3.3387549467275486
1991,6.3129254185692565,7.82328158295282,4.9275007610350094,6.18591171993911,0.13898630136986295,1.7340639269406424,0.0015951293759512936,3.326420091324201,3.33820091324201
1992,6.247719939117195,7.627171993911726,5.029418569254187,6.123719939117199,0.08577168949771684,1.5267366818873696,0.0033637747336377464,3.3263957382039537,3.338940639269403
1993,6.475009107468127,7.897795992714024,5.372276867030969,6.379872495446262,0.10508803885853056,1.6929781420765067,0.005036429872495445,3.3236399514268364,3.3358257437765655
1994,6.3890350076103655,7.813199391172003,5.344487062404866,6.373308980213088,0.17994824961948264,1.6832633181126362,0.006292237442922374,3.324934550989346,3.3368706240487063
1995,6.296103500761033,7.788541856925426,5.129308980213089,6.243007610350076,0.18309284627092862,1.5152115677321163,0.0024170471841704713,3.326812785388129,3.338155251141551
1996,6.329582952815819,7.7007610350076146,5.571171993911723,6.380048706240486,0.15856316590563152,1.4424079147640827,0.007086757990867577,3.3249284627092885,3.3362617960426193
1997,6.373916211293257,7.839489981785063,5.445992714025505,6.4546265938069185,0.22134790528233197,1.654936247723136,0.0037219186399514263,3.3254523375834815,3.33714632665452
1998,6.476267884322682,7.930185692541867,5.34322678843227,6.421363774733632,0.14001826484018262,1.7313394216133962,0.002188736681887366,3.323799086757988,3.3355403348554034
1999,6.205692541856931,7.56996651445966,5.455391171993907,6.440377473363775,0.0898934550989345,1.7203287671232912,0.0049284627092846265,3.3253242009132427,3.3366757990867555
2000,6.252706240487074,7.622952815829522,5.134459665144598,6.173692541856919,0.06462709284627087,1.6418477929984796,0.001351598173515981,3.329065449010653,3.3401552511415504
2001,6.318670309653921,7.657249544626591,5.3078506375227725,6.334790528233143,0.0693655130540376,1.685042501517912,0.003418336369156039,3.327610807528842,3.338782635094111
2002,6.2134185692541815,7.468925418569253,5.447226788432273,6.239445966514446,0.07589041095890404,1.6828127853881303,0.005083713850837136,3.326891933028919,3.338490106544901
2003,6.199445966514457,7.56130898021308,5.287445966514461,6.25621308980212,0.06051445966514456,1.6790867579908688,0.0011232876712328767,3.327832572298326,3.3391141552511425
2004,6.318076103500764,7.688377473363771,5.42393911719939,6.4116651445966415,0.06719330289193297,1.6509771689497728,0.0026940639269406384,3.325585996955863,3.336587519025876
2005,6.335446265938079,7.704790528233145,5.430255009107473,6.418779599271392,0.08548269581056459,1.6820552519732854,0.004659987856709168,3.325652701882209,3.337443837279902
2006,6.292322678843227,7.690350076103501,5.519391171993907,6.457747336377466,0.08186301369863004,1.640371385083716,0.005525114155251141,3.325799086757989,3.33630745814307
2007,6.351610350076109,7.778295281582946,5.104815829528161,6.20508980213089,0.06091628614916282,1.6833546423135501,0.0026818873668188726,3.3261826484018244,3.3378995433789953
2008,6.291939117199401,7.5935281582952845,4.867226788432266,5.9830076103500645,0.033933028919330296,1.6586057838660588,0.0015981735159817348,3.3267305936073024,3.3384596651445952
2009,6.371785063752287,7.722440801457193,4.9308014571948995,6.054298724954453,0.04014875531268975,1.6781268973891939,0.0036794171220400724,3.325239829993927,3.3372404371584703
2010,6.27445966514459,7.63615829528158,4.935007610350076,6.022952815829524,0.037111111111111116,1.6326971080669734,0.0015312024353120242,3.325789954337897,3.3369649923896474
2011,6.2182404870624035,7.514350076103495,4.928377473363777,5.945911719939121,0.039674277016742775,1.7178751902587452,0.006136986301369862,3.3239421613394233,3.335936073059361
2012,6.201528158295281,7.531829528158291,4.836541856925426,5.992158295281572,0.03917808219178084,1.6544140030441412,0.003449010654490106,3.3268127853881295,3.3385418569254193
2013,6.357850637522772,7.686648451730411,5.138287795992716,6.2065938069216715,0.0380540376442016,1.6445081967213129,0.00292956891317547,3.325916818457801,3.337544019429265
2014,6.367500761035011,7.763665144596645,4.971391171993912,6.126404870624041,0.027656012176560132,1.6458477929984803,0.0012846270928462708,3.3259330289193323,3.3376103500761034
2015,6.619884322678853,7.999993911719942,5.217966514459663,6.35511719939117,0.03185692541856926,1.6633424657534281,0.003016742770167427,3.3251811263318114,3.3361065449010674
2016,6.553802130898025,7.985308980213094,5.199445966514461,6.3794459665144565,0.0392115677321157,1.6791019786910213,0.0016712328767123285,3.3241948249619475,3.335592085235919
2017,6.483806921675785,7.8907468123861575,5.078561020036432,6.261238615664838,0.046083788706739515,1.754568913175473,0.002859744990892531,3.326071645415908,3.337547055251975
