Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KLAX,America/Los_Angeles,1987-01-01,48.02,62.06,42.08,55.04,3.45,8.06,,E,2.00,10.00,,,30.06,30.14,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-02,51.98,64.94,48.02,55.04,0.00,9.21,,NE,2.00,5.00,,,30.06,30.15,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-03,46.94,64.04,33.98,53.96,0.00,10.36,,SW,2.00,20.00,,,29.99,30.13,CLR,clear,OVC,overcast,-SHRA,showers of light rain,DZ,drizzle,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-04,51.08,57.92,46.04,55.04,3.45,11.51,,SE,2.00,15.00,0.82,,29.71,29.97,SCT,partly cloudy,OVC,overcast,RA,rain,SHRA,showers of rain,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-05,46.94,60.98,37.94,50.00,0.00,23.02,,W,7.00,35.00,0.03,,29.71,30.10,CLR,clear,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-06,44.96,55.04,39.02,46.04,0.00,13.81,18.41,E,4.00,35.00,0.40,,30.06,30.13,CLR,clear,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-07,46.94,59.00,37.04,48.02,4.60,11.51,,W,8.00,30.00,0.02,,30.02,30.16,CLR,clear,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-08,44.06,62.06,35.96,46.04,3.45,13.81,,NE,10.00,20.00,,,30.16,30.29,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-09,46.04,62.06,19.94,41.00,0.00,11.51,,SW,15.00,25.00,,,30.21,30.30,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-10,42.98,69.08,19.04,39.02,0.00,10.36,,E,15.00,80.00,,,30.13,30.23,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-11,46.94,78.08,15.98,42.98,3.45,12.66,,N,6.00,80.00,,,30.07,30.17,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-12,48.92,75.02,17.06,51.98,0.00,11.51,,W,6.00,60.00,,,30.04,30.16,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-13,48.92,66.02,24.98,53.06,3.45,9.21,,E,5.00,50.00,,,29.96,30.07,SCT,partly cloudy,OVC,overcast,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-14,46.04,66.92,24.08,51.98,0.00,13.81,,SW,6.00,20.00,,,29.88,30.00,CLR,clear,BKN,mostly cloudy,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-15,44.96,57.02,5.00,48.02,4.60,23.02,32.22,NW,10.00,25.00,,,29.73,29.88,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-16,42.08,53.96,3.92,14.00,4.60,17.26,24.17,N,20.00,70.00,,,29.87,30.04,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-17,33.98,57.02,10.04,30.02,0.00,13.81,,E,9.00,50.00,,,30.05,30.20,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-18,41.00,60.08,26.06,46.04,4.60,9.21,,E,10.00,50.00,,,30.14,30.28,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-19,42.98,59.00,26.96,48.92,0.00,12.66,,W,4.00,15.00,,,29.95,30.14,CLR,clear,SCT,partly cloudy,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-20,46.94,60.08,10.04,35.96,4.60,14.96,,SW,5.00,25.00,,,30.07,30.25,CLR,clear,CLR,clear,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-21,42.08,62.06,19.94,42.08,3.45,10.36,,W,10.00,40.00,,,30.19,30.29,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-22,41.00,64.04,26.96,50.00,0.00,13.81,,W,7.00,15.00,,,29.97,30.20,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-23,48.02,60.98,26.96,50.00,0.00,13.81,,SW,3.00,15.00,,,29.94,30.04,CLR,clear,OVC,overcast,SHRA,showers of rain,-SHRA,showers of light rain,DZ,drizzle,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-24,46.94,62.96,41.00,50.00,0.00,12.66,,SW,7.00,15.00,,,30.05,30.20,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-25,48.92,69.98,39.92,53.96,0.00,9.21,,SW,4.00,15.00,,,30.15,30.26,CLR,clear,OVC,overcast,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-26,57.92,78.98,30.02,53.06,0.00,12.66,,SW,6.00,80.00,,,30.07,30.20,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-27,55.04,68.00,42.08,55.94,0.00,9.21,,SW,4.00,15.00,,,29.99,30.08,SCT,partly cloudy,OVC,overcast,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-28,53.96,62.06,46.94,55.94,3.45,12.66,,SW,7.00,25.00,,,29.99,30.08,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-29,50.00,62.06,46.04,51.08,0.00,10.36,,E,10.00,20.00,,,30.04,30.11,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-30,50.00,60.08,39.92,50.00,0.00,13.81,,SW,7.00,25.00,,,29.94,30.05,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-01-31,46.04,64.04,37.94,48.92,3.45,12.66,21.86,SW,10.00,20.00,,,29.96,30.09,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-01,46.94,66.02,42.08,55.04,3.45,9.21,,SW,2.00,15.00,,,29.99,30.10,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-02,48.02,66.92,42.08,55.04,0.00,13.81,,SW,2.00,15.00,,,29.88,30.00,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-03,50.00,62.96,46.94,53.96,0.00,12.66,,SW,3.00,15.00,,,29.89,30.00,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-04,51.08,62.96,48.92,53.96,0.00,13.81,,SW,6.00,15.00,,,30.01,30.12,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-05,46.04,73.94,21.02,48.92,0.00,10.36,,SW,5.00,80.00,,,30.10,30.20,CLR,clear,SCT,partly cloudy,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-06,48.92,82.94,21.02,35.96,0.00,17.26,34.52,E,15.00,60.00,,,30.05,30.18,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-07,62.06,82.04,19.94,33.08,0.00,14.96,20.71,E,15.00,80.00,,,29.99,30.14,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-08,60.98,75.92,21.92,51.98,0.00,11.51,,E,6.00,80.00,,,29.92,30.05,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-09,57.92,64.94,42.08,57.02,3.45,18.41,23.02,SE,5.00,25.00,0.08,,29.95,30.00,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-10,57.92,66.92,55.04,59.00,3.45,11.51,,SW,3.00,15.00,0.01,,29.98,30.07,SCT,partly cloudy,OVC,overcast,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-11,57.02,64.04,55.94,59.00,0.00,14.96,,W,4.00,15.00,,,30.04,30.16,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1987-02-12,57.02,62.96,53.06,57.02,0.00,14.96,,W,7.00,20.00,,,30.13,30.23,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
