Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KLAX,America/Los_Angeles,1990-01-01,46.04,60.98,44.96,53.06,0.00,12.66,,W,0.00,15.00,,,30.00,30.17,SCT,partly cloudy,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-02,48.02,60.98,26.06,50.00,4.60,32.22,37.98,NW,7.00,40.00,0.15,,29.90,30.05,CLR,clear,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-03,46.04,62.06,28.94,42.98,0.00,10.36,,SW,10.00,35.00,,,30.07,30.27,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-04,44.06,62.06,15.08,39.02,0.00,9.21,,N,10.00,25.00,,,30.22,30.32,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-05,46.04,68.00,17.96,48.92,0.00,12.66,,W,10.00,50.00,,,30.21,30.29,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-06,46.94,71.06,21.02,55.04,0.00,10.36,,W,6.00,60.00,,,30.24,30.34,CLR,clear,BKN,mostly cloudy,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-07,46.94,62.06,33.98,53.06,0.00,13.81,,W,0.12,15.00,,,30.24,30.36,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-08,48.92,64.04,44.06,55.94,0.00,11.51,,W,3.00,10.00,,,30.07,30.24,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-09,48.92,69.08,46.94,57.02,0.00,12.66,,W,3.00,7.00,,,30.06,30.15,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-10,53.96,73.04,39.02,57.92,0.00,9.21,,W,0.25,50.00,,,30.02,30.16,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-11,51.08,60.98,51.08,53.96,0.00,12.66,,W,0.25,5.00,,,30.01,30.12,SCT,partly cloudy,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,
KLAX,America/Los_Angeles,1990-01-12,53.06,64.94,51.98,57.02,0.00,12.66,18.41,W,2.00,15.00,0.03,,30.01,30.10,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
