Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,1.2119316239316242,1.2513162393162391,0.8445470085470086,0.8614700854700854,0.2675042735042735,0.298991452991453,0.0,0.978034188034188,0.978153846153846
1989,0.9049382716049383,0.9452557319223984,0.5744620811287477,0.5849382716049382,0.11363315696649032,0.14410934744268078,0.0,0.5844797178130512,0.5846031746031746
1994,1.2816578483245151,1.3241975308641971,0.6784832451499117,0.7051499118165786,0.20902998236331571,0.24151675485008817,0.0,0.900705467372134,0.9008465608465608
1995,1.8753811149032988,2.6781114903299184,1.144118316268488,1.5308077360637107,0.16030337504740252,0.6686765263557071,0.0,1.2638680318543793,1.2689609404626467
1996,3.843585996955863,6.1252846270928485,2.5439695585996964,3.6765175038051736,0.20471232876712364,1.763573820395736,0.0014246575342465745,2.843604261796041,2.8611050228310506
1997,4.077304189435337,7.06724954462659,2.5323861566484513,4.009708561020037,0.2314936247723138,2.1655464480874276,0.0014663023679417123,3.322656344869459,3.3456739526411705
1998,4.12717199391172,6.762185692541861,2.8317199391171974,4.1561582952815845,0.2312359208523595,2.1553150684931484,0.00489497716894977,3.3271963470319625,3.3489193302891906
1999,4.239884322678839,7.035610350076103,2.788706240487062,4.1624596651445955,0.2155464231354647,2.0484383561643855,0.002928462709284626,3.3204748858447535,3.343494672754947
2000,4.307555555555555,7.158514459665147,2.690514459665144,4.093966514459666,0.23274885844748902,2.229275494672758,0.005875190258751904,3.3267610350076082,3.350167427701673
2001,4.205500910746814,7.171347905282334,2.63719489981785,4.099489981785065,0.23026715239830045,2.1917850637522798,0.004101396478445658,3.3264996964177276,3.3488676381299327
2002,4.393747336377476,7.078624048706236,2.7503500761035005,4.13911719939117,0.21900152207001558,2.194712328767126,0.004800608828006085,3.3247488584474896,3.3482222222222218
2003,4.154459665144597,7.051391171993915,2.2939665144596653,3.7846514459665133,0.23617656012176605,2.2225357686453613,0.0005631659056316593,3.3260365296803642,3.34869101978691
2004,4.265637747336376,7.068541856925415,2.6719939117199396,4.039665144596651,0.23135464231354683,2.1335768645357716,0.0038751902587518994,3.3263622526636243,3.3476073059360747
2005,4.214298724954464,7.023533697632054,2.8054462659380697,4.1579052823315115,0.26073163327261717,2.1378840315725594,0.004368548876745597,3.327738312082574,3.34881299332119
2006,4.289473363774733,7.212651445966513,2.554240487062406,4.04974733637747,0.24646879756468842,2.170770167427704,0.003792998477929983,3.326319634703192,3.3467853881278544
2007,4.299993911719937,7.259391171993907,2.3233911719939138,3.8547336377473385,0.2578417047184176,2.2784444444444447,0.002459665144596651,3.326971080669711,3.3493546423135463
2008,4.260103500761037,7.062021308980208,2.629747336377472,4.130240487062403,0.1921522070015222,2.1941308980213114,0.004191780821917807,3.3261917808219157,3.348203957382039
2009,4.1337522768670345,7.095227686703088,2.278287795992714,3.9179052823315152,0.19759866423800854,2.2519702489374622,0.002978142076502731,3.322027929568913,3.3462446873102625
2010,4.142952815829529,6.95243226788432,2.6404870624048704,4.063665144596649,0.18869406392694074,2.2060152207001535,0.004773211567732114,3.325607305936072,3.347342465753421
2011,4.27440487062405,7.1845966514459585,2.48317199391172,4.0671171993911726,0.1508249619482497,2.1275098934550956,0.003948249619482496,3.3224048706240477,3.3447366818873676
2012,4.2130898021309,7.121637747336379,2.1237199391171995,3.853418569254182,0.18561948249619487,2.4962465753424667,0.005111111111111112,3.3227732115677306,3.3453424657534234
2013,4.543260473588345,7.497632058287793,2.05047358834244,3.7840255009107446,0.21122040072859777,2.2886672738312117,0.002759562841530054,3.324921068609593,3.3468882817243477
2014,4.189528158295281,7.029308980213088,2.4106788432267896,3.9516103500761015,0.16977777777777778,2.231853881278541,0.004964992389649922,3.327016742770169,3.34832572298326
2015,4.205199391171994,7.08322678843227,2.5804870624048717,4.090733637747335,0.21811567732115725,2.256703196347033,0.005488584474885844,3.326015220700152,3.348420091324202
2016,4.440103500761035,7.176487062404871,2.8677199391171957,4.320432267884321,0.19322678843226798,2.122246575342468,0.00523896499238965,3.3274277016742793,3.350164383561644
2017,4.3795446265938045,7.315500910746818,2.599927140255009,4.081457194899815,0.21996660595021283,2.2328567091681863,0.0032999392835458396,3.3279599271402547,3.349435336976323
