Call Sign (String),Time Zone ID (String),Taken At (UTC) (ISO 8601),Taken At (Local) (ISO 8601),Is Regular Report (Boolean),Is Correction (Boolean),Has Been Corrected (Boolean),Has Precipitation Sensor (Boolean),Source (String),Sub-Source (String),Report Type (String),Trend (String),Airport Status (String),Automatic Type (String),Temperature (°F),Temperature Precision (Integer),Temperature 6-Hour Low (°F),Temperature 6-Hour High (°F),Temperature 24-Hour Low (°F),Temperature 24-Hour High (°F),Dew Point (°F),Dew Point Precision (Integer),Wind Speed (mph),Wind Direction (degrees),Gust Speed (mph),CAVOK (Boolean),Visibility (mi),Visibility Type (String),Precipitation 1h (in),Precipitation 3h (in),Precipitation 6h (in),Precipitation 24h (in),Snow Depth (in),Pressure Altimeter (in Hg),Pressure Station (in Hg),Pressure Sea Level (in Hg),Max Cloud Layer Code (String),Max Cloud Layer Height (ft),Cloud Layer Code 1 (String),Cloud Layer Label 1 (String),Cloud Layer Height 1 (ft),Cloud Layer Code 2 (String),Cloud Layer Label 2 (String),Cloud Layer Height 2 (ft),Cloud Layer Code 3 (String),Cloud Layer Label 3 (String),Cloud Layer Height 3 (ft),Cloud Layer Code 4 (String),Cloud Layer Label 4 (String),Cloud Layer Height 4 (ft),Cloud Layer Code 5 (String),Cloud Layer Label 5 (String),Cloud Layer Height 5 (ft),Cloud Layer Code 6 (String),Cloud Layer Label 6 (String),Cloud Layer Height 6 (ft),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Raw (String)
KDEN,America/Denver,1987-10-10T05:50:00,1987-10-09T23:50:00,true,false,false,false,Metar,DvdArchive,,,,,33.08,1,,62.06,,,24.08,1,11.51,340.00,,false,20.00,Value,,,,,,30.41,,,SCT,5500.00,SCT,partly cloudy,5500.00,SCT,partly cloudy,12000.00,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 100550Z 34010KT 20SM SCT055 SCT120 01/M04 A3041 RMK SLP290 T00061044 10167
KDEN,America/Denver,1987-10-10T07:50:00,1987-10-10T01:50:00,true,false,false,false,Metar,DvdArchive,,,,,28.94,1,,,,,23.00,1,8.06,350.00,,false,20.00,Value,,,,,,30.40,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 100750Z 35007KT 20SM CLR M02/M05 A3040 RMK SLP284 T10171050
KDEN,America/Denver,1987-10-12T04:53:00,1987-10-11T22:53:00,true,false,false,false,Metar,DvdArchive,,,,,42.98,1,,,,,17.96,1,5.75,190.00,,false,20.00,Value,,,,,,30.32,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 120453Z 19005KT 20SM CLR 06/M08 A3032 RMK SLP239 T00611078
KDEN,America/Denver,1987-10-12T06:50:00,1987-10-12T00:50:00,true,false,false,false,Metar,DvdArchive,,,,,41.00,1,,,,,19.04,1,5.75,160.00,,false,20.00,Value,,,,,,30.29,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 120650Z 16005KT 20SM CLR 05/M07 A3029 RMK SLP223 T00501072
KDEN,America/Denver,1987-10-12T08:50:00,1987-10-12T02:50:00,true,false,false,false,Metar,DvdArchive,,,,,33.08,1,,,,,21.92,1,4.60,170.00,,false,20.00,Value,,,,,,30.28,,,CLR,,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 120850Z 17004KT 20SM CLR 01/M06 A3028 RMK SLP226 T00061056
KDEN,America/Denver,1987-10-14T03:55:00,1987-10-13T21:55:00,true,false,false,false,Metar,DvdArchive,,,,,44.06,1,,,,,41.00,1,11.51,360.00,,false,10.00,LowerBound,,,,,,30.16,,,OVC,2600.00,SCT,partly cloudy,1500.00,OVC,overcast,2600.00,,,,,,,,,,,,,-RA,light rain,,,,,,,,,,,KDEN 140355Z 36010KT 10SM -RA SCT015 OVC026 07/05 A3016 RMK SLP174 T00670050
KDEN,America/Denver,1987-10-14T05:51:00,1987-10-13T23:51:00,true,false,false,false,Metar,DvdArchive,,,,,41.00,1,,73.94,,,39.02,1,8.06,350.00,,false,6.00,Value,,,,,,30.18,,,OVC,1400.00,SCT,partly cloudy,800.00,OVC,overcast,1400.00,,,,,,,,,,,,,-RA,light rain,,,,,,,,,,,KDEN 140551Z 35007KT 6SM -RA SCT008 OVC014 05/04 A3018 RMK SLP175 T00500039 10233
KDEN,America/Denver,1987-10-14T07:50:00,1987-10-14T01:50:00,true,false,false,false,Metar,DvdArchive,,,,,37.94,1,,,,,35.96,1,6.90,70.00,,false,7.00,Value,,,,,,30.18,,,OVC,1400.00,SCT,partly cloudy,600.00,OVC,overcast,1400.00,,,,,,,,,,,,,-RA,light rain,,,,,,,,,,,KDEN 140750Z 07006KT 7SM -RA SCT006 OVC014 03/02 A3018 RMK SLP183 T00330022
KDEN,America/Denver,1987-10-16T04:52:00,1987-10-15T22:52:00,true,false,false,false,Metar,DvdArchive,,,,,51.08,1,,,,,35.06,1,16.11,30.00,34.52,false,20.00,Value,,,,,,30.07,,,BKN,7500.00,BKN,mostly cloudy,7500.00,,,,,,,,,,,,,,,,-SHRA,showers of light rain,,,,,,,,,,,KDEN 160452Z 03014G30KT 20SM -SHRA BKN075 11/02 A3007 RMK SLP152 T01060017
KDEN,America/Denver,1987-10-16T06:50:00,1987-10-16T00:50:00,true,false,false,false,Metar,DvdArchive,,,,,41.00,1,,,,,33.98,1,9.21,50.00,,false,15.00,Value,,,,,,30.17,,,OVC,4100.00,SCT,partly cloudy,3000.00,OVC,overcast,4100.00,,,,,,,,,,,,,,,,,,,,,,,,,KDEN 160650Z 05008KT 15SM SCT030 OVC041 05/01 A3017 RMK SLP185 T00500011
