Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KDEN,America/Denver,2000-01-01,26.96,51.08,10.94,28.94,0.00,11.51,,SW,10.00,10.00,,,29.54,29.78,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-02,17.96,42.08,15.08,23.00,3.45,25.32,29.92,S,1.00,10.00,0.02,,29.62,29.75,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-03,10.04,28.04,-2.92,21.20,4.60,26.47,31.07,N,0.75,10.00,0.04,1.00,29.75,30.21,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-04,15.80,46.94,-0.94,21.02,4.60,18.41,26.47,SW,10.00,10.00,,,29.78,30.17,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-05,19.94,42.08,-0.04,19.94,0.00,21.86,29.92,W,10.00,10.00,,,29.80,30.15,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-06,17.96,37.94,-5.08,10.04,4.60,16.11,,SW,10.00,10.00,,,30.15,30.29,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-07,21.92,46.04,3.20,14.00,3.45,13.81,,S,10.00,10.00,,,30.01,30.22,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-08,24.80,48.02,3.92,15.08,4.60,28.77,35.67,SW,7.00,10.00,,,29.64,29.99,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-09,26.96,41.00,-0.04,12.92,0.00,36.82,43.73,W,7.00,10.00,,,29.61,29.75,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-10,17.96,46.04,12.02,21.92,0.00,25.32,34.52,E,10.00,10.00,,,29.56,29.84,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-11,17.06,64.04,6.08,26.06,0.00,31.07,37.98,W,10.00,10.00,,,29.66,29.76,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-12,24.98,53.60,12.02,24.80,0.00,27.62,34.52,W,10.00,10.00,,,29.66,30.28,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-13,23.00,44.06,15.98,19.94,0.00,18.41,,SE,10.00,10.00,,,30.27,30.44,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-14,28.94,62.06,3.92,17.06,0.00,17.26,,SW,10.00,10.00,,,30.10,30.30,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-15,26.60,62.06,6.08,17.96,0.00,13.81,,E,10.00,10.00,,,30.09,30.20,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2000-01-16,23.00,46.94,14.00,24.08,0.00,13.81,,W,10.00,10.00,,,30.07,30.27,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
