Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KDEN,America/Denver,2017-01-01,17.06,46.04,10.94,19.94,3.45,13.81,,S,10.00,10.00,,,29.53,29.67,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-02,15.08,50.00,10.04,21.02,0.00,28.77,27.62,E,5.00,10.00,0.00,,29.56,30.00,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-03,10.04,32.00,1.04,17.06,4.60,13.81,,E,0.50,10.00,0.00,,29.99,30.13,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-04,3.92,12.02,-0.94,8.60,0.00,17.26,,N,0.25,2.50,0.10,,29.75,29.99,FEW,mostly clear,VV,overcast,+SN,heavy snow,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-05,-0.04,5.00,-5.98,-0.94,0.00,9.21,,N,0.50,10.00,0.24,,29.87,30.01,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-06,-4.00,19.94,-9.04,5.00,3.45,16.11,,S,3.00,10.00,,,29.92,30.18,CLR,clear,OVC,overcast,BR,mist,BCFG,patches of fog,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-07,1.94,24.08,-7.96,10.04,0.00,13.81,,S,10.00,10.00,,,30.05,30.31,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-08,14.00,46.04,5.00,30.92,0.00,18.41,23.02,S,10.00,10.00,,,29.94,30.13,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-09,32.00,60.98,26.06,33.98,0.00,33.37,52.94,W,10.00,10.00,,,29.53,29.90,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-10,33.08,51.98,15.08,24.98,5.75,31.07,40.28,W,10.00,10.00,,,29.57,29.78,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-11,21.92,51.98,17.96,26.96,5.75,21.86,,SW,10.00,10.00,,,29.49,29.77,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-12,17.96,39.92,14.00,26.96,3.45,23.02,,E,8.00,10.00,,,29.78,30.16,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-13,19.04,37.04,15.98,23.00,0.00,8.06,,N,0.50,10.00,0.00,,30.13,30.33,FEW,mostly clear,OVC,overcast,HZ,haze,BR,mist,BCFG,patches of fog,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-14,23.00,41.00,19.04,28.04,0.00,9.21,,SW,4.00,10.00,,,30.19,30.35,CLR,clear,BKN,mostly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-15,24.08,35.06,19.94,26.96,0.00,10.36,,W,1.50,10.00,0.00,,29.95,30.17,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,BCFG,patches of fog,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-16,26.96,35.06,19.94,26.96,4.60,19.56,25.32,NW,0.75,10.00,0.20,,29.95,30.11,FEW,mostly clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-17,19.04,46.04,12.92,28.94,0.00,12.66,,SW,10.00,10.00,,,29.98,30.07,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-18,24.08,51.98,12.02,21.02,0.00,11.51,,SW,10.00,10.00,,,29.66,29.98,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-19,24.08,53.06,14.00,24.08,4.60,12.66,,SE,10.00,10.00,,,29.49,29.66,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KDEN,America/Denver,2017-01-20,26.06,44.06,19.94,32.00,0.00,13.81,,S,5.00,10.00,0.00,,29.36,29.47,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
