Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMIA,America/New_York,1989-01-01,66.92,82.04,64.04,69.08,2.30,13.81,,SE,7.00,7.00,,,30.09,30.18,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-02,64.04,84.02,62.96,66.92,2.30,11.51,,S,7.00,7.00,,,30.10,30.21,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-03,64.04,82.94,60.98,66.92,4.60,18.41,,W,0.06,7.00,,,30.04,30.16,CLR,clear,OVC,overcast,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-04,60.08,75.92,37.04,66.92,8.06,18.41,,N,1.00,7.00,,,30.03,30.17,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-05,53.96,73.94,44.06,55.04,6.90,17.26,,N,7.00,7.00,,,30.14,30.21,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-06,62.06,78.08,55.04,64.04,3.45,18.41,,SE,7.00,7.00,,,30.14,30.21,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-07,64.04,80.06,62.06,66.92,5.75,17.26,,SE,7.00,7.00,,,30.15,30.25,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-08,69.08,80.96,62.06,66.92,6.90,13.81,,E,7.00,7.00,,,30.18,30.27,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-09,66.02,80.96,60.08,64.94,5.75,17.26,,E,7.00,7.00,,,30.17,30.24,SCT,partly cloudy,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-10,66.92,78.08,64.94,71.96,4.60,16.11,,E,2.00,7.00,0.36,,30.20,30.28,CLR,clear,OVC,overcast,SHRA,showers of rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-11,68.00,80.06,62.06,69.08,5.75,14.96,,E,7.00,7.00,,,30.24,30.33,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-12,69.98,80.96,64.04,68.00,8.06,23.02,20.71,E,7.00,7.00,0.06,,30.20,30.29,CLR,clear,BKN,mostly cloudy,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-13,64.04,82.04,57.02,66.02,4.60,13.81,,E,7.00,7.00,,,30.19,30.28,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-14,71.06,80.96,64.94,69.98,8.06,17.26,,E,7.00,7.00,,,30.21,30.30,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-15,71.96,82.04,62.96,69.08,6.90,16.11,20.71,SE,7.00,7.00,,,30.17,30.28,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-16,64.94,82.04,62.96,66.02,2.30,12.66,,SE,7.00,7.00,,,30.15,30.24,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,1989-01-17,64.94,82.94,62.06,66.92,3.45,13.81,18.41,SE,7.00,7.00,,,30.13,30.22,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
