Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMIA,America/New_York,2000-01-01,64.04,80.06,60.98,64.04,0.00,14.96,,E,4.00,10.00,0.00,,30.13,30.22,FEW,mostly clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-02,66.92,78.08,60.98,62.96,0.00,12.66,,NE,10.00,10.00,,,30.14,30.24,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-03,64.94,78.98,62.06,69.08,0.00,18.41,,E,10.00,10.00,,,30.10,30.18,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-04,71.06,78.98,66.92,69.08,0.00,13.81,,SE,10.00,10.00,,,30.07,30.17,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-05,66.92,78.98,63.68,69.80,0.00,14.96,19.56,NE,2.50,10.00,0.24,,30.09,30.19,CLR,clear,OVC,overcast,+RA,heavy rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-06,71.60,78.98,66.02,69.80,8.06,19.56,26.47,E,10.00,10.00,0.00,,30.16,30.25,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-07,68.00,80.60,64.94,68.00,0.00,11.51,,E,10.00,10.00,,,30.18,30.27,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-08,66.92,78.98,62.06,66.92,0.00,11.51,,E,10.00,10.00,,,30.12,30.22,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-09,66.02,80.06,64.94,69.08,0.00,13.87,18.41,SE,9.94,10.00,0.00,0.00,30.06,30.17,NCD,no cloud detected,BKN,mostly cloudy,-RA,light rain,IWC61,light rain,,,,,,,,,,,,,,,,,,,,
KMIA,America/New_York,2000-01-10,69.98,80.06,64.94,69.08,0.00,12.66,17.26,S,10.00,10.00,,,30.04,30.12,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
