Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,5.976108041743397,8.021632903621851,4.7583179864947835,5.92809699201964,0.4328698588090858,1.7566513198281197,0.013612645794966237,3.3333670963781445,3.348600368324125
1989,5.871839708561021,7.958615664845172,4.597577413479052,5.831457194899816,0.37084699453551967,1.7294292653309098,0.013791742562234371,3.3356739526411667,3.350892531876139
1990,5.978678843226788,7.962240487062408,4.950678843226791,6.094733637747337,0.3451719939117206,1.7376499238965033,0.019175038051750387,3.3364231354642317,3.3511872146118726
1991,6.1641582952815845,8.279062404870627,5.1659665144596705,6.324048706240485,0.370097412480975,1.7565631659056349,0.017522070015220707,3.3383257229832566,3.3540639269406345
1992,6.125254185692543,8.042404870624052,5.2601035007610335,6.33100761035008,0.41813698630137003,1.7435372907153774,0.017001522070015217,3.337765601217655,3.3527062404870613
1993,5.912550091074681,7.836211293260469,5.060965391621129,6.124517304189431,0.4001578627808141,1.7374165148755332,0.01824833029751062,3.3337613843351526,3.3490163934426214
1994,6.027610350076105,8.05166514459665,4.9007062404870645,6.064541856925421,0.3613729071537299,1.801339421613397,0.014614916286149162,3.3338721461187197,3.349555555555553
1995,6.165254185692542,8.100815829528159,5.303829528158294,6.432377473363776,0.5074429223744291,1.8591202435312049,0.018231354642313548,3.3352024353120253,3.350955859969559
1996,5.999829528158296,8.036761035007611,5.027062404870627,6.219336377473367,0.43039573820395743,1.8101278538812804,0.015999999999999993,3.331044140030438,3.346541856925419
1997,5.92129326047359,8.015992714025508,4.8356102003642984,6.062932604735875,0.22210382513661223,1.6563843351548282,0.012853673345476628,3.3326290224650865,3.3495810564662993
1998,5.8327062404870595,7.75429528158295,4.943555555555555,6.124541856925416,0.23599391171993936,1.5708797564688024,0.012621004566210042,3.3309041095890413,3.347004566210046
1999,6.089802130898029,7.998185692541858,5.36673363774734,6.359555555555548,0.20726940639269428,1.5874977168949802,0.006794520547945207,3.3300121765601225,3.345321156773208
2000,5.9861856925418655,8.026624048706228,4.963884322678847,6.12826788432268,0.1736651445966514,1.5667579908675813,0.004051750380517501,3.3346940639269422,3.3496407914764084
2001,5.848342440801456,7.9027140255009085,4.997577413479052,6.121074681238609,0.189541590771099,1.6091651487553158,0.010740740740740749,3.3364298724954464,3.3519489981785062
2002,5.942898021308977,7.937911719939114,5.026130898021308,6.143939117199387,0.20271232876712353,1.5448127853881284,0.011640791476407918,3.3374307458143053,3.3519117199391175
2003,5.995829528158294,7.938076103500761,5.129747336377475,6.236103500761028,0.24190258751902594,1.6429254185692554,0.0061339421613394235,3.335811263318114,3.3518203957381987
2004,5.901856925418568,7.7951171993911705,5.144048706240487,6.2278843226788485,0.23350380517503827,1.6800213089802158,0.015345509893455104,3.3319817351598173,3.347753424657534
2005,6.019599271402554,7.884954462659372,5.070036429872491,6.158561020036421,0.2967607771706134,1.6657164541590797,0.01572252580449302,3.33605039465695,3.351639344262297
2006,5.948213089802135,7.863884322678837,4.975171993911719,6.062130898021305,0.2793850837138511,1.6938721461187227,0.01625570776255707,3.331284627092847,3.3470258751902584
2007,6.030185692541858,8.045856925418567,4.8489254185692525,6.052432267884316,0.262770167427702,1.701534246575344,0.014493150684931504,3.332675799086759,3.3483926940639264
2008,6.132588522588516,8.19368742368742,4.730830280830281,5.9767094017094,0.23868437118437144,1.6989926739926742,0.009044566544566545,3.3359035409035394,3.352469474969473
2009,5.9350596877869615,7.955059687786953,4.73285583103765,5.96150596877869,0.25450260177532924,1.7255096418732798,0.01040404040404041,3.333492500765228,3.3500520355065824
2010,5.957089802130902,7.832158295281583,5.0954459665144585,6.180103500761026,0.2311050228310503,1.6736042617960438,0.01940334855403349,3.3326636225266353,3.348392694063927
2011,5.926952815829532,7.964377473363769,4.856815829528158,5.905802130898021,0.23259969558599716,1.6862374429223705,0.014718417047184172,3.329506849315071,3.344828006088281
2012,6.063610350076112,8.176651445966511,4.888158295281583,6.067993911719936,0.23946118721461207,1.720520547945209,0.011108066971080669,3.330937595129375,3.3470928462709266
2013,6.252058287795999,8.277468123861569,5.055009107468124,6.207468123861562,0.18681845780206435,1.6235428051001846,0.010561627200971467,3.333214936247723,3.3482877959927126
2014,5.965692541856924,7.824322678843234,5.003555555555552,6.103610350076095,0.22267275494672784,1.640557077625573,0.018462709284627097,3.3361796042617993,3.351826484018268
2015,5.888083028083028,7.94967643467643,4.795720390720394,6.008687423687421,0.20398962148962152,1.667615995115998,0.013073870573870577,3.3339804639804638,3.349548229548231
2016,6.232203907203908,8.116105006105006,5.225115995115998,6.32676434676435,0.22010378510378534,1.639844322344325,0.018827838827838825,3.336394993894995,3.351605616605616
2017,6.265828779599279,8.336375227686707,5.011730418943533,6.144845173041891,0.24654523375834875,1.7115573770491845,0.010561627200971462,3.3355464480874324,3.3510200364298726
