Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KATL,America/New_York,2000-01-01,48.92,66.02,48.92,57.02,0.00,9.21,,E,0.19,10.00,,,30.14,30.24,CLR,clear,OVC,overcast,-RAFG,light rain with fog,FG,fog,BR,mist,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-02,51.98,68.00,51.98,62.06,0.00,8.06,,SE,0.25,10.00,0.01,,30.16,30.27,CLR,clear,VV,overcast,DZ,drizzle,FG,fog,BR,mist,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-03,57.02,71.96,55.94,59.00,0.00,12.66,19.56,S,1.00,10.00,,,30.00,30.17,FEW,mostly clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-04,39.92,62.96,26.96,60.98,5.75,19.56,32.22,W,1.50,10.00,0.45,,29.87,30.15,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-05,33.08,48.02,21.02,33.08,0.00,17.26,17.26,NW,10.00,10.00,,,30.18,30.36,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-06,30.02,53.06,24.08,37.40,0.00,11.63,,E,9.94,10.00,,0.00,30.35,30.46,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-07,33.98,57.02,26.06,35.96,3.45,14.96,,NW,9.00,10.00,,,30.32,30.41,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-08,37.04,53.06,26.96,35.96,3.45,12.66,,E,10.00,10.00,0.00,,30.17,30.35,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-09,46.40,60.98,33.98,60.98,0.00,10.36,,E,0.25,10.00,0.40,,29.86,30.15,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KATL,America/New_York,2000-01-10,46.94,62.60,30.02,62.06,3.45,23.02,35.67,W,0.25,10.00,1.30,,29.72,30.00,CLR,clear,OVC,overcast,+TSRA,thunderstorm with heavy rain,TSRA,thunderstorm with rain,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,
