Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KATL,America/New_York,2016-01-01,39.02,46.04,26.96,37.94,8.06,16.11,,NW,10.00,10.00,,,30.15,30.27,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-02,35.06,46.04,24.98,28.94,5.75,17.26,18.41,NW,10.00,10.00,,,30.15,30.28,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-03,35.06,51.98,24.98,28.94,5.75,14.96,20.71,NW,10.00,10.00,,,30.00,30.13,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-04,32.00,44.06,15.08,26.96,9.21,19.56,26.47,N,10.00,10.00,,,29.99,30.35,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-05,26.06,42.98,12.02,17.06,5.75,12.66,,E,10.00,10.00,,,30.36,30.52,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-06,26.06,44.06,8.96,21.92,5.75,18.41,,E,10.00,10.00,,,30.28,30.47,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-07,41.00,60.08,23.00,44.96,4.60,16.11,,E,10.00,10.00,,,30.01,30.27,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-08,48.02,53.60,44.60,48.20,0.00,13.81,,E,1.00,10.00,0.21,,29.97,30.05,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-09,48.02,51.80,44.96,48.92,0.00,13.81,20.71,E,0.25,10.00,0.37,,29.69,29.99,FEW,mostly clear,VV,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-10,30.02,53.06,21.02,50.00,4.60,23.02,31.07,W,5.00,10.00,0.06,,29.68,30.14,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-11,23.00,44.06,8.06,21.02,0.00,14.96,,NW,10.00,10.00,,,30.14,30.26,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-12,28.04,53.60,15.08,26.96,0.00,20.71,31.07,W,10.00,10.00,,,30.07,30.19,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-13,30.02,50.00,15.08,26.96,0.00,13.81,17.26,NW,10.00,10.00,,,30.15,30.26,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-14,33.08,59.00,23.00,32.00,0.00,11.51,,S,10.00,10.00,,,30.00,30.18,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-15,39.92,51.08,28.04,48.92,5.75,19.56,23.02,W,0.50,10.00,1.31,,29.56,29.97,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-16,44.06,57.92,32.00,48.20,3.45,13.81,,W,0.75,10.00,0.00,,29.72,29.86,FEW,mostly clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-17,33.80,46.94,21.02,33.98,5.75,18.41,25.32,NW,4.00,10.00,0.13,,29.77,30.10,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-18,24.98,37.40,6.98,23.00,5.75,18.41,24.17,NW,10.00,10.00,,,30.09,30.34,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-19,19.94,39.02,5.00,10.04,5.75,16.11,,NW,10.00,10.00,,,30.33,30.44,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-20,30.02,44.96,6.98,35.60,0.00,9.21,,SE,3.00,10.00,0.06,,30.16,30.34,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KATL,America/New_York,2016-01-21,37.04,48.92,33.08,42.98,0.00,16.11,21.86,E,1.25,9.00,0.67,,29.99,30.22,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,,,
