Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
PHNL,Pacific/Honolulu,2013-01-01,64.94,73.04,62.60,69.80,0.00,17.26,23.02,N,5.00,10.00,0.00,,30.03,30.12,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-02,66.20,73.40,64.40,68.00,0.00,16.11,23.02,NE,7.00,10.00,0.00,,29.98,30.08,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-03,64.40,78.08,60.80,68.54,0.00,20.71,29.92,NE,2.00,10.00,0.03,,30.00,30.09,FEW,mostly clear,OVC,overcast,+RA,heavy rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-04,71.06,78.80,62.42,66.92,13.81,25.32,36.82,NE,6.00,10.00,0.00,,30.03,30.14,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-05,68.00,81.32,64.22,71.42,14.96,29.92,41.43,NE,7.00,10.00,0.06,,30.06,30.14,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-06,71.60,82.40,62.06,66.20,10.36,28.77,36.82,E,9.00,10.00,0.00,,30.01,30.13,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-07,71.06,80.60,62.06,66.02,5.75,19.56,28.77,NE,10.00,10.00,0.01,,29.98,30.09,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-08,71.96,82.40,62.60,66.02,6.90,21.86,29.92,NE,10.00,10.00,0.00,,29.90,30.01,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-09,71.60,82.04,64.04,66.20,6.90,18.41,29.92,NE,10.00,10.00,0.00,,29.91,30.01,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
PHNL,Pacific/Honolulu,2013-01-10,71.96,82.04,60.08,64.04,5.75,16.11,23.02,NE,10.00,10.00,,,29.92,30.01,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
