Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,4.544870624048703,7.251226788432269,2.9066788432267847,4.18415829528158,0.14389649923896491,1.711771689497719,0.0025783866057838664,3.328264840182648,3.3475312024353125
1989,4.465992714025501,7.134735883424407,2.913533697632057,4.173588342440805,0.17179417122040075,1.6427929568913198,0.003430479659987853,3.3289799635701267,3.3504918032786892
1990,4.311829528158295,6.900103500761031,2.9825692541856923,4.224048706240486,0.14669710806697103,1.62205175038052,0.00317808219178082,3.331336377473362,3.3499695585996956
1991,4.44843226788432,7.10914459665145,2.946788432267884,4.217144596651443,0.19256316590563172,1.7523592085235957,0.0036560121765601204,3.326806697108066,3.3475251141552507
1992,4.428870624048703,7.001199391171993,3.007226788432267,4.22147336377473,0.1852115677321158,1.5918904109589063,0.0028828006088280054,3.328438356164386,3.3480639269406387
1993,4.622058287795989,7.277795992714029,3.0697085610200388,4.268123861566485,0.20775652701882236,1.7429842137219194,0.002328476017000607,3.3263327261687947,3.3457194899817817
1994,4.249990817263546,6.640955004591368,3.051974288337926,4.233406795224981,0.2182797673706768,1.7492959902050838,0.0036761554943373115,3.3293265993266004,3.348913376186104
1995,4.591117199391176,7.134240487062408,2.95084322678843,4.173692541856926,0.22127549467275526,1.7631628614916321,0.00278234398782344,3.3257382039573784,3.3455007610350056
1996,4.615445362718089,7.035114784205693,3.2804591368227727,4.4762167125803485,0.1668931741659014,1.6827333945515786,0.004098561371288642,3.3252096724823965,3.344034282216102
1997,4.674240487062404,6.975884322678842,3.1972541856925427,4.425802130898019,0.12323896499238955,1.7130898021308993,0.0038751902587518994,3.323284627092849,3.3438508371385076
1998,4.693192918192917,7.076874236874237,3.287753357753355,4.422423687423686,0.10498778998778992,1.6946336996337024,0.003043345543345542,3.3268833943833935,3.346495726495728
1999,4.866159951159953,7.098742368742365,3.624456654456655,4.655115995115994,0.12006715506715503,1.711324786324786,0.0033638583638583627,3.320790598290601,3.3400183150183165
2000,4.652815829528159,7.064815829528152,3.0158295281582976,4.2068432267884335,0.11960426179604253,1.7303744292237455,8.219178082191781e-05,3.3265966514459677,3.348100456621003
2001,4.69615664845173,7.03413479052823,3.2835883424408023,4.403916211293262,0.08834547662416507,1.6631511839708566,0.0002641165755919855,3.3271098967820296,3.3472161505768074
2002,4.685308980213093,7.074021308980209,3.1743500761035,4.312377473363775,0.097269406392694,1.6810898021308986,8.219178082191781e-05,3.326401826484019,3.3462130898021307
2003,4.654898021308982,7.00662404870624,2.8760487062404874,4.06185692541857,0.10743987823439875,1.7148249619482514,0.00011872146118721462,3.327920852359206,3.3476103500761027
2004,4.9342404870624055,7.269692541856927,3.1209802130898026,4.361966514459665,0.09310502283105018,1.6687671232876744,0.00028614916286149163,3.32539117199391,3.3447519025875145
2005,4.780036429872496,7.0162112932604765,3.2073588342440793,4.356156648451729,0.09244383727990284,1.645185185185188,9.714632665452337e-05,3.3283485124468744,3.3463661202185793
2006,4.672432267884327,6.986569254185691,3.0688158295281593,4.233747336377473,0.09863318112633175,1.6365996955859994,6.392694063926941e-05,3.326453576864536,3.346018264840181
2007,4.814240487062403,7.13730898021309,3.041856925418568,4.261144596651451,0.12386301369863006,1.7853181126331839,3.95738203957382e-05,3.325476407914767,3.346797564687976
2008,4.798733637747332,7.264596651445966,2.878350076103501,4.1723226788432255,0.09838660578386602,1.680998477929988,0.0011933028919330286,3.3265083713850854,3.3470502283105015
2009,4.66102003642987,6.984134790528241,2.8485610200364304,4.105118397085609,0.09039769277474191,1.7002367941712224,0.0025470552519732846,3.32575895567699,3.34769581056466
2010,4.744596651445966,6.948761035007615,2.899007610350076,4.104870624048707,0.06127853881278536,1.609905631659059,0.0038599695585996943,3.326907153729074,3.3470563165905616
2011,4.836651445966517,7.025089802130895,3.103884322678842,4.327610350076101,0.1035920852359209,1.7348645357686427,0.00428614916286149,3.320852359208523,3.3415281582952834
2012,4.674624048706245,6.99993911719939,2.9612541856925394,4.17719939117199,0.07734855403348549,1.6918112633181153,0.003044140030441399,3.325853881278539,3.3455494672754957
2013,4.93697632058288,7.365774134790521,2.927085610200362,4.255500910746812,0.08975106253794773,1.6892987249544658,0.00288403157255616,3.3228597449908905,3.3439708561020027
2014,4.556870624048707,6.978733637747334,2.7104596651445956,4.068322678843223,0.060898021308980206,1.6377899543379018,0.0025479452054794505,3.3304353120243535,3.3493120243531207
2015,4.897308980213089,7.1512267884322664,3.162843226788434,4.3797199391172015,0.06722678843226784,1.6608706240487079,0.004447488584474884,3.3262922374429222,3.3462922374429263
2016,5.004925418569256,7.310624048706239,3.283007610350074,4.462295281582949,0.07143987823439876,1.6439147640791496,0.0034368340943683384,3.327071537290716,3.3459178082191783
2017,4.868123861566485,7.215063752276861,3.029653916211294,4.301293260473588,0.08377352762598658,1.73387370977535,0.002383120825743776,3.325947176684881,3.3461870066788104
