Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBOI,America/Boise,1987-01-01,21.92,39.02,19.94,32.00,0.00,20.71,40.28,SE,5.00,20.00,0.18,,29.74,30.13,SCT,partly cloudy,OVC,overcast,-SHRASN,showers of light rain and snow,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-02,28.04,44.06,21.92,30.92,0.00,23.02,36.82,NW,7.00,50.00,0.01,,29.85,30.27,FEW,mostly clear,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-03,37.94,46.04,21.92,35.06,4.60,25.32,32.22,E,10.00,30.00,0.01,,29.77,30.13,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-04,30.92,37.04,30.92,33.98,0.00,10.36,,W,0.00,15.00,,,29.82,29.87,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-05,23.00,32.00,21.02,32.00,0.00,12.66,,NW,0.12,20.00,,,29.80,29.97,FEW,mostly clear,OVC,overcast,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-06,21.92,37.94,19.94,26.06,0.00,11.51,,E,15.00,20.00,,,29.99,30.20,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-07,19.04,32.00,15.08,24.98,0.00,10.36,,E,0.25,15.00,,,30.22,30.33,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-08,21.02,24.08,17.96,21.92,0.00,9.21,,NW,0.50,10.00,,,30.33,30.52,SCT,partly cloudy,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-09,21.92,24.98,15.08,17.96,4.60,12.66,,E,7.00,10.00,,,30.52,30.65,OVC,overcast,OVC,overcast,-SN,light snow,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-10,17.96,30.02,10.04,15.08,3.45,16.11,,E,10.00,20.00,,,30.60,30.68,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-11,14.00,32.00,6.98,17.06,0.00,9.21,,SE,10.00,15.00,,,30.35,30.60,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-12,10.94,30.92,3.92,19.04,0.00,11.51,,W,4.00,15.00,,,30.15,30.35,CLR,clear,OVC,overcast,BRFU,mist and smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-13,17.06,37.04,14.00,21.92,0.00,16.11,,NW,4.00,30.00,,,30.21,30.35,CLR,clear,OVC,overcast,-SN,light snow,FGFU,fog and smoke,BRFU,mist and smoke,FU,smoke,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-14,19.94,28.04,14.00,26.06,6.90,21.86,,SE,0.75,15.00,0.04,1.00,30.04,30.32,CLR,clear,OVC,overcast,-SN,light snow,-SHSN,showers of light snow,FG,fog,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-15,6.98,30.02,3.02,15.08,0.00,16.11,,NW,7.00,30.00,,1.00,30.06,30.16,CLR,clear,OVC,overcast,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-16,-0.04,26.06,-7.06,8.96,0.00,16.11,,NW,15.00,40.00,,,30.13,30.23,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-17,8.06,30.92,-0.94,17.96,3.45,11.51,,E,15.00,30.00,,,30.23,30.39,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-18,14.00,28.94,8.96,19.04,3.45,12.66,,NW,4.00,30.00,,,30.19,30.34,FEW,mostly clear,OVC,overcast,-SN,light snow,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-19,8.06,35.96,3.02,21.02,0.00,13.81,,W,6.00,30.00,,,30.23,30.45,CLR,clear,BKN,mostly cloudy,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-20,12.02,33.98,5.00,15.98,0.00,11.51,,E,10.00,20.00,,,30.36,30.50,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-21,5.00,30.92,1.04,15.08,0.00,11.51,,SE,4.00,15.00,,,30.37,30.46,CLR,clear,OVC,overcast,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-22,10.94,28.94,6.08,17.96,0.00,9.21,,E,6.00,15.00,,,30.00,30.36,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-23,17.06,28.94,10.94,17.96,0.00,6.90,,W,4.00,15.00,,,29.89,29.98,SCT,partly cloudy,OVC,overcast,-SHSN,showers of light snow,FGFU,fog and smoke,BRFU,mist and smoke,FU,smoke,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-24,21.92,39.92,15.08,35.96,0.00,14.96,,SE,1.00,25.00,0.05,,29.92,30.12,CLR,clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,-RA,light rain,FG,fog,FGFU,fog and smoke,FU,smoke,,,,,,,,,,,,
KBOI,America/Boise,1987-01-25,33.08,42.08,32.00,39.02,4.60,18.41,,E,3.00,30.00,0.26,,30.13,30.27,SCT,partly cloudy,OVC,overcast,-SN,light snow,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-26,30.02,53.06,30.02,39.92,0.00,16.11,,SE,0.06,30.00,,,30.16,30.25,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1987-01-27,26.96,51.08,26.96,37.94,0.00,17.26,,E,0.12,30.00,,,29.63,30.16,CLR,clear,OVC,overcast,FG,fog,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,,,
