Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBOI,America/Boise,1990-01-01,21.92,33.08,19.94,30.02,0.00,8.06,,NW,0.12,15.00,0.06,1.00,29.78,30.11,SCT,partly cloudy,OVC,overcast,-SN,light snow,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-02,15.98,30.92,10.94,28.04,0.00,12.66,,NW,0.00,20.00,0.05,1.00,29.79,30.17,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-03,6.98,30.92,3.92,21.02,0.00,11.51,,SE,10.00,30.00,,1.00,30.19,30.36,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-04,21.92,30.92,17.06,28.94,0.00,14.96,,SE,0.12,30.00,0.07,2.00,30.24,30.37,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-05,23.00,28.04,21.92,28.04,0.00,10.36,,SE,0.00,5.00,,2.00,30.29,30.45,BKN,mostly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-06,19.04,37.04,17.96,30.02,0.00,12.66,,SE,0.06,15.00,,2.00,30.11,30.31,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-07,37.04,44.96,21.02,32.00,11.51,24.17,,E,6.00,40.00,0.27,,29.81,30.09,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-08,39.02,53.96,28.94,39.02,0.00,24.17,,W,5.00,25.00,,,29.75,30.15,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-09,42.08,57.92,26.06,35.06,10.36,19.56,21.86,E,15.00,30.00,,,30.03,30.12,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-10,39.02,51.98,26.96,32.00,3.45,13.81,,SE,15.00,30.00,,,30.05,30.30,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-11,35.06,48.02,30.92,39.02,0.00,12.66,,SE,10.00,30.00,,,30.17,30.32,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-12,32.00,44.06,30.02,37.04,0.00,11.51,,SE,15.00,30.00,,,29.83,30.16,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-13,35.96,50.00,33.08,42.08,0.00,11.51,,SE,8.00,20.00,0.04,,29.78,29.84,SCT,partly cloudy,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-14,35.96,41.00,35.06,39.92,3.45,12.66,,NW,0.12,15.00,0.16,,29.82,29.94,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-15,28.04,44.06,26.06,33.98,0.00,11.51,,NW,8.00,30.00,,,29.92,30.02,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-16,33.08,46.04,26.96,35.06,0.00,12.66,,SE,10.00,30.00,,,29.85,29.95,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-17,24.98,39.92,24.08,30.92,0.00,9.21,,SE,8.00,15.00,,,29.96,30.23,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-18,23.00,39.02,21.02,26.96,0.00,11.51,,SE,7.00,30.00,,,30.17,30.31,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-19,19.94,32.00,17.96,24.98,0.00,11.51,,NW,5.00,15.00,,,30.12,30.19,CLR,clear,OVC,overcast,FG,fog,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-20,17.96,32.00,15.08,24.08,0.00,9.21,,SE,5.00,10.00,,,30.20,30.40,CLR,clear,OVC,overcast,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-21,19.94,39.02,17.96,24.98,0.00,13.81,,SE,6.00,15.00,,,30.22,30.47,CLR,clear,OVC,overcast,FGFU,fog and smoke,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-22,24.98,46.94,21.92,28.04,0.00,6.90,,SE,10.00,30.00,,,30.06,30.20,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-23,26.96,44.06,15.08,33.98,3.45,24.17,31.07,NW,0.75,35.00,0.03,,29.97,30.32,CLR,clear,OVC,overcast,-SHSN,showers of light snow,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-24,17.96,39.02,15.08,21.02,3.45,9.21,,SE,15.00,30.00,,,30.32,30.47,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBOI,America/Boise,1990-01-25,30.02,46.04,15.98,23.00,0.00,23.02,,SE,15.00,50.00,,,29.78,30.31,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
