Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,5.049528158295282,6.677637747336385,3.9738691019786927,5.163732115677325,0.5728949771689493,2.032694063926947,0.01074581430745815,3.32599695585997,3.3476986301369864
1989,4.743096539162116,6.569927140255011,3.4929993928354612,4.878901032179723,0.5314116575591987,2.0372343655130583,0.009502125075895573,3.3238676381299337,3.347829386763811
1990,4.687993911719941,6.360487062404872,3.5835007610350114,4.8903500761035,0.44102587519025876,1.9210806697108114,0.008584474885844752,3.329077625570778,3.3512633181126357
1991,5.052048706240484,6.805089802130899,3.8579482496194815,5.118824961948248,0.49343987823439833,2.114484018264845,0.014356164383561654,3.325561643835615,3.3492328767123287
1992,5.01799086757991,6.741059360730592,3.8670867579908683,5.153442922374434,0.5038264840182644,1.9602952815829577,0.010563165905631665,3.327610350076102,3.349738203957384
1993,4.822550091074672,6.428123861566484,3.8622465088038793,5.1426836672738245,0.40856709168184546,1.856135397692781,0.00801457194899818,3.3260807528840295,3.3486703096539148
1994,4.772753357753348,6.34462148962148,3.9761050061049996,5.199456654456644,0.419026251526252,1.8196550671550753,0.01346153846153847,3.326807081807082,3.3486996336996357
1995,4.800815829528149,6.5319391171993795,3.976541856925412,5.24136377473363,0.4546179604261796,1.9368949771689565,0.008006088280060886,3.3295007610350087,3.351074581430747
1996,4.903512937595123,6.569814307458132,3.9430745814307393,5.147567732115669,0.39257838660578404,1.744633181126339,0.009101978691019794,3.3159391171993913,3.3364200913241997
1997,4.637795992714027,6.339271402550096,3.675786278081361,4.987425622343656,0.46799332119004267,1.9304341226472428,0.005555555555555557,3.3257377049180366,3.348090467516693
1998,4.718137973137973,6.350940170940176,3.738412698412698,4.9939072039072006,0.4400396825396828,1.8905677655677657,0.0051282051282051265,3.3213003663003646,3.345057997557996
1999,5.298907203907203,6.8888522588522525,4.416379731379731,5.57247863247863,0.35067765567765585,1.8234768009768016,0.007234432234432238,3.3219505494505492,3.3413919413919397
2000,5.0887062404870615,6.858295281582951,3.955062404870625,5.318130898021306,0.35783561643835665,1.9071567732115708,0.0031324200913241994,3.3238630136986327,3.3461948249619495
2001,4.920213089802131,6.624541856925414,3.816432267884321,5.127610350076103,0.4043835616438362,1.8883074581430777,0.0005449010654490109,3.3247701674277015,3.347589041095893
2002,5.049199391171992,6.7231171993911705,3.8925418569254147,5.281089802130895,0.3885570776255711,1.8614124809741255,0.0013668188736681885,3.3255068493150692,3.3470563165905616
2003,5.004181929181929,6.700500610500615,3.9023137973138007,5.162258852258846,0.4205616605616609,1.9480158730158756,0.001181318681318681,3.3250152625152647,3.346996336996336
2004,4.7610898021309,6.454295281582952,3.5650350076103505,4.866295281582953,0.3920213089802134,1.888599695585998,0.00047184170471841706,3.322550989345509,3.3434946727549493
2005,4.912322678843225,6.5571993911719915,3.7956651445966494,5.029856925418571,0.38333942161339457,1.9517869101978713,0.0003774733637747336,3.326267884322679,3.3485540334855393
2006,5.023742368742372,6.693632478632481,3.7518742368742366,4.968577533577537,0.38963064713064754,1.8637881562881595,0.0002777777777777778,3.3239560439560423,3.3446550671550677
2007,5.148432267884323,6.720925418569251,3.966952815829533,5.166952815829528,0.3543652968036532,1.8835190258751917,0.0004170471841704719,3.3217260273972617,3.3429649923896494
2008,4.989035007610354,6.656048706240485,3.769528158295281,5.055117199391169,0.3826757990867581,1.9177351598173529,0.005391171993911722,3.325622526636225,3.3476255707762532
2009,4.715113566605276,6.4311909146715776,3.6324063842848395,4.995224063842846,0.3579957028852061,1.9155831798649503,0.011019030079803559,3.3219244935543255,3.34555555555556
2010,4.755555555555558,6.374401709401704,3.6868742368742358,4.95214896214896,0.2994749694749699,1.8154945054945075,0.012136752136752135,3.3228235653235703,3.3453449328449354
2011,5.017856925418572,6.665473363774733,3.853747336377476,5.016596651445964,0.3121674277016747,1.8208006088280022,0.012901065449010646,3.3223592085235936,3.341555555555555
2012,4.989473363774735,6.568925418569256,3.9076651445966544,5.128432267884322,0.31381735159817387,1.885537290715373,0.010283105022831049,3.319555555555551,3.3420182648401835
2013,5.2859665144596635,7.042459665144596,3.9289254185692553,5.216322678843225,0.3242435312024358,1.874240487062406,0.0074703196347032,3.322706240487063,3.3434733637747374
2014,4.777434008594224,6.46964395334561,3.636992019643953,4.930804174340082,0.3555494168201355,1.882277470841008,0.010423572744014733,3.3257980356046675,3.347550644567221
2015,4.677308980213088,6.366404870624044,3.5448158295281553,4.9179117199391165,0.40094063926940665,1.9789863013698639,0.01166818873668188,3.3223196347031974,3.3458630136986285
2016,5.057692541856926,6.727774733637748,3.843445966514461,5.139884322678846,0.3729436834094371,1.9135098934551031,0.010386605783866059,3.3260243531202414,3.3495098934550986
2017,5.251894353369765,6.8450091074681305,4.024954462659384,5.223697632058288,0.3764450516089863,1.8882088646023105,0.00968123861566484,3.324526411657558,3.3464936247723145
