Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMDW,America/Chicago,1990-01-01,25.16,29.12,14.18,20.12,11.51,25.32,,W,7.00,10.00,,,29.89,30.28,BKN,mostly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-02,25.16,39.02,15.26,25.16,11.41,20.80,,SW,7.95,15.00,,,30.09,30.25,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-03,33.08,42.98,24.26,35.96,9.21,23.02,,SW,5.00,10.00,,,29.87,30.08,CLR,clear,OVC,overcast,-RA,light rain,DZ,drizzle,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-04,26.24,44.96,16.16,39.02,8.06,20.71,32.22,S,2.00,20.00,0.50,,29.62,30.19,CLR,clear,OVC,overcast,-RA,light rain,DZ,drizzle,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-05,22.10,35.96,15.26,23.18,0.00,14.99,,S,2.98,15.00,,,30.06,30.22,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,FG,fog,IWC45,sky-obscuring fog,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-06,24.26,35.06,17.24,29.12,4.60,11.51,,SW,4.97,7.00,,,30.04,30.24,NCD,no cloud detected,BKN,mostly cloudy,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-07,29.12,42.08,21.20,27.14,0.00,18.41,27.74,SW,4.97,11.93,,,29.89,30.08,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-08,28.22,46.04,22.10,29.12,5.75,21.92,34.52,SW,6.96,15.00,,,29.62,29.88,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-09,30.20,39.92,22.10,33.08,6.90,28.77,,NW,3.00,20.00,,,29.51,29.85,SCT,partly cloudy,OVC,overcast,-SHSN,showers of light snow,-SHRA,showers of light rain,DZ,drizzle,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-10,29.12,37.04,6.26,31.10,6.90,21.86,24.17,S,4.00,10.00,,,29.68,30.04,CLR,clear,OVC,overcast,-SHSN,showers of light snow,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-11,33.08,42.08,11.12,27.14,17.22,46.08,46.08,W,6.96,20.00,,,29.52,29.69,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-12,23.18,30.20,4.10,12.20,11.41,27.74,36.91,NW,9.94,20.00,,,29.71,30.25,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-13,16.16,30.20,5.18,16.16,6.90,17.26,,S,9.94,20.00,,,30.17,30.37,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-14,29.12,42.98,15.26,25.16,8.05,20.80,28.86,S,9.94,20.00,,,29.87,30.16,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-15,30.20,51.98,24.26,33.08,4.60,16.11,,SW,0.50,15.00,,,29.93,30.13,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-16,37.94,55.94,33.08,50.00,0.00,23.02,,S,0.00,10.00,,,30.02,30.17,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-17,35.06,55.04,31.10,51.08,11.51,23.02,34.52,S,1.00,10.00,0.40,,29.81,30.05,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-18,29.12,35.96,20.12,31.10,11.51,17.26,,W,5.00,15.00,,,30.05,30.45,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-19,26.24,35.96,19.22,23.18,0.00,11.51,,S,7.95,11.93,,,30.13,30.46,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-20,33.08,35.06,23.18,33.08,5.75,23.02,28.77,NE,1.00,10.00,0.10,,29.70,30.11,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,FGDZ,drizzle with fog,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-21,25.16,35.06,20.12,31.10,11.51,23.02,28.77,W,5.00,10.00,0.10,,29.67,29.92,SCT,partly cloudy,OVC,overcast,-SN,light snow,DZ,drizzle,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-22,32.00,44.06,26.24,30.20,2.24,20.80,,W,6.96,20.00,,,29.76,29.98,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-23,30.20,48.92,26.24,39.92,0.00,34.52,43.73,SE,7.00,20.00,,,29.30,30.02,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-24,35.06,46.04,29.12,33.08,0.00,28.86,40.28,W,6.96,20.00,,,29.45,29.83,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-25,23.18,39.02,14.18,37.04,4.60,25.32,34.52,W,0.25,10.00,1.20,,29.20,29.82,SCT,partly cloudy,OVC,overcast,TSRA,thunderstorm with rain,SHSN,showers of snow,-SN,light snow,-SHSN,showers of light snow,RA,rain,-RA,light rain,FG,fog,,,,,,,,,,
KMDW,America/Chicago,1990-01-26,16.16,35.96,10.22,27.14,5.75,19.69,,S,4.97,20.00,,,29.83,30.02,NCD,no cloud detected,OVC,overcast,FG,fog,IWC45,sky-obscuring fog,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-27,26.24,51.08,10.22,35.06,17.22,34.52,51.90,S,9.94,20.00,,,29.61,30.23,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,1990-01-28,23.18,37.94,10.22,18.14,4.60,17.26,,S,10.00,40.00,,,30.13,30.36,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
