Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMDW,America/Chicago,2016-01-01,19.94,30.92,10.94,21.92,9.21,18.41,28.77,W,6.00,10.00,0.00,2.00,30.10,30.22,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-02,21.92,33.08,15.98,23.00,6.90,21.86,27.62,SW,10.00,10.00,,2.00,29.94,30.13,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-03,24.08,30.92,15.80,21.02,6.90,19.56,23.02,NW,10.00,10.00,0.00,2.00,29.95,30.28,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-04,24.98,32.00,14.00,19.94,4.60,19.56,26.47,NE,3.00,10.00,0.00,2.00,30.27,30.55,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-05,21.02,33.98,12.02,21.20,5.75,14.96,23.02,S,10.00,10.00,,2.00,30.36,30.56,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-06,24.98,39.02,17.06,26.60,4.60,12.66,,S,10.00,10.00,,1.00,30.18,30.35,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-07,35.60,42.98,23.00,28.94,4.60,10.36,,SE,10.00,10.00,0.00,1.00,29.95,30.16,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-08,39.92,46.04,28.40,42.80,4.60,10.36,,SE,1.25,10.00,0.18,1.00,29.71,29.92,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-09,26.96,44.06,21.02,41.00,0.00,21.86,29.92,NW,0.50,10.00,0.20,1.00,29.73,29.85,BKN,mostly cloudy,OVC,overcast,SN,snow,-SN,light snow,-SNRA,light snow and rain,-RA,light rain,-DZ,light drizzle,FG,fog,BR,mist,,,,,,,,,,
KMDW,America/Chicago,2016-01-10,3.92,24.98,-5.98,19.04,12.66,23.02,32.22,W,7.00,10.00,0.00,1.00,29.74,30.09,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-11,1.94,26.60,-7.06,21.20,6.90,21.86,37.98,W,0.75,10.00,0.06,1.00,29.68,30.11,CLR,clear,VV,overcast,-SN,light snow,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-12,5.00,21.02,-5.08,12.02,6.90,24.17,36.82,W,2.00,10.00,0.00,2.00,29.69,30.19,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-13,1.94,28.94,-5.98,19.94,4.60,13.81,,S,8.00,10.00,0.00,2.00,29.79,30.21,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-14,28.04,44.96,21.02,37.04,5.75,16.11,26.47,S,10.00,10.00,,2.00,29.52,29.77,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-15,32.00,42.98,24.08,37.40,8.06,18.41,25.32,S,3.00,10.00,0.02,,29.38,29.65,FEW,mostly clear,OVC,overcast,-SN,light snow,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KMDW,America/Chicago,2016-01-16,14.00,32.00,-0.94,23.00,8.06,18.41,26.47,W,10.00,10.00,,,29.65,29.97,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
