Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,4.998055555555554,7.113944444444445,4.265888888888893,5.420444444444451,0.38978086419753183,1.7486512345679035,0.010222222222222226,3.329160493827158,3.3485617283950595
1989,4.7211356660527946,7.031853898096996,3.8153898096992,5.124450583179866,0.42190914671577695,1.8417648864333998,0.008710865561694292,3.3284806629834267,3.3497728667894373
1990,4.740055555555556,6.746777777777777,4.105722222222225,5.31977777777778,0.3990401234567908,1.727635802469138,0.015163580246913583,3.331487654320988,3.35182098765432
1991,5.05295167743921,7.138658048630351,4.431843644198216,5.64851954447522,0.42274546014158243,1.7833764235149334,0.015453985841797477,3.3303324099723026,3.3508741151123442
1992,5.095940170940172,7.111764346764347,4.416599511599511,5.591379731379729,0.48000915750915807,1.8417704517704543,0.011382783882783885,3.3307661782661784,3.3497527472527486
1993,4.914017094017093,6.809291819291817,4.286599511599513,5.494017094017094,0.423852258852259,1.8519413919413958,0.013531746031746032,3.3276923076923084,3.3482661782661776
1994,4.88875997544506,6.751632903621849,4.29025168815224,5.441798649478206,0.4445058317986498,1.7685696746470254,0.015672191528545126,3.328879680785758,3.3491927562922057
1995,4.920055555555556,6.974388888888881,4.123000000000001,5.319055555555557,0.37596913580246966,1.7365030864197553,0.008907407407407406,3.331833333333335,3.3516080246913584
1996,4.84925721301412,6.899643953345611,4.143345610804173,5.3600859422958855,0.3958195211786375,1.843087783916517,0.01017495395948435,3.3274585635359117,3.346396562308167
1997,4.768377473363775,6.637911719939107,4.088213089802131,5.31632267884323,0.44617351598173516,1.95232267884323,0.015022831050228317,3.3255342465753435,3.3459695585996934
1998,4.773582952815832,6.6731445966514435,4.11648706240487,5.325035007610344,0.38275494672754984,1.9029041095890427,0.009826484018264841,3.3244870624048724,3.3466179604261805
1999,5.304566544566545,7.15659951159951,4.647808302808302,5.750720390720382,0.307078754578755,1.7901831501831535,0.010534188034188036,3.325097680097684,3.3436080586080585
2000,5.044174340085948,7.123898096992021,4.261853898096994,5.484119091467156,0.3791804788213633,1.87070595457336,0.00019950890116635973,3.328388581952122,3.3484376918354823
2001,4.864621489621488,6.826654456654454,4.229731379731379,5.446874236874229,0.34936813186813226,1.8778174603174613,0.011684981684981692,3.32886752136752,3.3502503052503045
2002,5.055280830280832,7.017753357753351,4.368357753357755,5.5438522588522545,0.37291819291819317,1.8697191697191724,0.011984126984126988,3.330375457875457,3.349371184371183
2003,5.080995115995121,7.019181929181927,4.510170940170944,5.666544566544567,0.38235958485958504,1.8767979242979271,0.004346764346764346,3.328989621489623,3.3493009768009774
2004,4.839126984126981,6.746159951159944,4.157753357753357,5.427423687423687,0.29215811965812,1.8710103785103815,0.015253357753357757,3.3250061050061057,3.3448504273504263
2005,5.004571948998178,6.858069216757729,4.281020036429875,5.4856102003643,0.400537340619308,1.8920916818457836,0.013825136612021862,3.3300182149362456,3.35004250151791
2006,5.037418569254183,6.920322678843223,4.278130898021311,5.401418569254188,0.3203896499238971,1.834015220700154,0.012931506849315067,3.3263500761034965,3.345908675799086
2007,5.137692541856928,6.989802130898016,4.395939117199391,5.472706240487059,0.3663592085235928,1.872487062404874,0.01502891933028919,3.3244718417047228,3.344407914764077
2008,5.159621489621489,7.120061050061052,4.126819291819292,5.3331379731379664,0.33430402930402975,1.8461721611721638,0.010561660561660562,3.3282661782661767,3.348409645909647
2009,4.900925418569255,6.8428980213089785,3.960541856925424,5.220377473363773,0.3456225266362257,1.947074581430745,0.014642313546423133,3.3240608828006106,3.346797564687975
2010,4.999281582952816,6.82147336377473,4.039062404870626,5.2180761035007555,0.33583257229832614,1.8610228310502297,0.014273972602739724,3.3241217656012183,3.345141552511417
2011,5.1047062404870625,7.063993911719937,4.179007610350072,5.281144596651447,0.2946971080669715,1.8048828006088267,0.01050228310502284,3.323439878234398,3.3416347031963474
2012,5.199993911719945,7.048322678843225,4.340651445966518,5.471336377473362,0.32901674277016785,1.9200152207001557,0.01361948249619483,3.321156773211569,3.342063926940639
2013,5.300487062404877,7.34722678843226,4.303555555555558,5.523774733637742,0.28949771689497766,1.8495859969558617,0.0105662100456621,3.325165905631659,3.3444292237442914
2014,4.903467643467643,6.764181929181928,4.124236874236878,5.247808302808299,0.34019841269841306,1.865198412698415,0.010525030525030525,3.3281868131868104,3.3484676434676452
2015,4.608432267884321,6.509035007610342,3.81254185692542,5.052925418569253,0.36901674277016777,1.9756316590563179,0.012258751902587529,3.3258964992389624,3.347299847793002
2016,5.019126984126989,6.9554456654456605,4.117203907203907,5.312918192918191,0.3703601953601958,1.8834554334554365,0.013574481074481079,3.3295451770451736,3.3501159951159956
2017,5.245802130898023,7.137308980213082,4.413692541856928,5.577363774733642,0.3546423135464238,1.8768888888888906,0.013138508371385091,3.327896499238965,3.3479269406392698
