Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KIND,America/Indiana/Indianapolis,1990-01-01,23.00,30.92,19.94,28.04,5.75,17.26,25.32,W,7.00,10.00,,,29.91,30.38,CLR,clear,OVC,overcast,-SN,light snow,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-02,21.92,42.08,19.04,28.94,5.75,12.66,,S,8.00,15.00,,,30.23,30.37,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-03,35.06,51.08,28.94,37.04,8.06,17.26,,S,7.00,30.00,,,30.02,30.22,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-04,32.00,50.00,26.06,46.04,8.06,24.17,29.92,SW,4.00,20.00,0.43,,29.80,30.20,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-05,26.96,37.04,23.00,28.94,0.00,9.21,,S,7.00,10.00,,,30.12,30.25,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-06,24.08,42.08,23.00,30.92,0.00,9.21,,W,4.00,15.00,,,30.10,30.22,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-07,24.98,46.04,23.00,32.00,0.00,12.66,,SW,7.00,15.00,,,29.97,30.18,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-08,26.06,46.94,24.98,32.00,3.45,16.11,23.02,SW,7.00,20.00,,,29.78,29.96,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-09,37.94,46.94,30.02,39.02,10.36,18.41,26.47,W,5.00,25.00,0.13,,29.56,29.84,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,1990-01-10,30.92,35.96,26.06,32.00,6.90,20.71,24.17,NW,5.00,10.00,,,29.86,30.09,SCT,partly cloudy,OVC,overcast,-SN,light snow,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,
