Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KIND,America/Indiana/Indianapolis,2013-01-01,15.08,30.92,10.04,30.92,4.60,11.51,,NW,1.75,10.00,0.01,6.00,30.04,30.17,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-02,6.08,21.02,3.02,10.04,0.00,6.90,,W,10.00,10.00,,6.00,30.16,30.25,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-03,10.40,30.02,1.04,24.98,3.45,13.81,19.56,W,9.00,10.00,0.00,6.00,30.19,30.31,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-04,19.04,28.94,15.08,19.94,6.90,17.26,,SW,6.00,10.00,,5.00,30.30,30.36,CLR,clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-05,19.40,37.94,17.06,30.92,0.00,17.26,,S,2.00,10.00,0.01,5.00,30.12,30.32,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,BCFG,patches of fog,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-06,24.80,35.60,19.40,30.92,6.90,24.17,32.22,W,5.00,10.00,0.00,3.00,30.01,30.36,FEW,mostly clear,OVC,overcast,HZ,haze,UP,unknown precipitation,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-07,17.96,35.96,15.98,24.98,3.45,14.96,,S,2.50,10.00,,3.00,30.21,30.43,CLR,clear,SCT,partly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-08,23.00,42.08,19.94,28.94,0.00,9.21,,S,5.00,10.00,,2.00,30.18,30.27,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-09,30.92,48.02,28.94,39.20,3.45,14.96,,W,5.00,10.00,0.10,1.00,30.17,30.49,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-10,30.92,44.06,26.60,42.80,0.00,16.11,23.02,E,2.00,10.00,0.09,,30.02,30.50,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-11,44.60,57.20,42.80,53.60,5.75,21.86,27.62,S,1.75,10.00,1.07,,29.82,30.02,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-12,46.40,62.06,44.06,57.02,0.00,12.66,,S,1.75,10.00,1.28,,29.69,29.98,FEW,mostly clear,OVC,overcast,TS,thunderstorm,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,
KIND,America/Indiana/Indianapolis,2013-01-13,21.92,55.94,17.60,55.94,6.90,34.52,44.88,NW,1.00,10.00,0.87,,29.63,30.21,FEW,mostly clear,OVC,overcast,-FZRA,light freezing rain,+RA,heavy rain,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,
