Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KDSM,America/Chicago,2000-01-01,30.92,44.06,26.06,32.00,0.00,14.96,,E,8.00,10.00,,,29.56,29.93,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-02,32.00,44.60,28.40,35.60,4.60,18.41,25.32,W,0.75,10.00,,,29.42,29.95,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-03,24.80,33.80,17.60,32.00,4.60,19.56,26.47,N,0.75,9.00,,,29.83,30.00,FEW,mostly clear,OVC,overcast,-SN,light snow,FZDZ,freezing drizzle,DZ,drizzle,BR,mist,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-04,10.40,23.00,6.80,17.60,0.00,24.17,32.22,NW,2.50,10.00,,,30.01,30.28,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-05,10.04,35.60,6.80,26.60,5.75,19.56,23.02,S,8.00,10.00,,,29.89,30.23,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-06,23.00,37.40,17.60,26.60,5.75,17.26,,NW,10.00,10.00,,,30.02,30.34,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-07,17.60,44.60,14.00,24.80,0.00,17.26,,S,8.00,10.00,,,30.10,30.41,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-08,32.00,50.00,19.40,35.60,0.00,14.96,,SW,1.50,10.00,,,29.78,30.08,CLR,clear,OVC,overcast,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-09,39.20,46.40,32.00,44.60,0.00,12.66,,S,0.25,6.00,,,29.38,29.78,FEW,mostly clear,VV,overcast,-RA,light rain,DZ,drizzle,FG,fog,BR,mist,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2000-01-10,28.40,48.92,12.20,32.00,5.75,25.32,33.37,W,7.00,10.00,,,29.35,29.72,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
