Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KDSM,America/Chicago,2010-01-01,-5.98,8.60,-14.98,-0.40,5.82,18.34,24.16,NW,0.75,10.00,0.00,9.84,30.38,30.59,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-02,-16.06,1.04,-23.08,-9.04,3.36,10.29,,NW,9.00,10.00,0.00,9.84,30.48,30.58,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-03,-5.98,8.96,-11.92,-5.08,0.00,8.05,,NE,9.94,10.00,0.00,9.84,30.48,30.55,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-04,-11.92,3.02,-18.94,-7.96,5.82,12.75,,NW,5.00,10.00,0.00,9.84,30.43,30.54,NCD,no cloud detected,FEW,mostly clear,IWC71,light snow,IWCA71,light snow,IWC05,haze,HZ,haze,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-05,-9.04,8.96,-16.96,-5.98,0.00,10.29,,NW,9.94,10.00,0.00,9.84,30.31,30.44,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-06,-2.02,14.00,-9.94,6.98,0.00,12.75,,W,0.75,10.00,0.20,12.99,30.10,30.30,FEW,mostly clear,VV,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-07,-0.40,14.00,-7.96,8.60,9.17,29.97,41.38,NW,0.50,5.00,0.03,16.14,30.04,30.37,FEW,mostly clear,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWCA27,blowing snow/sand,IWC10,mist,IWCA10,mist,BR,mist,BLSN,blowing snow,IWC38,high drifting snow,,,,,,
KDSM,America/Chicago,2010-01-08,-0.94,5.00,-9.04,-4.00,5.82,21.92,32.21,NW,2.00,10.00,0.00,16.14,30.37,30.54,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWCA27,blowing snow/sand,BLSN,blowing snow,IWC38,high drifting snow,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-09,-7.96,8.06,-14.98,-2.02,0.00,10.29,,NW,7.00,10.00,0.00,14.96,30.52,30.62,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDSM,America/Chicago,2010-01-10,-4.00,23.00,-9.94,14.00,5.82,20.80,26.40,SW,9.94,10.00,0.00,14.96,30.13,30.50,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
