Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,5.261269841269837,7.548467643467647,4.492258852258853,5.651764346764351,0.532771672771673,2.1396306471306508,0.011556776556776555,3.3251068376068353,3.3449389499389475
1989,5.100377473363777,7.630678843226795,4.107281582952815,5.398076103500759,0.5999634703196345,2.26196651445967,0.0052115677321156765,3.3244292237442923,3.346821917808217
1990,4.95303500761035,7.3880487062404905,4.018076103500761,5.2656377473363785,0.5628219178082194,2.219957382039576,0.010596651445966516,3.3277260273972575,3.35057229832572
1991,5.288522588522586,7.749951159951162,4.285665445665445,5.614841269841266,0.593199023199023,2.359120879120882,0.006040903540903542,3.324294871794871,3.3463339438339426
1992,5.3613247863247935,7.727973137973135,4.293247863247868,5.600995115995122,0.5500030525030523,2.265702075702079,0.008137973137973141,3.324542124542127,3.3462118437118433
1993,5.233970856102006,7.416429872495443,4.541566484517304,5.70965391621129,0.48377049180327886,2.1894201578627848,0.010528233151183971,3.3240163934426254,3.3445810564663034
1994,5.077383810403198,7.158104032009856,4.2725638658048615,5.456995998768852,0.4288457987072944,2.218975069252081,0.00714373653431825,3.324742997845494,3.3467251461988283
1995,5.22459136822773,7.542993572084478,4.3983654729109265,5.602883379247016,0.44372513008876646,2.207823691460057,0.005760636669727577,3.3252678298132854,3.347229874502601
1996,5.096541856925416,7.371774733637752,4.316815829528159,5.5417473363774725,0.39607305936073084,2.148788432267888,0.009984779299847795,3.3215342465753417,3.344663622526637
1997,5.014450583179865,7.366439533456109,4.039146715776551,5.32864947820749,0.47565991405770414,2.28461939840393,0.00617863720073665,3.321746470227131,3.345159607120934
1998,5.103907203907202,7.302313797313791,4.338412698412704,5.532203907203906,0.3831410256410255,2.168739316239321,0.010583028083028084,3.3239468864468877,3.3464377289377296
1999,5.481120293847571,7.6714784205693265,4.723158861340681,5.87296602387511,0.4471778389960207,2.163722069176616,0.0043862871135598395,3.319996939087849,3.340358126721765
2000,5.3317747336377455,7.611610350076102,4.486788432267886,5.68602130898021,0.4233546423135468,2.20832267884323,0.0001582952815829528,3.3235920852359198,3.346480974124811
2001,5.213315118397086,7.537194899817852,4.26091074681239,5.487959927140256,0.43724954462659393,2.1779781420765043,0.0016727383120825744,3.3254887674559823,3.348564055859136
2002,5.290733637747338,7.701966514459666,4.417308980213091,5.666952815829523,0.4286118721461187,2.1851537290715393,0.0004383561643835617,3.3249071537290678,3.3464444444444426
2003,5.154514459665143,7.498788432267879,4.318404870624048,5.471226788432267,0.41486149162861485,2.1576194824961963,0.0008888888888888885,3.3252511415525148,3.3480182648401855
2004,5.177582952815831,7.470459665144587,4.481528158295284,5.7118843226788405,0.39672146118721474,2.090958904109592,6.088280060882801e-05,3.322831050228307,3.345299847793
2005,5.272987249544624,7.48533697632059,4.649599271402546,5.858397085610192,0.4253946569520342,2.1519459623557995,0.0003764420157862781,3.326706132361874,3.3473193685488773
2006,5.256706240487061,7.591500761035004,4.470624048706242,5.587884322678841,0.3950715372907154,2.1177625570776275,0.0001856925418569254,3.3240669710806685,3.34461491628615
2007,5.371610350076105,7.899226788432263,4.146404870624048,5.370788432267881,0.42124505327245065,2.203869101978694,8.219178082191781e-05,3.3215585996955843,3.34449315068493
2008,5.311171993911724,7.4955007610350135,4.492432267884321,5.64245966514459,0.3841674277016746,2.0820487062404887,0.00374124809741248,3.325519025875192,3.3471841704718455
2009,5.096429872495451,7.3844080145719495,4.169107468123862,5.429927140255011,0.3974195506982397,2.2907103825136645,0.014098360655737704,3.320610200364297,3.345163934426229
2010,5.108596651445971,7.4356651445966415,4.229089802130897,5.468158295281581,0.39048097412481,2.1951080669710854,0.009141552511415527,3.3221765601217648,3.3445418569254173
2011,5.357528158295281,7.62947336377473,4.445363774733637,5.578404870624049,0.38586605783866057,2.163296803652965,0.008614916286149164,3.3217686453576887,3.342316590563169
2012,5.240115995116,7.826544566544561,4.049346764346765,5.427918192918187,0.3944536019536023,2.2824450549450574,0.006862026862026861,3.3194169719169735,3.3418253968253957
2013,5.545692541856926,8.150076103500755,4.273528158295284,5.607719939117199,0.36641704718417056,2.1430958904109625,0.0059269406392694025,3.3212968036529693,3.343004566210041
2014,5.070885225885224,7.454566544566546,4.208522588522593,5.458247863247862,0.36241147741147767,2.1659920634920673,0.010784493284493284,3.325494505494508,3.3471214896214896
2015,5.120596651445962,7.552432267884322,3.974240487062405,5.240596651445966,0.43080669710806696,2.289290715372909,0.006983257229832573,3.3222617960426195,3.3470380517503853
2016,5.410459665144599,7.78689802130897,4.3956651445966495,5.6500213089802145,0.39294063926940653,2.1650289193302923,0.011506849315068497,3.325235920852358,3.3471689497716937
2017,5.495009107468125,7.930801457194898,4.559489981785067,5.727632058287792,0.3705221615057683,2.201241651487556,0.013967820279295686,3.3232969034608373,3.346080752884033
