Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KICT,America/Chicago,1989-01-01,28.94,42.08,28.04,37.04,4.60,13.81,,S,0.00,7.00,,,29.97,30.13,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-02,28.94,35.06,24.98,32.00,0.00,10.36,,NE,0.75,7.00,,,29.91,30.13,SCT,partly cloudy,OVC,overcast,-FZDZ,light freezing drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-03,28.94,53.06,19.94,33.08,0.00,17.26,,N,0.12,15.00,,,29.91,30.31,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-04,28.04,55.94,24.98,30.92,3.45,23.02,28.77,S,15.00,20.00,,,29.90,30.29,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-05,44.06,62.96,30.92,46.94,12.66,31.07,34.52,S,7.00,20.00,0.01,,29.34,29.88,CLR,clear,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-06,39.02,46.94,35.96,39.92,4.60,16.11,,S,7.00,10.00,,,29.56,29.83,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-07,19.04,39.02,8.06,37.04,3.45,28.77,35.67,N,4.00,20.00,,,29.49,30.19,CLR,clear,OVC,overcast,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-08,15.98,28.04,-0.94,10.94,0.00,9.21,,N,15.00,20.00,,,30.19,30.43,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-09,12.92,44.06,8.06,24.08,5.75,25.32,,S,10.00,20.00,,,30.05,30.37,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-10,23.00,50.00,23.00,30.92,4.60,17.26,,S,0.12,20.00,,,29.93,30.14,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-11,32.00,59.00,15.08,37.94,14.96,24.17,32.22,S,9.00,20.00,,,29.80,30.21,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-12,19.94,42.08,5.00,17.06,4.60,19.56,,N,15.00,20.00,,,30.22,30.56,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-13,14.00,44.06,6.08,28.04,0.00,19.56,27.62,SW,0.50,20.00,0.02,,30.24,30.58,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-14,24.08,37.04,21.02,28.04,3.45,19.56,,SW,2.00,20.00,,,29.94,30.21,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-15,19.94,48.92,15.08,26.96,0.00,16.11,20.71,NE,4.00,20.00,,,30.07,30.33,CLR,clear,BKN,mostly cloudy,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-16,21.92,53.06,14.00,24.08,5.75,27.62,28.77,SW,20.00,20.00,,,30.16,30.31,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-17,21.92,55.04,19.94,32.00,0.00,18.41,,SW,3.00,20.00,,,29.92,30.18,CLR,clear,SCT,partly cloudy,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,1989-01-18,28.94,62.06,17.96,24.98,0.00,11.51,,N,10.00,20.00,,,30.07,30.29,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
