Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KICT,America/Chicago,2000-01-01,35.06,64.04,32.00,44.60,4.60,25.32,32.22,S,8.00,10.00,0.00,0.00,29.57,29.93,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-02,30.20,51.80,26.60,42.80,0.00,17.26,,SW,10.00,10.00,,,29.59,29.88,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-03,24.80,37.40,19.40,33.80,6.90,28.77,35.67,N,0.50,10.00,0.00,,29.68,30.23,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,PL,ice pellets,-RA,light rain,-DZ,light drizzle,HZ,haze,FG,fog,BR,mist,,,,,,,,
KICT,America/Chicago,2000-01-04,12.20,26.60,3.20,19.40,4.60,24.17,31.07,NW,10.00,10.00,,,30.20,30.42,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-05,24.98,48.92,19.04,28.40,3.45,26.47,35.67,S,10.00,10.00,,,29.90,30.18,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-06,24.80,41.00,19.40,28.40,0.00,9.21,,N,10.00,10.00,,,30.14,30.45,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-07,21.20,48.20,17.60,30.20,0.00,16.11,,S,10.00,10.00,,,30.18,30.44,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-08,30.20,46.40,26.60,44.60,4.60,17.26,19.56,S,1.75,10.00,,,29.74,30.17,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-09,28.40,42.80,26.60,39.20,0.00,13.81,,NW,0.12,10.00,,,29.56,29.73,CLR,clear,VV,overcast,HZ,haze,FG,fog,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,,,
KICT,America/Chicago,2000-01-10,30.20,60.80,21.20,28.40,4.60,16.11,,W,10.00,10.00,,,29.63,30.00,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
