Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,5.4143500761034975,7.50202130898021,4.437856925418569,5.582678843226789,0.3501339421613404,1.7317077625570796,0.009933028919330286,3.3290076103500756,3.3472876712328796
1989,5.175883424408018,7.442987249544634,4.095938069216758,5.418014571948999,0.3575895567698856,1.755549483910144,0.011411657559198542,3.3292835458409233,3.3492896174863387
1990,5.206952815829525,7.246404870624055,4.396980213089798,5.591226788432268,0.30038356164383667,1.600353120243536,0.015427701674277018,3.330958904109591,3.3505449010654464
1991,5.5769329660238744,7.68674012855831,4.6783103764922,5.882387511478417,0.36157024793388504,1.7010223446587132,0.016525864707682893,3.330786654423019,3.3499357208448104
1992,5.665775335775334,7.626764346764347,4.7565995115995126,5.860445665445663,0.3395177045177051,1.615579975579978,0.01162393162393162,3.3318498168498145,3.3496611721611704
1993,5.402768670309653,7.345009107468124,4.572386156648454,5.710255009107471,0.30551001821493723,1.571821493624776,0.012416514875531264,3.3285670916818457,3.3474225865209473
1994,5.332029384756658,7.306850321395775,4.693737373737369,5.820293847566582,0.2752892561983481,1.5052525252525266,0.013994490358126721,3.329262320171415,3.3482889501071353
1995,5.344786324786325,7.4142918192918215,4.541819291819292,5.7247313797313835,0.2057203907203908,1.5348137973137999,0.010494505494505495,3.3317429792429807,3.350521978021977
1996,5.406434676434676,7.342039072039069,4.596105006105003,5.790006105006104,0.2155952380952382,1.6595543345543395,0.01028693528693529,3.327356532356533,3.346242368742371
1997,5.28048706240487,7.159007610350077,4.378733637747336,5.661089802130891,0.24093455098934569,1.7677138508371395,0.014003044140030438,3.3271537290715347,3.3473637747336347
1998,5.334284837323513,7.206771025168816,4.497710251688156,5.714395334561073,0.22631062001227784,1.6757182320442015,0.01252608962553714,3.3263290362185356,3.3473818293431536
1999,5.819091467157765,7.62583179864947,5.028152240638426,6.134284837323508,0.18703499079189695,1.616218538980972,0.009232658072437078,3.3262891344383045,3.344444444444446
2000,5.577728257505416,7.675555555555556,4.639622407923244,5.868758898173935,0.21507582791705374,1.7211761064685875,0.00017022593624264936,3.330003095017023,3.3491550603528304
2001,5.383511356660528,7.33958870472682,4.578428483732353,5.782019643953344,0.2146715776550032,1.6927317372621264,0.0010834868017188456,3.3312768569674627,3.3515162676488632
2002,5.555167743921208,7.5477993228685705,4.668020929516774,5.82586026469683,0.19462296091104955,1.6467897814712233,0.0002493074792243768,3.3326192674669137,3.3506155740227763
2003,5.630830280830284,7.530665445665451,4.817203907203904,5.955445665445657,0.21132478632478627,1.6843131868131909,0.0022374847374847374,3.330598290598287,3.350973748473749
2004,5.382733637747343,7.237144596651451,4.60185692541857,5.732541856925422,0.19295281582952817,1.6437777777777782,0.00011872146118721462,3.3268310502283116,3.346161339421611
2005,5.579226788432266,7.431665144596649,4.634569254185693,5.762240487062409,0.20894977168949783,1.6894246575342493,0.000136986301369863,3.3321156773211573,3.3510502283105055
2006,5.544731379731379,7.456050061050061,4.540335775335774,5.647203907203902,0.18535714285714297,1.6163156288156313,0.00013736263736263736,3.327619047619044,3.346913919413916
2007,5.553308980213088,7.447719939117202,4.549637747336377,5.683062404870622,0.1967762557077627,1.7155281582952844,0.00022831050228310507,3.327153729071539,3.3466971080669734
2008,5.691336377473362,7.722130898021307,4.328761035007609,5.558185692541853,0.17085540334855406,1.6514550989345544,0.007333333333333332,3.3308188736681905,3.350365296803653
2009,5.446764346764349,7.461050061050059,4.236599511599513,5.474126984126981,0.1650335775335775,1.7245726495726517,0.013354700854700854,3.3269474969474966,3.348919413919412
2010,5.423829528158301,7.247171993911719,4.445254185692542,5.576213089802124,0.1753850837138508,1.6340395738203968,0.014815829528158301,3.3270837138508416,3.3472754946727568
2011,5.580048706240489,7.561802130898021,4.401802130898022,5.479445966514459,0.16874277016742775,1.5645144596651421,0.011817351598173516,3.326003044140028,3.34413089802131
2012,5.650185692541857,7.549144596651446,4.620377473363777,5.715391171993907,0.18316894977168943,1.7348523592085285,0.018977168949771688,3.324511415525115,3.3443592085235943
2013,5.709637747336379,7.812761035007602,4.578185692541859,5.746240487062402,0.1470715372907153,1.6661856925418599,0.011990867579908684,3.3274672754946732,3.346307458143072
2014,5.44563820018366,7.350596877869598,4.494784205693299,5.628888888888885,0.15983777165595342,1.6355800428527731,0.01484848484848484,3.3314845423936363,3.3509029690847876
2015,5.312966023875115,7.311753902662988,4.250266299357212,5.4952249770431525,0.21723293541475377,1.7654882154882192,0.012164064891337619,3.328680746862566,3.3490756045301477
2016,5.6121035007610365,7.560322678843224,4.535500761035008,5.73884322678843,0.21671537290715387,1.716986301369864,0.01744292237442922,3.3317777777777775,3.351719939117203
2017,5.74905282331512,7.70080145719489,4.589489981785063,5.770856102003647,0.1993989071038252,1.7269004250151827,0.012726168791742563,3.3302064359441395,3.3494474802671523
