Call Sign (String),Time Zone ID (String),Taken At (UTC) (ISO 8601),Taken At (Local) (ISO 8601),Is Regular Report (Boolean),Is Correction (Boolean),Has Been Corrected (Boolean),Has Precipitation Sensor (Boolean),Source (String),Sub-Source (String),Report Type (String),Trend (String),Airport Status (String),Automatic Type (String),Temperature (°F),Temperature Precision (Integer),Temperature 6-Hour Low (°F),Temperature 6-Hour High (°F),Temperature 24-Hour Low (°F),Temperature 24-Hour High (°F),Dew Point (°F),Dew Point Precision (Integer),Wind Speed (mph),Wind Direction (degrees),Gust Speed (mph),CAVOK (Boolean),Visibility (mi),Visibility Type (String),Precipitation 1h (in),Precipitation 3h (in),Precipitation 6h (in),Precipitation 24h (in),Snow Depth (in),Pressure Altimeter (in Hg),Pressure Station (in Hg),Pressure Sea Level (in Hg),Max Cloud Layer Code (String),Max Cloud Layer Height (ft),Cloud Layer Code 1 (String),Cloud Layer Label 1 (String),Cloud Layer Height 1 (ft),Cloud Layer Code 2 (String),Cloud Layer Label 2 (String),Cloud Layer Height 2 (ft),Cloud Layer Code 3 (String),Cloud Layer Label 3 (String),Cloud Layer Height 3 (ft),Cloud Layer Code 4 (String),Cloud Layer Label 4 (String),Cloud Layer Height 4 (ft),Cloud Layer Code 5 (String),Cloud Layer Label 5 (String),Cloud Layer Height 5 (ft),Cloud Layer Code 6 (String),Cloud Layer Label 6 (String),Cloud Layer Height 6 (ft),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Raw (String)
KSDF,America/Kentucky/Louisville,2010-01-01T05:56:00,2010-01-01T00:56:00,true,false,false,false,Ish,IS7,SY_MT,,,,30.02,1,,,30.02,42.98,21.92,1,12.75,300.00,,false,10.00,,0.00,,,,,30.18,30.18,30.19,OVC,1801.18,OVC,overcast,1801.18,OVC,overcast,1801.18,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T06:56:00,2010-01-01T01:56:00,true,false,false,false,Ish,IS7,FM_15,,,,24.98,1,,,,,15.98,1,13.87,320.00,,false,10.00,,0.00,,,,,30.21,30.21,30.22,OVC,2001.31,OVC,overcast,2001.31,OVC,overcast,2001.31,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T07:12:00,2010-01-01T02:12:00,false,false,false,false,Ish,IS7,FM_16,,,,24.80,1,,,,,15.80,1,10.29,310.00,,false,10.00,,,,,,,30.23,30.23,,SCT,2001.31,SCT,partly cloudy,2001.31,SCT,partly cloudy,2001.31,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T07:43:00,2010-01-01T02:43:00,false,false,false,false,Ish,IS7,FM_16,,,,23.00,1,,,,,14.00,1,16.11,320.00,20.80,false,10.00,,,,,,,30.24,30.24,,BKN,2299.87,BKN,mostly cloudy,2299.87,BKN,mostly cloudy,2299.87,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T07:56:00,2010-01-01T02:56:00,true,false,false,false,Ish,IS7,FM_15,,,,21.92,1,,,,,12.92,1,13.87,330.00,,false,10.00,,0.00,,,,,30.24,30.24,30.26,BKN,2299.87,BKN,mostly cloudy,2299.87,BKN,mostly cloudy,2299.87,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T08:56:00,2010-01-01T03:56:00,true,false,false,false,Ish,IS7,SY_MT,,,,21.02,1,,,,,12.02,1,10.29,320.00,,false,10.00,,0.00,,,,,30.25,30.25,30.27,BKN,2299.87,BKN,mostly cloudy,2299.87,BKN,mostly cloudy,2299.87,ICC06,six oktas - 7/10 - 8/10,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T09:56:00,2010-01-01T04:56:00,true,false,false,false,Ish,IS7,FM_15,,,,19.94,1,,,,,12.02,1,9.17,300.00,,false,10.00,,0.00,,,,,30.26,30.26,30.27,OVC,2299.87,OVC,overcast,2299.87,OVC,overcast,2299.87,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T10:56:00,2010-01-01T05:56:00,true,false,false,false,Ish,IS6,FM_15,,,,17.96,1,,,,,10.04,1,10.29,310.00,,false,10.00,,0.00,,,,,30.27,30.27,30.29,BKN,2099.74,BKN,mostly cloudy,2099.74,BKN,mostly cloudy,25000.00,BKN,mostly cloudy,2099.74,BKN,mostly cloudy,25000.00,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T10:59:00,2010-01-01T05:59:00,false,false,false,false,Ish,IS7,FM_16,,,,17.60,1,,,,,8.60,1,11.41,310.00,,false,10.00,,,,,,,30.27,30.27,30.29,BKN,24606.30,SCT,partly cloudy,2099.74,SCT,partly cloudy,2099.74,BKN,mostly cloudy,24606.30,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T11:56:00,2010-01-01T06:56:00,true,false,false,false,Ish,IS7,SY_MT,,,,17.06,1,,,,42.98,8.06,1,10.29,310.00,,false,10.00,,0.00,,,,,30.29,30.29,30.31,BKN,25000.00,BKN,mostly cloudy,25000.00,BKN,mostly cloudy,25000.00,ICC06,six oktas - 7/10 - 8/10,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T12:56:00,2010-01-01T07:56:00,true,false,false,false,Ish,IS7,FM_15,,,,17.06,1,,,,,8.96,1,11.41,300.00,17.22,false,10.00,,0.00,,,,,30.32,30.32,30.33,FEW,1000.66,FEW,mostly clear,1000.66,FEW,mostly clear,1000.66,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T13:56:00,2010-01-01T08:56:00,true,false,false,false,Ish,IS7,FM_15,,,,17.06,1,,,,,8.96,1,9.17,290.00,,false,10.00,,0.00,,,,,30.32,30.32,30.34,SCT,1499.34,SCT,partly cloudy,1499.34,SCT,partly cloudy,1499.34,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T14:56:00,2010-01-01T09:56:00,true,false,false,false,Ish,IS7,SY_MT,,,,17.96,1,,,,,8.06,1,8.05,300.00,,false,10.00,,0.00,,,,,30.34,30.34,30.36,FEW,2001.31,FEW,mostly clear,2001.31,FEW,mostly clear,2001.31,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2010-01-01T15:56:00,2010-01-01T10:56:00,true,false,false,false,Ish,IS7,FM_15,,,,19.94,1,,,,,8.06,1,10.29,280.00,,false,10.00,,0.00,,,,,30.35,30.35,30.37,FEW,2500.00,FEW,mostly clear,2500.00,FEW,mostly clear,2500.00,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,
