Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KSDF,America/Kentucky/Louisville,2000-01-01,32.00,60.08,28.94,53.60,0.00,10.36,,S,4.00,10.00,0.00,,30.01,30.14,CLR,clear,OVC,overcast,HZ,haze,BRHZ,mist and haze,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-02,55.40,64.40,51.80,57.20,6.90,24.17,32.22,S,1.25,10.00,,,29.89,30.00,FEW,mostly clear,OVC,overcast,+TSRA,thunderstorm with heavy rain,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-03,55.04,69.80,50.00,60.80,3.45,32.22,36.82,S,0.25,10.00,0.95,,29.59,29.98,FEW,mostly clear,OVC,overcast,VCTS,thunderstorm in the vicinity,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,+RA,heavy rain,RA,rain,-RA,light rain,FG,fog,BR,mist,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-04,28.40,55.40,17.60,48.20,10.36,18.41,21.86,W,9.00,10.00,0.00,,29.69,30.27,FEW,mostly clear,OVC,overcast,-SN,light snow,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-05,28.40,33.80,17.60,19.94,0.00,12.66,,W,9.00,10.00,,,30.28,30.44,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-06,24.80,48.20,19.40,26.60,3.45,17.26,,S,8.00,10.00,,,30.29,30.37,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-07,30.20,46.40,12.20,30.02,0.00,13.81,,W,7.00,10.00,,,30.32,30.46,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-08,26.60,42.80,17.60,33.80,0.00,11.51,,SE,10.00,10.00,,,30.04,30.40,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-09,39.20,48.20,32.00,48.20,0.00,8.06,,SE,0.50,10.00,,,29.67,30.02,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-10,39.20,55.40,26.60,48.20,4.60,24.17,32.22,SW,1.25,10.00,,,29.47,29.72,FEW,mostly clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-11,37.04,53.60,12.20,30.20,3.45,27.62,33.37,W,10.00,10.00,,,29.69,30.20,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-12,30.20,59.00,21.20,53.60,0.00,20.71,27.62,S,7.00,10.00,0.00,,29.83,30.19,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-13,28.40,57.20,21.20,55.40,9.21,24.17,29.92,NW,6.00,10.00,0.03,,29.85,30.68,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-14,23.00,35.60,17.60,23.00,0.00,9.21,,SE,8.00,10.00,,,30.61,30.83,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-15,24.80,53.60,17.60,24.80,5.75,24.17,29.92,S,10.00,10.00,,,30.19,30.58,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-16,35.60,57.20,21.20,46.40,6.90,21.86,33.37,SW,9.00,10.00,,,30.22,30.53,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-17,24.80,33.80,8.60,30.20,6.90,17.26,18.41,E,4.00,10.00,,,30.15,30.58,FEW,mostly clear,OVC,overcast,FZRAPL,freezing rain and ice pellets,-FZRAPL,light freezing rain and ice pellets,-PLRA,light ice pellets and rain,-FZRA,light freezing rain,-RA,light rain,BR,mist,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-18,26.60,32.00,26.60,32.00,3.45,12.66,,W,1.00,10.00,0.00,,30.08,30.19,BKN,mostly cloudy,OVC,overcast,-SN,light snow,-SNFZDZ,light freezing drizzle and snow,FZDZ,freezing drizzle,-FZRA,light freezing rain,BR,mist,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-19,26.60,33.98,26.60,33.80,0.00,9.21,,S,0.50,8.00,0.00,,29.62,30.18,CLR,clear,VV,overcast,SN,snow,-SN,light snow,-SNFZDZ,light freezing drizzle and snow,-SNPLFZDZ,light freezing drizzle, ice pellets, and snow,DZ,drizzle,FG,fog,BR,mist,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-20,14.00,35.60,6.80,35.06,10.36,23.02,29.92,W,2.00,10.00,0.00,,29.62,30.23,FEW,mostly clear,OVC,overcast,-SN,light snow,-SNPL,light snow and ice pellets,-SNDZ,light snow and drizzle,DZ,drizzle,BR,mist,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-21,6.80,24.80,-2.20,14.00,0.00,11.51,,W,10.00,10.00,,,30.18,30.31,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-22,19.40,30.92,14.00,30.92,0.00,11.51,,SE,1.00,10.00,0.00,2.00,29.96,30.17,FEW,mostly clear,VV,overcast,-SN,light snow,-SNGS,light snow and small hail,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-23,28.40,33.80,19.40,32.00,0.00,11.51,,NW,1.00,10.00,,,29.98,30.15,FEW,mostly clear,VV,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-24,12.20,26.60,3.20,17.60,0.00,16.11,,N,9.00,10.00,,,30.10,30.27,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-25,10.40,24.80,5.00,17.60,0.00,19.56,,W,1.25,10.00,,1.00,29.93,30.08,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-26,15.80,26.96,6.08,12.20,6.90,14.96,,W,9.00,10.00,,,30.08,30.39,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-27,10.40,24.80,1.40,6.80,0.00,10.36,,N,9.00,10.00,,,30.39,30.58,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-28,12.20,30.20,3.02,10.40,6.90,12.66,,E,10.00,10.00,,,30.51,30.63,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-29,24.80,33.80,10.40,32.00,0.00,12.66,,E,0.75,10.00,0.09,1.00,30.21,30.50,FEW,mostly clear,OVC,overcast,-SN,light snow,-SNPL,light snow and ice pellets,-SNGS,light snow and small hail,GSUP,small hail and unknown precipitation,-SNFZDZ,light freezing drizzle and snow,-FZRAPL,light freezing rain and ice pellets,-FZRAPLSN,light freezing rain, ice pellets, and snow,FZDZ,freezing drizzle,-FZRA,light freezing rain,-FZRAGS,light freezing rain and small hail,-RA,light rain,HZ,haze
KSDF,America/Kentucky/Louisville,2000-01-30,26.60,33.80,21.20,30.20,4.60,17.26,,SW,1.75,9.00,,,30.14,30.24,FEW,mostly clear,OVC,overcast,-SN,light snow,-SNFZRA,light freezing rain and snow,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-01-31,26.06,33.80,15.08,23.00,3.45,20.71,,SW,3.00,10.00,0.00,,30.10,30.20,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-01,26.60,37.04,19.40,24.98,5.75,13.81,,W,1.50,10.00,0.00,1.00,30.09,30.38,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-02,17.60,37.04,15.80,21.20,0.00,12.66,,S,4.00,10.00,,1.00,30.12,30.46,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-03,33.80,44.96,21.20,30.20,9.21,19.56,21.86,S,6.00,10.00,0.00,,29.81,30.08,FEW,mostly clear,OVC,overcast,-SNPL,light snow and ice pellets,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-04,30.20,35.60,21.20,28.40,0.00,17.26,,W,1.00,10.00,0.00,,29.91,30.30,FEW,mostly clear,OVC,overcast,-SN,light snow,-SNGS,light snow and small hail,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-05,19.40,37.40,15.80,23.00,0.00,14.96,,W,9.00,10.00,,,30.31,30.44,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-06,23.00,42.80,19.40,24.08,0.00,10.36,,S,7.00,10.00,,,30.24,30.43,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-07,33.80,53.96,21.20,30.20,3.45,12.66,,W,6.00,10.00,,,30.20,30.37,CLR,clear,BKN,mostly cloudy,HZ,haze,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-08,26.60,51.80,23.00,28.94,0.00,8.06,,N,2.00,10.00,,,30.27,30.43,CLR,clear,SCT,partly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-09,28.94,60.80,26.06,30.92,0.00,16.11,,S,4.00,10.00,,,29.98,30.26,FEW,mostly clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-10,46.40,66.20,30.20,51.80,8.06,21.86,24.17,S,8.00,10.00,,,29.66,29.96,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-11,35.60,57.20,24.80,51.80,8.06,17.26,,N,4.00,10.00,,,29.75,30.18,FEW,mostly clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-12,30.20,48.20,24.80,33.80,4.60,12.66,,NE,9.00,10.00,,,30.02,30.17,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-13,37.40,51.80,33.80,51.80,3.45,14.96,24.17,S,1.00,10.00,,,29.56,30.02,FEW,mostly clear,OVC,overcast,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-14,35.60,48.20,28.40,46.40,6.90,16.11,,W,5.00,10.00,,,29.59,30.19,BKN,mostly cloudy,OVC,overcast,-RA,light rain,DZ,drizzle,HZ,haze,BR,mist,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-15,35.60,55.40,28.40,37.04,0.00,14.96,,SE,7.00,10.00,,,29.92,30.30,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-16,32.00,57.20,24.80,41.00,6.90,19.56,20.71,N,6.00,10.00,,,29.95,30.47,FEW,mostly clear,OVC,overcast,HZ,haze,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2000-02-17,28.40,44.60,21.20,37.40,4.60,14.96,,E,4.00,10.00,,,30.09,30.47,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
