Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KSDF,America/Kentucky/Louisville,2013-01-01,30.20,37.04,24.08,35.60,0.00,10.36,,N,2.50,10.00,0.02,,30.05,30.15,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-02,24.08,33.98,17.06,24.80,0.00,11.51,,N,5.00,10.00,,,30.16,30.27,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-03,21.92,39.92,15.98,24.98,0.00,12.66,,W,6.00,10.00,,,30.23,30.39,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-04,28.04,41.00,23.00,24.98,0.00,18.41,26.47,W,6.00,10.00,,,30.36,30.42,CLR,clear,OVC,overcast,HZ,haze,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-05,24.80,46.40,21.20,28.94,0.00,11.51,,W,6.00,10.00,,,30.20,30.38,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-06,26.60,42.08,21.02,33.80,6.90,19.56,24.17,SW,7.00,10.00,,,30.11,30.40,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-07,23.00,42.08,19.04,28.40,0.00,11.51,,SE,3.00,20.00,,,30.22,30.47,CLR,clear,SCT,partly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-08,26.06,55.04,23.00,33.80,0.00,12.66,,SE,6.00,10.00,,,30.23,30.33,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-09,42.98,60.80,33.80,44.96,0.00,9.21,,N,7.00,10.00,0.01,,30.23,30.50,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-10,42.98,53.06,32.00,50.00,0.00,10.36,,E,1.75,10.00,0.11,,30.03,30.49,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-11,55.04,66.92,46.94,59.00,0.00,21.86,27.62,SW,1.50,10.00,0.69,,29.87,30.02,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-12,59.00,69.08,55.04,64.40,0.00,19.56,29.92,S,6.00,10.00,0.00,,29.79,30.03,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-13,33.80,69.08,28.40,59.00,0.00,32.22,41.43,S,1.25,10.00,1.61,,29.76,30.21,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-14,26.60,32.00,21.02,26.60,4.60,16.11,,N,10.00,10.00,,,30.23,30.46,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-15,24.80,33.80,21.02,30.92,0.00,14.96,,N,2.00,10.00,0.27,,30.07,30.34,FEW,mostly clear,OVC,overcast,-SN,light snow,-FZDZSN,light freezing drizzle and snow,-FZRAPL,light freezing rain and ice pellets,-FZRASN,light freezing rain and snow,-FZRAPLSN,light freezing rain, ice pellets, and snow,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,-RA,light rain,HZ,haze,BR,mist,,,,
KSDF,America/Kentucky/Louisville,2013-01-16,30.20,33.98,28.04,30.20,0.00,9.21,,SW,2.00,8.00,,1.00,30.02,30.14,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-17,30.92,46.04,21.92,32.00,0.00,14.96,23.02,N,7.00,10.00,,,30.12,30.42,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-18,26.06,44.06,17.60,26.60,3.45,13.81,,S,10.00,10.00,,,30.29,30.54,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-19,39.20,55.94,24.98,28.94,6.90,19.56,29.92,S,10.00,10.00,,,30.00,30.28,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-20,28.04,48.02,5.00,33.98,4.60,14.96,25.32,NW,10.00,10.00,,,30.03,30.26,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-21,15.98,30.92,-0.94,17.60,5.75,21.86,33.37,W,10.00,10.00,,,30.17,30.30,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-22,10.40,23.00,-4.00,3.02,4.60,13.81,20.71,NW,10.00,10.00,,,30.31,30.44,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-23,17.06,37.94,3.02,19.04,0.00,11.51,,W,10.00,10.00,,,30.10,30.38,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-24,21.02,32.00,-5.98,19.94,4.60,19.56,26.47,N,10.00,10.00,,,30.17,30.58,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-25,24.08,28.94,3.02,24.80,0.00,11.51,,E,2.00,10.00,0.02,,30.09,30.37,FEW,mostly clear,OVC,overcast,-SN,light snow,-SNPL,light snow and ice pellets,-FZRAPL,light freezing rain and ice pellets,FZRA,freezing rain,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,HZ,haze,BR,mist,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-26,24.08,39.02,17.06,24.98,0.00,8.06,,N,2.50,10.00,,,30.20,30.41,FEW,mostly clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-27,24.80,46.40,17.60,41.00,0.00,10.36,,SE,4.00,10.00,0.13,,30.15,30.41,FEW,mostly clear,OVC,overcast,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-28,48.20,59.00,39.02,51.98,6.90,17.26,25.32,S,1.75,10.00,0.01,,30.07,30.15,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-29,55.94,66.92,51.08,59.00,5.75,21.86,34.52,S,7.00,10.00,,,29.57,30.08,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-30,33.08,69.98,24.08,60.80,8.06,32.22,43.73,S,1.50,10.00,0.74,,29.35,29.72,FEW,mostly clear,OVC,overcast,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-01-31,19.04,35.96,8.60,28.40,6.90,34.52,42.58,W,0.25,10.00,0.01,,29.77,30.14,FEW,mostly clear,VV,overcast,+SN,heavy snow,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-01,8.60,21.02,-0.94,10.04,0.00,18.41,32.22,NW,9.00,10.00,0.00,2.00,30.20,30.49,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-02,19.94,35.60,10.94,26.96,3.45,13.81,,S,1.00,10.00,0.07,1.00,30.04,30.32,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-03,24.98,32.00,15.98,26.06,0.00,19.56,26.47,W,1.50,10.00,0.00,,29.99,30.16,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-04,21.02,48.02,17.06,41.00,0.00,16.11,26.47,S,4.00,10.00,0.01,,29.84,30.14,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-05,35.06,51.08,30.02,39.20,0.00,11.51,,W,3.00,10.00,,,29.88,30.04,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-06,30.92,44.60,26.96,30.92,0.00,8.06,,NW,3.00,8.00,,,30.06,30.27,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-07,35.06,66.92,28.94,42.98,0.00,12.66,18.41,S,5.00,10.00,,,29.85,30.16,FEW,mostly clear,OVC,overcast,HZ,haze,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-08,33.80,53.96,26.06,48.20,3.45,17.26,21.86,NW,3.00,10.00,0.08,,29.85,30.35,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-09,28.04,46.94,21.20,26.96,0.00,9.21,,E,9.00,10.00,,,30.19,30.41,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-10,37.40,57.92,23.00,51.80,0.00,23.02,35.67,S,4.00,10.00,0.18,,29.82,30.17,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-11,39.92,55.94,26.06,51.98,4.60,23.02,29.92,SW,10.00,10.00,,,29.82,30.12,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-12,33.98,51.08,21.92,28.94,0.00,8.06,,W,10.00,10.00,,,29.91,30.18,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-13,33.08,44.60,28.04,33.98,0.00,16.11,,N,0.50,10.00,0.05,,29.79,29.94,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,-RA,light rain,FG,fog,BR,mist,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-14,37.04,57.92,32.00,35.60,4.60,16.11,24.17,SW,9.00,10.00,,,29.88,30.01,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-15,28.94,44.60,17.96,33.80,0.00,18.41,24.17,W,10.00,10.00,0.00,,30.02,30.19,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-16,23.00,35.06,6.80,19.04,0.00,18.41,26.47,NW,10.00,10.00,,,30.09,30.17,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-17,19.40,39.92,10.40,15.08,0.00,9.21,16.11,W,10.00,10.00,,,30.15,30.27,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-18,28.94,62.06,15.08,42.08,4.60,24.17,31.07,S,9.00,10.00,0.14,,29.77,30.18,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-19,24.80,48.02,14.00,42.98,10.36,29.92,40.28,W,4.00,10.00,0.18,,29.73,30.21,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KSDF,America/Kentucky/Louisville,2013-02-20,19.94,33.98,10.94,14.00,4.60,11.51,,W,10.00,10.00,,,30.21,30.34,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
