Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,6.62941856925419,8.56689802130898,5.99402130898021,7.08317199391172,0.21117503805175047,1.664429223744296,0.018426179604261798,3.3317716894977187,3.3456560121765624
1989,6.6354462659380715,8.498670309653924,6.005555555555556,7.154134790528233,0.3052580449301762,1.7489404978749272,0.022413479052823315,3.3336976320582847,3.3477686703096516
1990,6.652377473363775,8.516651445966518,6.100322678843229,7.236487062404873,0.294846270928463,1.699832572298329,0.02038356164383561,3.3340060882800566,3.34759208523592
1991,6.80169254185693,8.811007610350071,6.179555555555549,7.331555555555555,0.25599695585996973,1.6871415525114197,0.01860578386605784,3.335814307458141,3.3496834094368344
1992,6.833742368742375,8.62484126984127,6.251379731379724,7.291050061050072,0.2942857142857146,1.785216727716731,0.030357142857142857,3.333296703296703,3.347390109890114
1993,6.630637522768676,8.524571948998187,6.082495446265936,7.1762659380692195,0.2161870066788101,1.708391013964787,0.024486945962355785,3.3317304189435353,3.345631451123255
1994,6.567007610350085,8.531884322678843,6.0836103500761025,7.1698569254185776,0.21115068493150688,1.6955403348554057,0.015902587519025874,3.333123287671234,3.347074581430747
1995,6.681692541856939,8.640487062404874,6.210733637747329,7.294350076103495,0.21043835616438372,1.5313028919330316,0.015762557077625573,3.33346118721461,3.347162861491628
1996,6.73040487062405,8.727336377473364,6.067171993911718,7.267500761035011,0.24615525114155265,1.4942009132420115,0.019808219178082197,3.3288097412480946,3.343339421613394
1997,6.747281582952828,8.569582952815834,6.043281582952813,7.185747336377469,0.23777473363774732,1.7130837138508397,0.010143074581430746,3.332313546423132,3.346952815829529
1998,6.845911719939122,8.48618569254186,5.987281582952815,7.118952815829522,0.25248706240487084,1.7554794520547967,0.008176560121765607,3.329016742770168,3.3434916286149177
1999,7.037144596651452,8.726624048706245,6.400541856925419,7.394185692541843,0.25280669710806714,1.7678143074581463,0.00753729071537291,3.3264200913242035,3.34055707762557
2000,6.895062404870627,8.749802130898011,6.13193911719939,7.2727610350076075,0.1925540334855404,1.695832572298328,0.0030258751902587496,3.33195738203957,3.34558599695586
2001,6.843041894353383,8.733424408014576,6.043752276867035,7.222276867030959,0.20810868245294475,1.7777868852459036,0.011666666666666669,3.334371584699454,3.3484638737097767
2002,6.843665144596654,8.597254185692535,6.177144596651448,7.2108432267884295,0.17366818873668186,1.7069954337899558,0.020861491628614913,3.3345175038051735,3.3478234398782383
2003,6.860103500761038,8.590514459665142,6.168541856925416,7.222130898021307,0.21316590563165919,1.7524961948249642,0.007926940639269407,3.3319452054794487,3.346477929984776
2004,6.888651445966522,8.613637747336366,6.157528158295278,7.242185692541853,0.18064231354642313,1.7084018264840206,0.01980517503805176,3.3299604261796047,3.34439573820396
2005,6.910418943533708,8.554845173041887,6.172877959927133,7.228178506375229,0.20292956891317546,1.7720066788099595,0.024049787492410435,3.33327868852459,3.3474984820886475
2006,6.908566210045656,8.636292237442932,5.909936073059357,7.017278538812779,0.20228006088280068,1.7125205479452075,0.013844748858447487,3.328821917808221,3.343123287671231
2007,6.950952815829531,8.745363774733645,5.803391171993908,7.0382952815829505,0.1952267884322679,1.7821126331811288,0.013424657534246575,3.331671232876712,3.3458782343987834
2008,6.940487062404872,8.64174733637747,6.024322678843228,7.145692541856922,0.15264535768645354,1.652697108066973,0.015339421613394215,3.333391171993911,3.347105022831052
2009,6.903117199391177,8.640432267884314,6.083993911719934,7.247007610350079,0.2350045662100458,1.800410958904112,0.013710806697108075,3.331430745814308,3.3462283105022834
2010,6.963555555555558,8.654678843226787,5.970733637747334,7.052541856925419,0.1954246575342466,1.7758538812785403,0.02196042617960427,3.3300821917808205,3.3444322678843226
2011,6.790678843226789,8.562350076103499,5.73484322678844,6.882130898021299,0.1650806697108068,1.7398812785388096,0.016261796042617963,3.3290015220700186,3.343467275494675
2012,6.975171993911715,8.803062404870623,5.914130898021307,7.0586240487062435,0.19572298325722992,1.7728797564687997,0.014971080669710807,3.329911719939118,3.3439025875190245
2013,7.1114025500910865,8.853041894353364,6.257085610200361,7.326867030965387,0.1725258044930176,1.7171675774134814,0.017386156648451726,3.330595021250761,3.3447024893746202
2014,6.890624048706255,8.516487062404865,6.107226788432269,7.166350076103498,0.19290106544901064,1.717978691019789,0.019229832572298326,3.33241400304414,3.3467610350076122
2015,6.7704596651446,8.521035007610344,5.889199391171992,7.064377473363781,0.18910806697108065,1.7814429223744312,0.016164383561643826,3.3331263318112625,3.3474459665144622
2016,7.162733637747333,8.790076103500757,6.1539665144596585,7.199993911719939,0.23355555555555552,1.7845418569254201,0.019260273972602753,3.3322739726027373,3.346036529680367
2017,7.2779052823315125,8.923151183970855,6.285828779599272,7.340582877959914,0.19101700060716473,1.7549301760777187,0.020085003035822703,3.332717061323616,3.3467182756527003
