Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMSY,America/Chicago,1990-01-01,39.02,55.04,33.08,41.00,0.00,12.66,,NW,5.00,15.00,,,30.22,30.40,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-02,39.92,55.04,33.08,48.02,3.45,12.66,,E,7.00,15.00,,,30.30,30.42,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-03,50.00,62.06,48.92,60.98,4.60,14.96,,E,0.50,10.00,0.01,,30.13,30.29,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-04,59.00,71.96,57.92,68.00,0.00,14.96,,S,0.00,10.00,0.06,,30.07,30.15,SCT,partly cloudy,OVC,overcast,-TSRA,thunderstorm with light rain,RA,rain,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-05,55.94,71.06,55.94,66.92,0.00,14.96,21.86,N,0.00,6.00,2.82,,29.98,30.11,SCT,partly cloudy,OVC,overcast,TSRA,thunderstorm with rain,SHRA,showers of rain,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-06,53.06,59.00,51.98,57.92,4.60,14.96,,N,0.50,10.00,,,30.01,30.15,FEW,mostly clear,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-07,48.02,55.04,46.04,53.06,6.90,14.96,19.56,NW,1.00,7.00,0.66,,29.91,30.09,SCT,partly cloudy,OVC,overcast,RA,rain,SHRA,showers of rain,-DZRA,light drizzle and rain,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-08,44.06,57.02,41.00,46.04,0.00,14.96,,NW,6.00,15.00,,,30.05,30.16,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-09,37.94,69.98,35.96,53.06,0.00,13.81,,SW,5.00,15.00,,,30.10,30.19,CLR,clear,SCT,partly cloudy,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-10,51.08,69.08,39.02,53.96,0.00,10.36,,W,0.00,15.00,,,30.18,30.28,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-11,44.06,69.98,42.08,59.00,0.00,17.26,24.17,W,7.00,15.00,,,30.04,30.19,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-12,44.96,62.06,19.94,57.92,5.75,17.26,24.17,N,0.06,15.00,,,30.09,30.40,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-13,37.04,51.98,17.06,30.92,0.00,20.71,,NE,10.00,15.00,,,30.39,30.49,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-14,33.08,64.04,28.04,50.00,0.00,11.51,,E,7.00,15.00,,,30.28,30.39,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-15,46.04,73.04,44.96,57.92,0.00,13.81,,SE,6.00,15.00,,,30.24,30.33,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-16,51.98,69.98,51.98,62.06,4.60,13.81,,E,0.50,9.00,,,30.21,30.30,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-17,62.06,78.08,60.98,66.92,8.06,14.96,,SE,0.31,8.00,,,30.11,30.20,FEW,mostly clear,OVC,overcast,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-18,60.08,66.92,57.92,66.02,4.60,20.71,,E,0.25,20.00,0.18,,30.11,30.21,CLR,clear,OVC,overcast,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,1990-01-19,60.98,78.08,59.00,64.94,6.90,19.56,24.17,SE,0.12,15.00,,,29.99,30.10,SCT,partly cloudy,OVC,overcast,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
