Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMSY,America/Chicago,2012-01-01,53.06,73.04,33.08,64.94,4.60,19.56,26.47,N,2.50,10.00,0.02,,30.15,30.40,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-02,46.04,57.92,21.92,35.06,5.75,20.71,25.32,N,10.00,10.00,,,30.40,30.55,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-03,37.94,50.00,6.98,26.06,0.00,16.11,24.17,N,10.00,10.00,,,30.43,30.60,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-04,33.98,64.94,26.06,50.00,0.00,12.66,,S,10.00,10.00,,,30.30,30.46,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-05,51.08,71.96,48.02,57.02,0.00,8.06,,SW,6.00,10.00,,,30.18,30.31,CLR,clear,BKN,mostly cloudy,BR,mist,MIFG,shallow fog,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-06,51.80,71.96,50.00,60.08,0.00,11.51,,S,0.50,10.00,0.00,,30.07,30.19,CLR,clear,VV,overcast,-RA,light rain,FG,fog,BR,mist,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-07,57.02,75.02,53.96,59.00,0.00,9.21,,S,4.00,10.00,,,30.05,30.14,FEW,mostly clear,OVC,overcast,BR,mist,MIFG,shallow fog,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-08,62.96,78.98,57.92,64.04,3.45,16.11,23.02,S,8.00,10.00,0.00,,30.06,30.16,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-09,64.94,75.92,60.08,62.60,0.00,13.81,20.71,SE,6.00,10.00,0.00,,29.97,30.12,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSY,America/Chicago,2012-01-10,53.96,71.96,44.06,66.20,4.60,18.41,24.17,S,7.00,10.00,0.01,,29.77,29.96,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
