Call Sign (String),Time Zone ID (String),Taken At (UTC) (ISO 8601),Taken At (Local) (ISO 8601),Is Regular Report (Boolean),Is Correction (Boolean),Has Been Corrected (Boolean),Has Precipitation Sensor (Boolean),Source (String),Sub-Source (String),Report Type (String),Trend (String),Airport Status (String),Automatic Type (String),Temperature (°F),Temperature Precision (Integer),Temperature 6-Hour Low (°F),Temperature 6-Hour High (°F),Temperature 24-Hour Low (°F),Temperature 24-Hour High (°F),Dew Point (°F),Dew Point Precision (Integer),Wind Speed (mph),Wind Direction (degrees),Gust Speed (mph),CAVOK (Boolean),Visibility (mi),Visibility Type (String),Precipitation 1h (in),Precipitation 3h (in),Precipitation 6h (in),Precipitation 24h (in),Snow Depth (in),Pressure Altimeter (in Hg),Pressure Station (in Hg),Pressure Sea Level (in Hg),Max Cloud Layer Code (String),Max Cloud Layer Height (ft),Cloud Layer Code 1 (String),Cloud Layer Label 1 (String),Cloud Layer Height 1 (ft),Cloud Layer Code 2 (String),Cloud Layer Label 2 (String),Cloud Layer Height 2 (ft),Cloud Layer Code 3 (String),Cloud Layer Label 3 (String),Cloud Layer Height 3 (ft),Cloud Layer Code 4 (String),Cloud Layer Label 4 (String),Cloud Layer Height 4 (ft),Cloud Layer Code 5 (String),Cloud Layer Label 5 (String),Cloud Layer Height 5 (ft),Cloud Layer Code 6 (String),Cloud Layer Label 6 (String),Cloud Layer Height 6 (ft),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Raw (String)
KPWM,America/New_York,2010-01-01T05:11:00,2010-01-01T00:11:00,false,false,false,false,Ish,IS7,FM_16,,,,26.60,1,,,,,24.80,1,5.82,320.00,,false,8.00,,,,,,,30.02,30.02,,OVC,1601.05,FEW,mostly clear,800.52,OVC,overcast,1601.05,FEW,mostly clear,800.52,OVC,overcast,1601.05,OVC,overcast,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2010-01-01T05:51:00,2010-01-01T00:51:00,true,false,false,false,Ish,IS7,FM_15,,,,26.06,1,,,,,24.08,1,6.93,330.00,,false,8.00,,0.00,,,,,29.99,29.99,30.00,OVC,1601.05,OVC,overcast,1601.05,OVC,overcast,1601.05,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2010-01-01T06:00:00,2010-01-01T01:00:00,false,false,false,false,Ish,IS4,FM_12,,,,26.06,1,,,17.06,28.94,24.08,1,6.93,330.00,,false,7.46,,,,,,,,,30.00,OVC,,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2010-01-01T06:47:00,2010-01-01T01:47:00,false,false,false,false,Ish,IS7,FM_16,,,,26.60,1,,,,,24.80,1,6.93,320.00,,false,7.00,,,,,,,30.00,30.00,,OVC,1400.92,OVC,overcast,1400.92,OVC,overcast,1400.92,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2010-01-01T06:51:00,2010-01-01T01:51:00,true,false,false,false,Ish,IS7,FM_15,,,,26.06,1,,,,,24.08,1,6.93,,,false,7.00,,0.00,,,,,30.00,30.00,30.00,OVC,1400.92,OVC,overcast,1400.92,OVC,overcast,1400.92,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2010-01-01T07:51:00,2010-01-01T02:51:00,true,false,false,false,Ish,IS7,FM_15,,,,26.96,1,,,,,24.08,1,5.82,330.00,,false,7.00,,0.00,,,,,29.98,29.98,29.98,OVC,1400.92,OVC,overcast,1400.92,OVC,overcast,1400.92,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2010-01-01T08:51:00,2010-01-01T03:51:00,true,false,false,false,Ish,IS7,FM_15,,,,26.96,1,,,,,24.98,1,8.05,310.00,,false,4.00,,0.00,0.00,,,,29.95,29.95,29.96,OVC,1400.92,OVC,overcast,1400.92,OVC,overcast,1400.92,OVC,overcast,,,,,,,,,,,IWC10,mist,IWC71,light snow,IWCA10,mist,IWCA71,light snow,-SN,light snow,BR,mist,
KPWM,America/New_York,2010-01-01T09:00:00,2010-01-01T04:00:00,false,false,false,false,Ish,IS4,FM_12,,,,26.96,1,,,,,24.98,1,8.05,310.00,,false,3.73,,,0.00,,,,,,29.96,OVC,,OVC,overcast,,,,,,,,,,,,,,,,,IWC71,light snow,,,,,,,,,,,
KPWM,America/New_York,2010-01-01T09:12:00,2010-01-01T04:12:00,false,false,false,false,Ish,IS7,FM_16,,,,26.60,1,,,,,24.80,1,6.93,310.00,,false,5.00,,0.00,,,,,29.95,29.95,,OVC,1601.05,OVC,overcast,1601.05,OVC,overcast,1601.05,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KPWM,America/New_York,2010-01-01T09:51:00,2010-01-01T04:51:00,true,false,false,false,Ish,IS7,FM_15,,,,26.96,1,,,,,24.98,1,5.82,330.00,,false,4.00,,0.00,,,,,29.94,29.94,29.94,OVC,1801.18,OVC,overcast,1801.18,OVC,overcast,1801.18,OVC,overcast,,,,,,,,,,,IWC10,mist,IWC71,light snow,IWCA10,mist,IWCA71,light snow,-SN,light snow,BR,mist,
