Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KPWM,America/New_York,1990-01-01,24.08,42.08,6.08,37.94,0.00,20.71,34.52,W,0.12,20.00,0.05,6.00,29.26,29.83,CLR,clear,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-02,19.04,37.04,6.08,21.02,3.45,17.26,23.02,SW,20.00,20.00,,2.00,29.86,30.15,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-03,21.02,42.08,15.08,30.02,0.00,9.21,,S,10.00,20.00,,2.00,30.10,30.24,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-04,28.04,42.98,21.92,37.04,3.45,19.56,29.92,S,10.00,20.00,,2.00,29.59,30.15,CLR,clear,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-05,26.06,42.98,10.94,39.92,3.45,16.11,24.17,NW,10.00,20.00,,2.00,29.60,30.15,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-06,21.02,35.96,10.94,24.08,3.45,12.66,17.26,NW,10.00,20.00,,2.00,29.79,30.13,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-07,19.04,33.08,3.92,19.94,3.45,12.66,,S,15.00,20.00,,2.00,29.84,30.13,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-08,21.92,42.08,19.94,28.04,3.45,9.21,,SW,5.00,15.00,,2.00,29.80,29.94,CLR,clear,OVC,overcast,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-09,24.98,39.92,21.02,32.00,2.30,13.81,,S,10.00,15.00,,2.00,29.80,29.94,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-10,33.98,39.92,26.06,39.92,4.60,12.66,,W,0.19,15.00,0.03,1.00,29.40,29.83,SCT,partly cloudy,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-11,28.94,37.04,24.08,33.08,3.45,16.11,,S,3.00,15.00,0.06,1.00,29.34,29.70,CLR,clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-12,28.94,39.92,19.94,30.92,5.75,16.11,23.02,W,3.00,20.00,,,29.24,29.40,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-13,15.08,30.02,-4.00,21.92,4.60,16.11,25.32,NW,15.00,20.00,,,29.40,29.99,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-14,8.06,21.02,-13.00,-2.02,0.00,18.41,26.47,W,15.00,20.00,,,30.00,30.45,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-15,10.94,19.94,-2.92,17.06,3.45,10.36,,N,1.00,15.00,0.03,,30.14,30.47,SCT,partly cloudy,OVC,overcast,-SN,light snow,-FZDZ,light freezing drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-16,15.98,39.92,12.02,30.92,3.45,8.06,,E,2.00,10.00,0.02,,30.14,30.31,CLR,clear,OVC,overcast,-SHRASN,showers of light rain and snow,-SHRA,showers of light rain,DZ,drizzle,FGFUDZ,drizzle with fog and smoke,FG,fog,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-17,32.00,39.92,30.02,37.94,0.00,12.66,,S,0.12,4.00,0.05,,29.92,30.36,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,1990-01-18,39.92,57.92,26.06,46.04,4.60,20.71,26.47,W,3.00,20.00,,,29.66,29.88,CLR,clear,OVC,overcast,-SHRA,showers of light rain,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,
