Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KPWM,America/New_York,2011-01-01,30.92,50.00,28.04,39.92,0.00,10.29,,NE,2.00,10.00,0.00,5.12,29.95,30.06,NCD,no cloud detected,OVC,overcast,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-02,37.40,44.06,37.04,41.00,0.00,11.41,,N,0.25,9.00,0.02,3.94,29.74,29.95,FEW,mostly clear,VV,overcast,IWCA61,light rain,-RA,light rain,IWC61,light rain,IWCA30,fog,FG,fog,IWC44,fog,IWCA10,mist,BR,mist,IWC10,mist,IWC41,patches of fog,IWC45,sky-obscuring fog,,
KPWM,America/New_York,2011-01-03,24.08,39.20,8.96,35.60,0.00,23.04,32.21,NW,1.50,10.00,0.05,3.15,29.71,30.01,NCD,no cloud detected,OVC,overcast,IWCA71,light snow,-SN,light snow,IWCA61,light rain,-RA,light rain,IWCA10,mist,BR,mist,,,,,,,,,,,,
KPWM,America/New_York,2011-01-04,19.04,32.00,8.96,26.60,0.00,12.75,18.34,W,2.50,10.00,0.00,3.15,29.68,29.99,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWC05,haze,HZ,haze,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,
KPWM,America/New_York,2011-01-05,17.96,35.06,8.96,23.00,0.00,13.87,,W,2.49,10.00,0.00,3.15,29.65,29.71,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-06,12.92,30.02,6.08,10.94,0.00,9.17,,W,9.94,10.00,0.00,3.15,29.63,29.71,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-07,12.92,28.04,6.08,15.08,0.00,9.17,,N,9.94,10.00,0.00,3.15,29.50,29.64,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-08,17.60,33.08,14.00,26.96,0.00,13.87,47.20,N,3.00,10.00,0.00,1.97,29.36,29.52,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,
KPWM,America/New_York,2011-01-09,24.08,37.94,8.96,26.96,5.82,20.80,33.33,NW,4.97,10.00,0.01,3.15,29.34,29.80,NCD,no cloud detected,OVC,overcast,IWCA71,light snow,-SN,light snow,IWCA10,mist,BR,mist,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-10,21.02,35.96,6.98,17.06,5.82,18.34,28.86,NW,9.94,10.00,0.00,1.97,29.82,30.12,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-11,12.92,30.92,8.96,15.98,0.00,11.41,,N,9.94,10.00,0.00,1.97,30.04,30.26,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-12,24.08,32.00,14.00,28.40,3.36,31.09,43.84,N,0.25,10.00,0.73,3.15,29.23,29.99,FEW,mostly clear,VV,overcast,IWC75,heavy snow,IWCA73,heavy snow,+SN,heavy snow,IWC73,snow,IWCA72,snow,SN,snow,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWCA27,blowing snow/sand,IWC40,distant fog,IWC48,freezing fog
KPWM,America/New_York,2011-01-13,23.00,32.00,10.94,21.92,6.93,21.92,35.79,NW,9.94,10.00,0.00,12.99,29.57,30.16,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-14,14.00,26.06,5.00,12.92,0.00,11.41,,NW,9.94,10.00,0.00,11.81,30.16,30.25,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-15,1.94,24.80,-2.02,19.04,0.00,9.17,,SW,2.50,10.00,0.00,11.81,29.78,30.22,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-16,12.92,30.02,5.00,19.94,0.00,14.99,16.11,W,7.00,10.00,0.00,11.02,29.76,30.14,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-17,3.02,17.96,-5.98,5.00,0.00,11.41,,NW,9.94,10.00,0.00,11.02,30.15,30.41,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-18,3.92,30.02,-2.92,28.04,3.36,10.29,,N,0.50,10.00,0.69,11.02,29.58,30.39,NCD,no cloud detected,VV,overcast,IWC73,snow,IWCA72,snow,SN,snow,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWC66,light freezing rain,IWCA64,light freezing rain,-FZRA,light freezing rain,IWC40,distant fog,IWC48,freezing fog,IWCA35,freezing fog
KPWM,America/New_York,2011-01-19,26.60,39.92,23.00,33.98,3.36,12.75,19.69,N,1.99,10.00,0.19,11.81,29.51,29.81,FEW,mostly clear,OVC,overcast,IWC73,snow,IWCA72,snow,SN,snow,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWC66,light freezing rain,IWCA64,light freezing rain,-FZRA,light freezing rain,IWC61,light rain,IWCA61,light rain,-RA,light rain
KPWM,America/New_York,2011-01-20,19.94,26.96,14.00,21.92,0.00,9.17,,W,6.84,10.00,0.00,11.81,29.82,29.96,NCD,no cloud detected,OVC,overcast,IWCA71,light snow,-SN,light snow,IWC71,light snow,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-21,10.04,26.06,1.04,19.94,0.00,25.28,33.33,NW,0.25,10.00,0.46,18.11,29.31,29.83,NCD,no cloud detected,VV,overcast,IWC75,heavy snow,IWCA73,heavy snow,+SN,heavy snow,IWC73,snow,IWCA72,snow,SN,snow,IWCA71,light snow,-SN,light snow,IWC71,light snow,IWCA27,blowing snow/sand,IWCA35,freezing fog,FZFG,freezing fog
KPWM,America/New_York,2011-01-22,-0.04,23.00,-2.92,3.92,0.00,10.29,,W,9.94,10.00,0.00,16.93,29.65,29.92,NCD,no cloud detected,NCD,no cloud detected,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-23,-2.92,19.94,-18.94,5.00,3.36,14.99,29.97,N,2.00,10.00,0.00,16.14,29.83,30.19,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-24,-11.92,10.04,-23.08,-11.02,0.00,11.41,,NW,9.94,10.00,0.00,14.96,30.22,30.42,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-25,1.94,15.98,-11.02,10.04,0.00,5.82,,N,0.75,10.00,0.06,14.96,30.09,30.37,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,IWC05,haze,HZ,haze,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-26,-0.94,24.80,-5.08,19.94,0.00,13.87,,N,2.49,10.00,0.01,14.96,29.70,30.17,NCD,no cloud detected,OVC,overcast,IWCA71,light snow,-SN,light snow,IWC71,light snow,IWCA10,mist,BR,mist,IWC10,mist,,,,,,,,,,,,
KPWM,America/New_York,2011-01-27,12.92,33.08,8.96,19.94,0.00,18.34,27.74,NW,0.50,10.00,0.20,16.14,29.53,29.79,NCD,no cloud detected,VV,overcast,IWCA72,snow,SN,snow,IWC73,snow,IWCA71,light snow,-SN,light snow,IWC71,light snow,IWCA35,freezing fog,FZFG,freezing fog,IWC48,freezing fog,IWCA10,mist,BR,mist,IWC10,mist
KPWM,America/New_York,2011-01-28,6.08,32.00,3.92,17.96,0.00,5.82,,W,7.00,10.00,0.00,14.96,29.79,29.86,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-29,21.02,33.98,17.60,26.60,0.00,4.92,,W,2.98,10.00,0.00,14.96,29.85,29.95,NCD,no cloud detected,OVC,overcast,IWCA71,light snow,-SN,light snow,IWCA10,mist,BR,mist,IWC10,mist,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-30,19.94,30.92,5.00,21.92,0.00,11.51,,W,5.00,10.00,0.00,,29.94,30.16,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-01-31,6.98,21.92,-7.06,6.08,0.00,11.51,,NW,10.00,10.00,,,30.18,30.51,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-02-01,6.98,17.96,-4.00,12.20,0.00,10.36,,N,0.25,10.00,0.34,,30.34,30.50,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,HZ,haze,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KPWM,America/New_York,2011-02-02,15.08,19.04,10.04,14.00,6.90,16.11,25.32,N,0.25,10.00,0.75,,29.77,30.34,FEW,mostly clear,VV,overcast,+SN,heavy snow,SN,snow,SNPL,snow and ice pellets,-SN,light snow,FG,fog,FZFG,freezing fog,BR,mist,,,,,,,,,,
KPWM,America/New_York,2011-02-03,8.96,26.96,6.08,12.92,0.00,10.36,,N,3.00,10.00,0.00,,29.88,30.25,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-02-04,1.04,33.08,-2.02,10.94,0.00,13.81,20.71,W,8.00,10.00,,,29.94,30.21,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-02-05,5.00,35.96,1.94,33.98,0.00,18.41,29.92,NE,0.50,10.00,0.64,,29.13,30.03,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,-SNPL,light snow and ice pellets,-FZRAPL,light freezing rain and ice pellets,-FZRASN,light freezing rain and snow,-FZRASNPL,light freezing rain, snow, and ice pellets,RA,rain,-RA,light rain,FZFG,freezing fog,BR,mist,,,,
KPWM,America/New_York,2011-02-06,24.08,37.94,21.02,35.60,0.00,19.56,25.32,NW,1.75,10.00,0.09,,29.01,29.98,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,UP,unknown precipitation,,,,,,,,,,,,,,,,,,
KPWM,America/New_York,2011-02-07,19.04,37.94,17.60,32.00,0.00,11.51,,S,0.75,10.00,0.01,,29.79,30.03,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
