Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,4.9446514459665165,6.658021308980217,3.9127610350076116,5.197363774733632,0.27934550989345536,1.6743135464231416,0.00702283105022831,3.1609436834094393,3.1820700152207007
1989,4.6973709775349075,6.512780813600491,3.461827565270193,4.822811171827571,0.1924256223436552,1.6242440801457265,0.006275045537340623,3.321199149969642,3.3468518518518504
1990,4.569637747336378,6.3197199391171965,3.4540213089802156,4.85862404870624,0.16386605783866057,1.4252359208523657,0.00660578386605784,3.326630136986304,3.3505053272450542
1991,4.921802130898022,6.640432267884323,3.839062404870622,5.1810898021308995,0.32501978691019784,1.6860882800608905,0.005722983257229832,3.323616438356163,3.3482252663622516
1992,5.010459665144594,6.709856925418564,3.9431719939117182,5.184761035007611,0.44275799086758,1.7985022831050321,0.005053272450532724,3.3260608828006055,3.3484627092846253
1993,4.703557984213723,6.256290224650882,3.872027929568914,5.079951426836675,0.3486065573770489,1.8029993928354642,0.006678809957498487,3.3238312082574395,3.346945962355798
1994,4.728596651445965,6.370788432267889,3.72240487062405,4.973144596651442,0.37235007610350057,1.7256681887366896,0.003561643835616437,3.3246605783866032,3.3481278538812793
1995,4.684139194139194,6.457545787545784,3.594261294261294,4.886953601953603,0.34416666666666673,1.6700030525030594,0.005708180708180711,3.326367521367523,3.349633699633703
1996,4.708785388127855,6.435141552511416,3.500334855403349,4.66477321156773,0.390453576864536,1.5873576864535837,0.006027397260273973,3.320374429223746,3.341744292237442
1997,4.6148451730418945,6.365173041894351,3.5350637522768698,4.734735883424409,0.4358014571949002,1.575783242258661,0.008166363084395877,3.320506982392226,3.343961748633876
1998,4.690240487062401,6.413418569254186,3.553552511415523,4.787579908675799,0.46677625570776266,1.6062343987823513,0.004687975646879753,3.3179421613394218,3.344103500761037
1999,5.185170940170941,6.992698412698417,4.096709401709402,5.418192918192923,0.35868131868131903,1.6290995115995144,0.0021642246642246637,3.3108547008547005,3.344746642246642
2000,4.8903500761035,6.8732541856925495,3.760554033485541,5.199129375951296,0.344076103500761,1.857628614916287,0.0017625570776255708,3.3001004566210064,3.3477503805175046
2001,4.742167577413477,6.52457194899818,3.716593806921677,5.133970856101996,0.3227504553734068,1.7567759562841572,0.00022465088038858534,3.310012143290831,3.352061323618702
2002,4.976158295281583,6.556158295281577,3.9141856925418597,5.1715007610350066,0.28172298325723044,1.6412633181126344,0.0002070015220700152,3.326301369863013,3.3479695585996985
2003,4.891774733637749,6.543445966514454,3.6923226788432264,4.962021308980209,0.28776255707762594,1.7050167427701703,0.0007640791476407913,3.3154368340943683,3.339013698630138
2004,4.650898021308983,6.319445966514461,3.604213089802128,4.96881582952816,0.2600060882800613,1.6071141552511437,1.8264840182648402e-05,3.3220639269406393,3.344706240487062
2005,4.788779599271406,6.408397085610198,3.811839708561021,5.116484517304189,0.27333333333333343,1.7192440801457225,2.73224043715847e-05,3.3263934426229493,3.3501700060716484
2006,4.888815829528157,6.537199391171992,3.8221856925418574,5.026130898021306,0.24367123287671238,1.639108066971083,0.00025875190258751904,3.3210532724505315,3.345905631659054
2007,5.052213089802133,6.652158295281582,3.931336377473364,5.091829528158294,0.2548493150684932,1.6586270928462734,0.00029832572298325725,3.3215129375951267,3.343981735159814
2008,4.857753357753354,6.561984126984121,3.623412698412697,4.95659951159951,0.23063492063492083,1.6374542124542153,0.004499389499389497,3.3259768009768016,3.348681318681321
2009,4.673752276867034,6.384790528233151,3.560856102003644,4.8835336976320605,0.20529751062537954,1.684741955069826,0.00891013964784457,3.32058894960534,3.3465755919854288
2010,4.668267884322679,6.363445966514458,3.595610350076104,4.883281582952815,0.21637747336377472,1.6227640791476432,0.009479452054794522,3.322867579908676,3.34633789954338
2011,4.932541856925418,6.580651445966512,3.8970898021308944,5.036815829528158,0.21914155251141565,1.5770076103500732,0.008356164383561649,3.3213820395738196,3.341226788432269
2012,4.813528158295282,6.442404870624046,3.9239391171993887,5.135993911719938,0.20828006088280065,1.6324596651445997,0.011887366818873672,3.319601217656012,3.3427671232876697
2013,5.035282331511843,6.853861566484509,3.9694353369763227,5.21216757741348,0.19621736490588954,1.5976684881602938,0.006757741347905291,3.3225956284153035,3.3443776563448697
2014,4.704596651445968,6.378569254185685,3.7171445966514494,4.9943500761034985,0.20866666666666675,1.6290684931506865,0.008882800608828012,3.3249132420091314,3.348115677321161
2015,4.577442922374429,6.306045662100451,3.388840182648404,4.724347031963469,0.2402100456621006,1.6780700152207044,0.009582952815829528,3.3040395738203947,3.327817351598173
2016,4.735445966514457,6.521254185692538,3.66158295281583,5.011226788432269,0.24190563165905637,1.674337899543382,0.006888888888888893,3.326535768645358,3.3510441400304383
2017,4.945173041894355,6.678397085610205,3.9374134790528243,5.2257194899817865,0.2310625379477841,1.6340801457194927,0.010831815421979356,3.3236217364905856,3.3469702489374615
