Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KDET,America/Detroit,2000-01-01,26.96,50.00,24.98,30.20,0.00,18.41,,S,4.00,12.00,,,29.96,30.09,SCT,partly cloudy,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-02,42.80,57.20,30.20,51.80,6.90,19.56,31.07,SW,2.00,12.00,,,29.64,29.96,SKC,clear,OVC,overcast,TSRA,thunderstorm with rain,-SN,light snow,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-03,32.00,53.60,30.20,44.60,4.70,16.11,20.80,NE,0.62,11.93,,,29.48,30.04,NCD,no cloud detected,OVC,overcast,IWC61,light rain,-RA,light rain,DZ,drizzle,IWC53,drizzle,FG,fog,IWC44,fog,BR,mist,IWC10,mist,IWC45,sky-obscuring fog,,,,,,
KDET,America/Detroit,2000-01-04,26.60,53.60,21.20,53.60,3.36,26.40,34.52,W,0.01,12.00,,,29.38,30.00,FEW,mostly clear,OVC,overcast,IWC71,light snow,IWC61,light rain,-RA,light rain,IWC53,drizzle,BR,mist,IWC10,mist,IWC45,sky-obscuring fog,,,,,,,,,,
KDET,America/Detroit,2000-01-05,23.00,30.20,14.00,23.00,0.00,14.99,16.11,S,4.97,15.00,,,30.13,30.37,FEW,mostly clear,OVC,overcast,IWC45,sky-obscuring fog,,,,,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-06,30.20,37.40,21.20,28.40,8.06,17.26,23.02,SW,7.00,10.00,,,30.12,30.30,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-07,24.80,35.60,14.00,28.40,0.00,16.11,20.80,W,5.97,20.00,,,30.11,30.36,NCD,no cloud detected,OVC,overcast,-SN,light snow,IWC71,light snow,,,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-08,23.00,46.40,15.80,28.40,4.60,23.04,32.22,SW,9.94,15.00,,,29.93,30.31,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-09,35.60,41.00,28.40,33.80,0.00,11.63,,SW,2.98,9.94,,,29.09,29.93,FEW,mostly clear,OVC,overcast,-RA,light rain,IWC61,light rain,-RABR,light rain with mist,HZ,haze,IWC05,haze,BR,mist,IWC10,mist,IWC45,sky-obscuring fog,,,,,,,,
KDET,America/Detroit,2000-01-10,39.20,50.00,30.20,42.80,5.75,23.02,32.22,SW,0.50,10.00,,,29.19,29.69,SKC,clear,OVC,overcast,-TSRA,thunderstorm with light rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-11,32.00,39.20,23.00,32.00,9.21,20.71,28.77,W,0.75,15.00,,,29.38,30.23,SKC,clear,OVC,overcast,SN,snow,-SN,light snow,-RA,light rain,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-12,26.60,33.80,15.80,23.00,0.00,17.26,20.80,NE,7.95,15.00,,,30.03,30.23,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KDET,America/Detroit,2000-01-13,14.00,28.40,3.20,24.80,6.90,17.26,29.92,N,0.50,15.00,,,29.91,30.64,SKC,clear,VV,overcast,SN,snow,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,
