Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,4.583632478632482,6.526929181929177,3.5888522588522607,4.791214896214895,0.36559523809523836,1.9878449328449375,0.009737484737484741,3.3225763125763117,3.3447680097680075
1989,4.144596651445967,6.263719939117207,3.022185692541855,4.36843226788432,0.3901278538812785,2.064066971080673,0.0056925418569254175,3.3183500761035014,3.343835616438356
2010,3.885035007610353,5.921692541856923,2.9407062404870605,4.314843226788433,0.3851659056316596,1.9424870624048738,0.007095890410958909,3.32496194824962,3.349613394216133
2011,4.474295281582953,6.282130898021307,3.3785144596651455,4.5271171993911725,0.23775342465753446,1.726943683409434,0.010033485540334855,3.320298325722984,3.3406088280060886
2012,4.454123048668503,6.204591368227729,3.3270707070707077,4.515114784205696,0.21861034588307335,1.7605876951331525,0.007153351698806247,3.3186134067952238,3.3408846036118773
2013,4.693637747336378,6.6094733637747325,3.5162130898021324,4.783445966514457,0.22021917808219202,1.811178082191784,0.00737595129375952,3.3177656012176557,3.340307458143077
2014,4.179797979797981,5.924646464646463,3.264260789715335,4.496382001836548,0.2795194367921645,1.799644934190391,0.009194980104071016,3.3220997857361496,3.3456902356902347
2015,3.942423687423684,5.731654456654457,3.0570940170940166,4.337753357753358,0.31742673992674025,1.915866910866912,0.010103785103785104,3.3193864468864502,3.3437759462759473
2016,4.5101856925418575,6.289089802130892,3.4788432267884324,4.698459665144598,0.3277442922374435,1.8724292237442945,0.010036529680365303,3.3216864535768673,3.3455920852359213
2017,4.687741347905283,6.369435336976309,3.686867030965396,4.803479052823313,0.3157710989678208,1.883855494839104,0.011414693381906494,3.320148755312688,3.3429538554948413
