Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMSP,America/Chicago,2016-01-01,15.08,30.02,10.04,17.96,3.45,17.26,23.02,W,7.00,10.00,0.00,4.00,29.96,30.15,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-02,14.00,30.92,10.94,17.96,4.60,16.11,,W,7.00,10.00,,4.00,29.92,30.11,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-03,19.94,28.04,15.08,19.94,5.75,17.26,23.02,NW,10.00,10.00,,4.00,30.09,30.39,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-04,10.04,26.06,6.98,17.60,0.00,17.26,24.17,S,5.00,10.00,,4.00,30.33,30.51,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-05,19.40,32.00,15.08,19.94,5.75,17.26,28.77,S,9.00,10.00,,4.00,30.08,30.33,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-06,23.00,32.00,19.04,28.94,4.60,9.21,,SE,1.75,10.00,0.05,4.00,30.01,30.08,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-07,30.20,33.98,28.04,30.92,3.45,8.06,,SE,0.75,6.00,0.04,4.00,29.87,30.00,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-08,21.92,33.98,17.06,30.92,3.45,17.26,23.02,NW,0.75,10.00,0.08,5.00,29.78,29.92,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-09,-5.98,19.94,-14.98,15.08,11.51,20.71,26.47,NW,5.00,10.00,0.00,5.00,29.93,30.19,CLR,clear,OVC,overcast,-SN,light snow,BLSN,blowing snow,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-10,-9.94,-0.94,-16.06,-11.02,0.00,14.96,,NW,10.00,10.00,,5.00,30.06,30.19,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-11,-9.04,6.80,-13.00,1.40,0.00,13.81,,SE,0.75,10.00,0.00,5.00,29.74,30.05,CLR,clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-12,-7.06,1.94,-13.00,-2.20,3.45,18.41,25.32,NW,4.00,10.00,0.00,5.00,29.86,30.18,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-13,-5.98,21.92,-9.94,12.92,0.00,9.21,,SW,7.00,10.00,0.01,5.00,29.67,30.07,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-14,15.98,26.06,12.02,21.92,4.60,13.81,20.71,E,3.00,7.00,,5.00,29.45,29.65,FEW,mostly clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-15,12.02,23.00,1.04,19.94,8.06,18.41,,NW,2.50,10.00,0.00,5.00,29.48,29.87,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-16,-9.04,12.02,-18.04,1.94,11.51,19.56,26.47,NW,4.00,10.00,0.00,5.00,29.88,30.12,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-17,-14.08,-2.92,-20.92,-14.98,6.90,13.81,,NW,7.00,10.00,,5.00,30.11,30.31,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-18,-11.92,1.04,-18.94,-9.04,0.00,12.66,19.56,NW,10.00,10.00,,5.00,30.30,30.39,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-19,-5.98,6.98,-11.02,1.04,0.00,9.21,,SE,7.00,10.00,0.00,5.00,30.26,30.49,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-20,8.06,21.92,1.94,15.98,0.00,9.21,,S,2.00,10.00,0.02,5.00,30.10,30.24,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-21,21.02,24.08,14.00,19.04,0.00,10.36,,N,4.00,10.00,0.00,5.00,30.23,30.40,OVC,overcast,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-22,17.96,24.08,10.40,14.00,0.00,9.21,,N,5.00,10.00,0.00,5.00,30.32,30.46,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-23,17.96,23.00,12.02,21.20,4.60,19.56,25.32,S,3.00,10.00,,5.00,29.85,30.28,FEW,mostly clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-24,24.08,30.20,21.02,26.60,0.00,9.21,,SE,1.50,8.00,0.01,5.00,29.83,29.88,BKN,mostly cloudy,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-25,26.60,30.20,21.92,26.96,0.00,16.11,,NW,1.50,9.00,0.05,6.00,29.73,29.85,FEW,mostly clear,OVC,overcast,-SN,light snow,-FZDZSN,light freezing drizzle and snow,-FZDZ,light freezing drizzle,BR,mist,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-26,19.94,26.96,10.94,21.20,4.60,20.71,28.77,NW,1.75,10.00,0.01,6.00,29.85,30.19,CLR,clear,OVC,overcast,-SN,light snow,UP,unknown precipitation,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-27,15.08,39.20,10.40,30.92,4.60,16.11,29.92,W,3.00,10.00,,5.00,29.62,30.17,CLR,clear,OVC,overcast,HZ,haze,,,,,,,,,,,,,,,,,,,,,,
KMSP,America/Chicago,2016-01-28,19.04,37.40,12.92,30.20,0.00,23.02,28.77,NW,10.00,10.00,,3.00,29.62,29.93,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
