Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBIL,America/Denver,1988-01-01,5.00,21.92,-2.92,6.08,10.36,23.02,26.47,SW,20.00,70.00,,3.00,30.21,30.34,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-02,8.96,28.04,-2.92,15.98,3.45,20.71,23.02,SW,2.00,70.00,0.01,3.00,30.04,30.18,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-03,8.06,17.96,-4.00,15.08,3.45,23.02,31.07,NW,4.00,50.00,,3.00,30.18,30.40,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-04,-5.08,10.04,-11.02,-0.94,0.00,13.81,,SW,20.00,50.00,,3.00,30.31,30.43,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-05,-9.04,3.92,-14.98,-4.00,0.00,9.21,,SW,7.00,20.00,,3.00,30.15,30.36,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-06,-9.04,19.94,-14.98,6.98,4.60,20.71,,SW,7.00,50.00,,3.00,30.06,30.15,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-07,3.92,12.92,-0.94,6.08,0.00,18.41,,SW,1.00,40.00,0.03,3.00,30.07,30.11,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-08,-5.98,5.00,-11.02,-0.94,0.00,20.71,,NE,0.75,20.00,0.12,4.00,29.98,30.16,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-09,3.92,26.06,-2.02,12.92,14.96,23.02,26.47,SW,20.00,50.00,,4.00,29.88,29.96,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-10,23.00,41.00,10.94,30.92,6.90,23.02,31.07,SW,0.50,50.00,0.09,3.00,29.65,29.86,SCT,partly cloudy,OVC,overcast,SN,snow,-SN,light snow,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-11,10.04,35.06,5.00,30.02,0.00,23.02,34.52,N,0.00,40.00,0.07,1.00,29.15,29.88,SCT,partly cloudy,OVC,overcast,-SN,light snow,-SHSN,showers of light snow,FG,fog,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-12,3.02,26.96,-0.94,12.92,0.00,19.56,,SW,0.75,50.00,0.02,2.00,29.89,30.16,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-13,15.98,30.92,5.00,12.92,6.90,24.17,28.77,SW,20.00,70.00,,2.00,30.01,30.15,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-14,24.98,42.08,10.94,24.98,10.36,23.02,24.17,SW,20.00,50.00,,2.00,29.69,30.00,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-15,33.08,46.04,19.04,28.04,6.90,27.62,34.52,W,20.00,50.00,,1.00,29.34,29.66,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-16,24.98,39.92,8.06,17.06,6.90,23.02,34.52,SW,20.00,50.00,,1.00,29.59,29.69,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-17,24.08,33.98,8.96,19.94,0.00,13.81,,SW,20.00,40.00,,1.00,29.60,29.75,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-18,12.92,30.92,8.06,14.00,0.00,12.66,,SW,20.00,50.00,,,29.76,30.05,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-19,6.98,30.02,-4.00,6.08,4.60,18.41,,SW,20.00,50.00,,,30.07,30.27,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-20,17.06,35.96,3.02,17.96,11.51,26.47,31.07,SW,20.00,50.00,,,29.80,30.13,CLR,clear,OVC,overcast,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-21,26.96,37.04,10.04,19.94,11.51,29.92,37.98,NW,10.00,50.00,,,29.89,30.33,CLR,clear,OVC,overcast,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-22,19.04,42.98,8.96,19.04,12.66,23.02,35.67,SW,20.00,50.00,,,29.73,30.28,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-23,28.04,42.98,8.06,21.02,9.21,34.52,50.63,NW,20.00,50.00,,,29.76,30.14,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1988-01-24,23.00,33.98,6.08,10.04,9.21,24.17,36.82,W,20.00,50.00,,,30.16,30.40,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
