Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBIL,America/Denver,1990-01-01,28.94,37.04,19.04,23.00,0.00,24.17,,SW,20.00,50.00,,3.00,29.62,29.83,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-02,24.08,33.08,12.02,30.02,3.45,20.71,,NW,0.62,50.00,0.05,3.00,29.53,29.87,SCT,partly cloudy,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-03,19.04,30.92,5.00,12.02,9.21,24.17,21.86,SW,20.00,70.00,,3.00,29.88,30.03,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-04,19.04,32.00,6.98,17.06,10.36,21.86,26.47,SW,20.00,50.00,,3.00,29.79,30.02,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-05,28.04,35.06,12.92,24.08,10.36,25.32,32.22,SW,20.00,50.00,,3.00,29.89,30.11,CLR,clear,OVC,overcast,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-06,33.98,44.06,15.08,21.02,9.21,24.17,34.52,SW,20.00,50.00,,3.00,29.86,29.94,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-07,35.06,46.94,17.96,30.02,5.75,21.86,29.92,SW,20.00,50.00,,1.00,29.59,29.90,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-08,37.04,48.92,19.94,30.92,5.75,29.92,49.48,W,20.00,40.00,,1.00,29.36,29.89,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-09,35.06,53.06,19.94,30.02,0.00,24.17,34.52,SW,20.00,40.00,,,29.70,29.93,SCT,partly cloudy,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-10,28.94,53.96,17.96,30.92,6.90,34.52,57.54,SW,20.00,50.00,,,29.59,30.15,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-11,21.02,32.00,3.92,19.04,0.00,13.81,,SE,20.00,50.00,,,30.18,30.46,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-12,15.98,37.04,8.96,21.02,0.00,17.26,,SW,20.00,50.00,,,29.74,30.38,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-13,37.04,53.06,17.96,28.04,8.06,18.41,,SW,20.00,50.00,,,29.66,29.74,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-14,37.04,50.00,26.06,30.92,6.90,14.96,,SW,20.00,50.00,,,29.69,29.89,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBIL,America/Denver,1990-01-15,28.94,37.94,26.96,30.92,4.60,10.36,,N,0.12,50.00,,,29.81,29.95,FEW,mostly clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
