Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KOMA,America/Chicago,1990-01-01,10.94,35.06,8.96,19.04,3.45,23.02,28.77,S,15.00,15.00,,,30.03,30.23,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-02,24.08,50.00,15.98,30.92,5.75,21.86,29.92,S,10.00,15.00,,,29.74,30.01,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-03,30.92,44.06,26.06,32.00,3.45,23.02,31.07,N,3.00,10.00,,,29.74,29.87,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-04,19.94,41.00,17.96,30.02,4.60,23.02,29.92,NW,4.00,15.00,,,29.87,30.18,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-05,15.98,44.96,6.08,24.08,6.90,14.96,,S,10.00,15.00,,,30.01,30.18,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-06,12.92,46.04,10.94,28.04,3.45,17.26,,S,10.00,15.00,,,30.01,30.23,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-07,21.92,50.00,19.94,30.92,0.00,11.51,,S,10.00,15.00,,,29.79,30.01,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-08,24.98,46.94,21.92,32.00,0.00,17.26,,SE,8.00,15.00,,,29.42,29.79,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-09,26.96,48.02,26.06,32.00,0.00,24.17,28.77,NW,10.00,15.00,,,29.49,30.07,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-10,26.06,64.04,24.98,30.92,3.45,17.26,,S,10.00,15.00,,,29.66,30.06,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-11,30.92,46.04,5.00,26.96,14.96,43.73,59.84,NW,7.00,15.00,,,29.87,30.22,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-12,15.98,32.00,1.04,8.06,3.45,34.52,43.73,NW,8.00,15.00,,,30.23,30.46,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-13,12.92,42.98,5.00,14.00,3.45,18.41,29.92,S,15.00,15.00,,,29.82,30.37,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-14,28.04,53.06,14.00,24.98,3.45,13.81,,S,10.00,15.00,,,29.75,29.89,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-15,24.98,59.00,19.94,39.92,0.00,11.51,,S,3.00,15.00,,,29.90,29.98,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-16,37.04,60.08,32.00,48.92,3.45,16.11,,S,0.12,15.00,,,29.83,29.96,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-17,32.00,39.92,26.06,33.08,6.90,18.41,,N,4.00,10.00,,,29.88,30.23,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-18,21.92,37.04,19.04,24.98,2.30,17.26,19.56,NW,10.00,10.00,,,30.26,30.46,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-19,19.94,35.06,17.06,21.92,3.45,13.81,,E,4.00,10.00,,,29.91,30.39,SCT,partly cloudy,OVC,overcast,-FZRA,light freezing rain,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-20,21.02,32.00,17.96,30.02,3.45,21.86,,N,0.25,7.00,,5.00,29.77,29.97,SCT,partly cloudy,OVC,overcast,SN,snow,-SN,light snow,-FZRA,light freezing rain,FG,fog,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-21,8.96,30.92,6.08,23.00,0.00,10.36,,S,8.00,10.00,,5.00,29.87,30.00,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,1990-01-22,23.00,44.96,21.02,30.92,0.00,10.36,,S,10.00,15.00,,3.00,29.78,30.05,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
