Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KOMA,America/Chicago,2012-01-01,26.96,41.00,6.08,28.04,13.81,35.67,43.73,NW,10.00,10.00,,,29.99,30.56,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-02,17.06,32.00,3.92,12.02,0.00,20.71,27.62,NW,10.00,10.00,,,30.50,30.64,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-03,15.98,48.02,6.98,24.98,0.00,25.32,31.07,S,10.00,10.00,,,29.94,30.47,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-04,30.92,51.08,24.08,28.04,3.45,19.56,27.62,NW,10.00,10.00,,,30.03,30.27,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-05,28.04,66.02,23.00,28.94,3.45,9.21,,SE,10.00,10.00,,,29.70,30.07,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-06,30.92,48.02,19.94,30.02,0.00,19.56,20.71,N,10.00,10.00,,,29.68,30.06,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-07,24.08,41.00,17.96,26.06,0.00,4.60,,N,10.00,10.00,,,30.07,30.27,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-08,24.98,46.04,21.02,26.96,0.00,6.90,,S,8.00,10.00,,,30.26,30.35,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-09,24.08,50.00,19.94,26.06,0.00,9.21,,SE,10.00,10.00,,,30.05,30.25,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-10,24.98,57.02,21.92,32.00,0.00,12.66,,S,10.00,10.00,,,29.69,30.03,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-11,19.40,39.20,8.06,30.92,0.00,39.13,51.79,N,0.50,10.00,0.00,,29.60,30.00,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,BLDU,blowing widespread dust,FZFG,freezing fog,BR,mist,BLSN,blowing snow,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-12,8.60,17.96,-2.20,6.98,12.66,31.07,42.58,NW,5.00,10.00,0.00,,29.95,30.04,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-13,6.08,28.04,-2.02,10.04,0.00,14.96,,NW,10.00,10.00,,,29.88,30.12,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-14,24.98,44.96,12.02,24.98,0.00,14.96,25.32,NW,10.00,10.00,,,29.85,30.15,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-15,24.08,55.04,15.98,23.00,6.90,24.17,34.52,S,10.00,10.00,0.01,,29.71,30.10,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-16,21.02,41.00,10.94,24.98,0.00,19.56,24.17,N,10.00,10.00,,,29.71,29.95,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-17,10.04,23.00,5.00,14.00,0.00,26.47,40.28,NW,1.00,10.00,0.00,,29.94,30.35,CLR,clear,VV,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-18,10.04,35.06,5.00,19.94,6.90,25.32,33.37,S,7.00,10.00,,,29.79,30.28,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-19,6.08,15.08,-7.96,3.92,4.60,20.71,27.62,N,10.00,10.00,,,29.98,30.19,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-20,10.04,21.92,-5.08,5.00,0.00,18.41,27.62,N,10.00,10.00,,,29.93,30.24,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-21,10.94,24.80,3.02,19.40,3.45,26.47,33.37,SE,7.00,10.00,,,29.66,30.22,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-22,24.80,44.96,19.04,37.94,0.00,25.32,34.52,SE,1.00,9.00,0.04,1.00,29.39,29.64,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-23,19.04,30.92,15.08,24.98,0.00,25.32,31.07,NW,2.50,10.00,0.00,1.00,29.56,30.07,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-24,12.92,35.96,8.96,28.04,0.00,9.21,,SE,7.00,10.00,,,30.07,30.24,CLR,clear,OVC,overcast,BCFG,patches of fog,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-25,26.96,46.04,24.98,30.02,0.00,9.21,,S,3.00,10.00,,,29.93,30.20,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-26,24.98,46.94,21.02,30.02,0.00,25.32,35.67,NW,3.00,10.00,,,29.85,29.93,CLR,clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KOMA,America/Chicago,2012-01-27,26.06,41.00,15.98,30.92,0.00,23.02,32.22,NW,10.00,10.00,0.00,,29.89,30.19,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
