Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KEWR,America/New_York,2016-01-01,33.98,42.80,17.06,30.02,8.06,18.41,26.47,W,10.00,10.00,,,29.99,30.08,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-02,30.92,41.00,17.06,21.02,4.60,16.11,24.17,W,10.00,10.00,,,29.98,30.11,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-03,28.94,46.94,21.02,24.98,4.60,20.71,26.47,W,10.00,10.00,,,29.80,29.95,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-04,14.00,35.06,-2.20,24.98,5.75,24.17,32.22,NW,10.00,10.00,,,29.89,30.38,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-05,10.94,30.92,-7.06,3.92,0.00,23.02,29.92,N,10.00,10.00,,,30.40,30.63,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-06,17.06,41.00,1.04,8.96,0.00,10.36,,SW,10.00,10.00,,,30.42,30.60,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-07,26.06,46.04,5.00,26.96,0.00,8.06,,NW,10.00,10.00,,,30.19,30.39,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-08,30.20,44.96,14.00,35.60,3.45,12.66,,N,10.00,10.00,,,30.17,30.23,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-09,39.02,48.20,33.80,46.04,4.60,10.36,,NE,4.00,10.00,0.00,,30.05,30.20,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-10,39.02,64.40,21.92,59.00,6.90,26.47,41.43,W,2.50,10.00,1.77,,29.27,30.00,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-11,24.80,39.02,-0.04,21.02,0.00,25.32,33.37,W,10.00,10.00,,,29.65,30.12,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-12,23.00,44.60,5.00,30.92,0.00,27.62,37.98,W,3.00,10.00,0.01,,29.65,30.12,FEW,mostly clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,-RA,light rain,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-13,21.92,30.02,3.92,8.06,9.21,26.47,35.67,W,10.00,10.00,,,29.78,30.04,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-14,23.00,37.94,1.94,23.00,0.00,17.26,26.47,W,10.00,10.00,0.00,,29.90,30.00,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-15,30.02,48.92,21.92,41.00,0.00,11.51,,N,8.00,10.00,0.00,,29.54,29.96,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-16,42.08,53.06,30.02,42.80,3.45,18.41,27.62,W,2.50,10.00,0.26,,29.36,29.77,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-17,28.94,41.00,19.94,30.02,3.45,16.11,,N,1.00,10.00,0.07,1.00,29.70,29.90,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2016-01-18,17.96,28.94,1.04,26.60,5.75,23.02,33.37,W,0.25,10.00,0.00,1.00,29.69,30.02,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
