Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KEWR,America/New_York,1988-01-01,35.06,44.06,14.00,35.06,4.60,17.26,23.02,W,7.00,20.00,0.01,,30.13,30.31,SCT,partly cloudy,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-02,24.98,33.98,3.92,17.96,4.60,18.41,23.02,NW,15.00,20.00,,,30.32,30.57,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-03,19.04,33.08,8.06,28.94,0.00,9.21,,N,0.75,15.00,0.11,,30.23,30.61,CLR,clear,OVC,overcast,-SN,light snow,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-04,28.94,39.02,10.04,30.02,3.45,23.02,37.98,W,0.75,15.00,0.56,5.00,29.87,30.20,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-05,12.02,23.00,-5.08,8.96,11.51,31.07,40.28,W,20.00,30.00,,3.00,30.04,30.34,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-06,8.06,24.08,-7.06,3.92,6.90,19.56,28.77,W,15.00,20.00,,3.00,30.34,30.51,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-07,12.02,24.98,-2.92,10.04,3.45,12.66,19.56,W,10.00,20.00,,3.00,30.52,30.68,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-08,15.08,26.06,-0.04,24.08,9.21,19.56,26.47,N,0.50,15.00,0.49,8.00,29.98,30.57,SCT,partly cloudy,OVC,overcast,SN,snow,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-09,24.98,35.96,15.08,24.98,4.60,14.96,19.56,NW,1.00,10.00,0.14,9.00,29.99,30.28,FEW,mostly clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-10,21.92,33.98,3.02,19.04,0.00,11.51,,NW,10.00,15.00,,8.00,30.29,30.50,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-11,10.94,30.92,6.08,19.94,0.00,10.36,,SW,3.00,10.00,,7.00,30.37,30.51,CLR,clear,OVC,overcast,DZ,drizzle,FUDZ,drizzle with smoke,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-12,17.06,35.96,12.02,30.02,3.45,8.06,,S,3.00,10.00,,7.00,30.14,30.40,CLR,clear,OVC,overcast,DZ,drizzle,FUDZ,drizzle with smoke,FG,fog,FGFU,fog and smoke,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-13,19.94,42.98,1.04,30.92,0.00,23.02,34.52,NW,4.00,20.00,0.01,6.00,29.85,30.21,CLR,clear,OVC,overcast,-FZRA,light freezing rain,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-14,8.06,17.96,-16.06,1.94,5.75,25.32,34.52,NW,20.00,20.00,,5.00,30.24,30.66,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-15,6.98,26.06,-14.08,8.96,0.00,6.90,,W,9.00,20.00,,5.00,30.40,30.66,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-16,12.92,39.92,1.04,24.98,0.00,9.21,,S,5.00,15.00,,5.00,30.39,30.45,CLR,clear,BKN,mostly cloudy,FU,smoke,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-17,24.08,41.00,14.00,28.94,0.00,9.21,,S,8.00,10.00,,4.00,30.21,30.40,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-18,35.96,44.06,24.98,42.08,0.00,13.81,,SW,1.00,15.00,0.52,3.00,29.91,30.18,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-19,37.04,50.00,26.96,33.08,0.00,11.51,,W,10.00,15.00,,,30.05,30.26,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-20,35.06,42.08,28.94,41.00,3.45,12.66,,NE,0.50,10.00,0.79,,29.71,30.21,SCT,partly cloudy,OVC,overcast,-RAPL,light rain and ice pellets,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-21,37.94,50.00,23.00,39.92,0.00,17.26,26.47,W,0.25,20.00,,,29.69,29.90,SCT,partly cloudy,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-22,28.04,37.04,15.08,26.96,0.00,12.66,,NW,8.00,20.00,,,29.90,30.03,CLR,clear,OVC,overcast,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-23,23.00,35.06,10.04,24.08,0.00,9.21,,W,8.00,15.00,,,29.94,30.06,CLR,clear,OVC,overcast,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-24,26.96,48.92,23.00,33.08,0.00,13.81,21.86,S,5.00,20.00,,,30.01,30.15,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-25,33.08,39.92,28.04,35.96,0.00,14.96,,N,0.50,15.00,0.98,3.00,29.49,30.02,CLR,clear,OVC,overcast,-SN,light snow,-SNPL,light snow and ice pellets,-RASN,light rain and snow,-RASNPL,light rain, snow, and ice pellets,-RA,light rain,DZ,drizzle,FG,fog,,,,,,,,,,
KEWR,America/New_York,1988-01-26,19.94,35.06,10.04,33.08,5.75,23.02,29.92,W,2.00,15.00,0.13,3.00,29.42,30.05,CLR,clear,OVC,overcast,-SN,light snow,-SHSN,showers of light snow,FG,fog,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-27,15.98,28.94,6.98,17.96,4.60,18.41,25.32,W,9.00,20.00,,3.00,30.07,30.52,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-28,14.00,24.98,6.98,12.02,0.00,16.11,,W,5.00,15.00,,3.00,30.47,30.60,CLR,clear,BKN,mostly cloudy,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,1988-01-29,15.08,30.92,8.06,19.04,0.00,10.36,,S,7.00,15.00,,,30.60,30.74,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
