Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KEWR,America/New_York,2000-01-01,30.92,51.08,30.02,44.96,0.00,11.51,,SW,0.25,9.00,,,30.20,30.31,CLR,clear,OVC,overcast,FG,fog,BR,mist,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-02,37.04,60.98,36.50,55.94,0.00,23.02,34.52,SW,2.00,10.00,,,29.98,30.23,FEW,mostly clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-03,50.00,64.04,48.92,57.02,0.00,13.87,,SW,4.97,10.00,0.00,0.00,29.98,30.10,FEW,mostly clear,OVC,overcast,HZ,haze,IWC05,haze,BR,mist,IWC10,mist,IWC45,sky-obscuring fog,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-04,48.02,66.92,44.96,59.00,0.00,23.02,32.22,SW,3.00,10.00,0.71,,29.55,29.97,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-05,28.94,46.94,10.94,41.00,8.06,24.17,32.22,NW,10.00,10.00,0.00,,29.68,30.53,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-06,26.06,42.98,10.94,30.92,0.00,10.36,,S,10.00,10.00,,,30.38,30.62,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-07,33.98,48.92,19.04,35.06,0.00,21.86,35.67,NW,6.00,10.00,,,30.05,30.35,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-08,28.94,39.02,15.08,24.08,3.45,12.66,,SW,10.00,10.00,,,30.19,30.39,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-09,35.96,51.08,24.08,39.92,0.00,10.36,19.56,SW,7.00,10.00,0.01,,30.00,30.17,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-10,44.06,57.92,39.02,55.94,0.00,32.22,39.13,W,1.00,10.00,0.89,,29.29,30.00,CLR,clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-11,39.92,51.80,19.94,39.02,12.66,41.43,54.09,W,7.00,10.00,0.00,,29.51,29.81,CLR,clear,OVC,overcast,-RA,light rain,SQ,squall,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-12,39.02,48.02,17.06,28.94,0.00,20.71,29.92,W,10.00,10.00,,,29.84,30.16,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KEWR,America/New_York,2000-01-13,19.04,39.02,1.94,33.98,0.00,23.02,37.98,N,0.50,10.00,0.03,,29.68,30.20,FEW,mostly clear,OVC,overcast,SN,snow,-SN,light snow,-SNDZ,light snow and drizzle,FG,fog,BR,mist,UP,unknown precipitation,,,,,,,,,,,,
