Call Sign (String),Time Zone ID (String),Taken At (UTC) (ISO 8601),Taken At (Local) (ISO 8601),Is Regular Report (Boolean),Is Correction (Boolean),Has Been Corrected (Boolean),Has Precipitation Sensor (Boolean),Source (String),Sub-Source (String),Report Type (String),Trend (String),Airport Status (String),Automatic Type (String),Temperature (°F),Temperature Precision (Integer),Temperature 6-Hour Low (°F),Temperature 6-Hour High (°F),Temperature 24-Hour Low (°F),Temperature 24-Hour High (°F),Dew Point (°F),Dew Point Precision (Integer),Wind Speed (mph),Wind Direction (degrees),Gust Speed (mph),CAVOK (Boolean),Visibility (mi),Visibility Type (String),Precipitation 1h (in),Precipitation 3h (in),Precipitation 6h (in),Precipitation 24h (in),Snow Depth (in),Pressure Altimeter (in Hg),Pressure Station (in Hg),Pressure Sea Level (in Hg),Max Cloud Layer Code (String),Max Cloud Layer Height (ft),Cloud Layer Code 1 (String),Cloud Layer Label 1 (String),Cloud Layer Height 1 (ft),Cloud Layer Code 2 (String),Cloud Layer Label 2 (String),Cloud Layer Height 2 (ft),Cloud Layer Code 3 (String),Cloud Layer Label 3 (String),Cloud Layer Height 3 (ft),Cloud Layer Code 4 (String),Cloud Layer Label 4 (String),Cloud Layer Height 4 (ft),Cloud Layer Code 5 (String),Cloud Layer Label 5 (String),Cloud Layer Height 5 (ft),Cloud Layer Code 6 (String),Cloud Layer Label 6 (String),Cloud Layer Height 6 (ft),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Raw (String)
KCLT,America/New_York,2010-01-01T05:01:00,2010-01-01T00:01:00,false,false,false,false,Ish,IS7,FM_16,,,,42.80,1,,,,,42.80,1,3.36,320.00,,false,0.50,,,,,,,30.03,30.03,,OVC,498.69,OVC,overcast,498.69,OVC,overcast,498.69,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T05:17:00,2010-01-01T00:17:00,false,false,false,false,Ish,IS7,FM_16,,,,42.80,1,,,,,41.00,1,3.36,310.00,,false,0.50,,,,,,,30.02,30.02,,OVC,298.56,OVC,overcast,298.56,OVC,overcast,298.56,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T05:52:00,2010-01-01T00:52:00,true,false,false,false,Ish,IS7,FM_15,,,,42.08,1,,,,,41.00,1,0.00,,,false,0.50,,0.00,,,,,30.01,30.01,30.01,OVC,298.56,OVC,overcast,298.56,OVC,overcast,298.56,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T06:00:00,2010-01-01T01:00:00,false,false,false,false,Ish,IS4,FM_12,,,,42.08,1,,,35.96,42.98,41.00,1,0.00,,,false,0.50,,,,,,,,,30.01,OVC,,OVC,overcast,,,,,,,,,,,,,,,,,IWC10,mist,,,,,,,,,,,
KCLT,America/New_York,2010-01-01T06:52:00,2010-01-01T01:52:00,true,false,false,false,Ish,IS7,FM_15,,,,41.00,1,,,,,39.92,1,4.70,310.00,,false,0.50,,0.00,,,,,30.01,30.01,30.02,OVC,298.56,OVC,overcast,298.56,OVC,overcast,298.56,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T07:52:00,2010-01-01T02:52:00,true,false,false,false,Ish,IS7,FM_15,,,,41.00,1,,,,,39.92,1,3.36,290.00,,false,0.50,,0.00,,,,,30.01,30.01,30.01,OVC,298.56,OVC,overcast,298.56,OVC,overcast,298.56,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T08:17:00,2010-01-01T03:17:00,false,false,false,false,Ish,IS7,FM_16,,,,41.00,1,,,,,41.00,1,0.00,,,false,0.50,,,,,,,30.01,30.01,,OVC,98.43,OVC,overcast,98.43,OVC,overcast,98.43,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T08:52:00,2010-01-01T03:52:00,true,false,false,false,Ish,IS7,FM_15,,,,41.00,1,,,,,41.00,1,4.70,290.00,,false,0.50,,0.00,,,,,30.01,30.01,30.01,OVC,98.43,OVC,overcast,98.43,OVC,overcast,98.43,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T09:00:00,2010-01-01T04:00:00,false,false,false,false,Ish,IS4,FM_12,,,,41.00,1,,,,,41.00,1,4.70,290.00,,false,0.50,,,,,,,,,30.01,OVC,,OVC,overcast,,,,,,,,,,,,,,,,,IWC10,mist,,,,,,,,,,,
KCLT,America/New_York,2010-01-01T09:52:00,2010-01-01T04:52:00,true,false,false,false,Ish,IS7,FM_15,,,,41.00,1,,,,,39.92,1,0.00,,,false,0.50,,0.00,,,,,29.99,29.99,29.99,OVC,98.43,OVC,overcast,98.43,OVC,overcast,98.43,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T10:40:00,2010-01-01T05:40:00,false,false,false,false,Ish,IS7,FM_16,,,,41.00,1,,,,,39.20,1,4.70,290.00,,false,0.50,,,,,,,30.00,30.00,,OVC,298.56,OVC,overcast,298.56,OVC,overcast,298.56,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T10:52:00,2010-01-01T05:52:00,true,false,false,false,Ish,IS7,FM_15,,,,39.92,1,,,,,39.02,1,3.36,290.00,,false,0.50,,0.00,,,,,30.00,30.00,30.00,OVC,298.56,OVC,overcast,298.56,OVC,overcast,298.56,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCLT,America/New_York,2010-01-01T11:29:00,2010-01-01T06:29:00,false,false,false,false,Ish,IS7,FM_16,,,,39.20,1,,,,,39.20,1,0.00,,,false,0.50,,,,,,,29.99,29.99,,OVC,98.43,OVC,overcast,98.43,OVC,overcast,98.43,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
