Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KCLT,America/New_York,2000-01-01,39.92,57.02,39.02,53.96,0.00,6.90,,,0.19,10.00,0.00,,30.17,30.27,CLR,clear,OVC,overcast,FG,fog,BR,mist,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-02,46.40,68.00,46.40,57.92,0.00,13.81,16.11,S,1.50,10.00,,,30.16,30.28,FEW,mostly clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-03,51.80,71.06,51.80,59.00,0.00,13.81,19.56,S,1.25,10.00,,,30.04,30.22,FEW,mostly clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-04,46.94,64.40,33.08,62.96,6.90,19.56,25.32,S,1.25,10.00,0.39,,29.76,30.02,CLR,clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-05,32.00,44.96,17.96,30.02,0.00,19.56,23.02,N,10.00,10.00,,,29.99,30.45,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-06,26.06,48.02,19.04,33.98,0.00,6.90,,NW,1.00,10.00,,,30.37,30.52,CLR,clear,OVC,overcast,HZ,haze,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-07,39.92,60.08,19.94,37.04,0.00,13.81,17.26,N,10.00,10.00,0.00,,30.28,30.37,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-08,28.04,51.98,21.92,41.00,0.00,11.51,,SE,8.00,10.00,0.03,,30.22,30.40,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-09,39.02,46.40,39.02,46.40,0.00,9.21,,N,0.50,9.00,0.37,,29.95,30.19,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-10,44.60,64.94,32.00,55.40,0.00,13.81,25.32,SW,0.25,10.00,0.70,,29.66,29.94,CLR,clear,VV,overcast,+TSRA,thunderstorm with heavy rain,TSRA,thunderstorm with rain,+RA,heavy rain,RA,rain,-RA,light rain,FG,fog,BR,mist,,,,,,,,,,
KCLT,America/New_York,2000-01-11,46.04,69.98,19.04,35.96,0.00,12.66,27.62,W,10.00,10.00,,,29.88,30.12,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-12,32.00,66.02,19.94,46.04,0.00,10.36,,S,10.00,10.00,,,30.09,30.26,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-13,37.04,71.96,10.94,51.98,5.75,20.71,28.77,SW,8.00,10.00,0.00,,29.96,30.37,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-14,26.96,42.98,1.04,19.04,0.00,14.96,18.41,NW,10.00,10.00,,,30.39,30.69,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-15,21.02,46.94,6.98,19.04,0.00,11.51,,S,10.00,10.00,,,30.47,30.70,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-16,39.92,62.06,17.06,46.94,0.00,12.66,23.02,SW,10.00,10.00,,,30.20,30.44,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-17,37.04,48.02,-2.02,44.96,0.00,17.26,20.71,NE,10.00,10.00,0.00,,30.25,30.44,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-18,28.40,37.94,8.96,32.00,0.00,9.21,,SE,0.25,10.00,0.15,,29.95,30.27,FEW,mostly clear,VV,overcast,-SN,light snow,-FZRAPL,light freezing rain and ice pellets,-FZRA,light freezing rain,FG,fog,FZFG,freezing fog,BR,mist,,,,,,,,,,,,
KCLT,America/New_York,2000-01-19,28.40,42.98,28.40,37.94,0.00,12.66,,SE,0.25,10.00,0.10,,29.71,30.08,FEW,mostly clear,VV,overcast,RA,rain,-RA,light rain,FG,fog,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-20,26.96,48.02,6.98,41.00,0.00,24.17,32.22,NW,1.50,10.00,0.09,,29.52,29.94,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2000-01-21,19.94,39.02,-0.94,10.94,0.00,11.51,18.41,NW,10.00,10.00,,,29.96,30.13,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
