Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KCLT,America/New_York,2010-01-01,30.92,50.00,19.04,42.80,0.00,14.99,18.34,NW,0.50,10.00,0.00,0.00,29.96,30.03,NCD,no cloud detected,VV,overcast,IWC44,fog,IWCA30,fog,FG,fog,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,
KCLT,America/New_York,2010-01-02,21.02,33.08,3.92,17.96,3.36,13.87,21.92,NW,9.94,10.00,0.00,0.00,30.02,30.17,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-03,15.98,33.08,-0.94,8.96,0.00,11.41,19.69,NW,9.94,10.00,0.00,0.00,30.05,30.14,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-04,17.96,37.94,6.08,10.94,4.70,11.41,16.11,NW,9.94,10.00,0.00,0.00,29.96,30.06,NCD,no cloud detected,NCD,no cloud detected,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-05,17.96,37.94,10.94,14.00,0.00,13.87,19.69,NW,9.94,10.00,0.00,0.00,29.99,30.07,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-06,19.94,39.92,10.94,15.98,0.00,11.41,,NW,9.94,10.00,0.00,0.00,30.05,30.12,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-07,19.04,46.04,12.02,33.08,0.00,20.80,27.74,SW,8.00,10.00,0.01,0.00,29.90,30.13,NCD,no cloud detected,OVC,overcast,IWC61,light rain,IWCA61,light rain,-RA,light rain,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-08,19.94,35.60,1.94,33.80,4.70,16.11,23.04,NW,9.00,10.00,0.00,0.00,29.88,30.20,NCD,no cloud detected,OVC,overcast,IWC61,light rain,IWCA61,light rain,-RA,light rain,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-09,15.98,37.04,6.08,10.04,3.36,12.75,19.69,N,9.94,10.00,0.00,0.00,30.17,30.28,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-10,17.06,37.94,3.92,12.02,0.00,11.41,,NW,9.94,10.00,0.00,0.00,30.28,30.40,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-11,17.06,42.98,8.06,17.96,0.00,11.41,17.22,SW,9.00,10.00,0.00,0.00,30.13,30.36,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-12,24.98,42.98,10.04,23.00,0.00,10.29,16.11,N,9.00,10.00,0.00,0.00,30.11,30.32,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-13,19.04,44.96,15.08,21.02,0.00,5.82,,S,6.84,10.00,0.00,0.00,30.26,30.42,NCD,no cloud detected,NCD,no cloud detected,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-14,19.94,53.96,17.06,28.04,0.00,8.05,,S,6.84,10.00,0.00,0.00,30.24,30.32,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-15,28.04,60.08,19.04,28.04,0.00,6.93,,S,6.00,10.00,0.00,0.00,30.25,30.32,NCD,no cloud detected,OVC,overcast,IWC05,haze,HZ,haze,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-16,28.94,57.02,23.00,44.96,0.00,8.05,,E,1.75,10.00,0.42,0.00,30.01,30.30,NCD,no cloud detected,OVC,overcast,IWC63,rain,IWCA62,rain,RA,rain,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWC10,mist,IWCA10,mist,BR,mist,,,,,,
KCLT,America/New_York,2010-01-17,46.94,57.92,44.60,53.60,0.00,17.22,23.04,E,0.50,10.00,1.23,0.00,29.57,29.96,FEW,mostly clear,OVC,overcast,IWC65,heavy rain,IWCA63,heavy rain,+RA,heavy rain,IWC63,rain,IWCA62,rain,RA,rain,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWCA51,light drizzle,-DZ,light drizzle,IWC51,light drizzle
KCLT,America/New_York,2010-01-18,42.08,62.96,37.04,44.96,0.00,6.93,,S,8.70,10.00,0.00,0.00,29.72,30.00,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-19,33.98,64.04,33.08,39.02,0.00,10.29,,S,4.97,10.00,0.00,0.00,29.93,30.03,NCD,no cloud detected,BKN,mostly cloudy,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-20,39.02,69.08,35.96,46.94,0.00,10.29,18.34,SW,9.94,10.00,0.00,0.00,29.84,29.97,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-21,35.06,53.06,33.08,46.04,4.70,16.11,23.04,NE,1.75,10.00,0.53,0.00,29.85,30.02,FEW,mostly clear,OVC,overcast,IWC63,rain,IWCA62,rain,RA,rain,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWCA10,mist,BR,mist,IWC10,mist,,,,,,
KCLT,America/New_York,2010-01-22,35.06,44.96,33.08,37.94,0.00,10.29,,N,2.00,10.00,0.01,0.00,29.79,30.02,NCD,no cloud detected,OVC,overcast,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,
KCLT,America/New_York,2010-01-23,39.02,48.92,30.02,39.20,0.00,13.87,,E,2.50,10.00,0.00,0.00,30.02,30.21,FEW,mostly clear,OVC,overcast,IWC51,light drizzle,IWCA51,light drizzle,-DZ,light drizzle,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,
KCLT,America/New_York,2010-01-24,41.00,64.40,32.00,62.60,3.36,26.40,36.91,S,0.50,10.00,1.70,0.00,29.42,30.09,FEW,mostly clear,OVC,overcast,IWC65,heavy rain,IWCA63,heavy rain,+RA,heavy rain,IWC63,rain,IWCA62,rain,RA,rain,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWC10,mist,IWCA10,mist,BR,mist
KCLT,America/New_York,2010-01-25,44.96,64.94,23.00,62.96,8.05,27.74,40.26,SW,1.49,10.00,0.31,0.00,29.40,29.76,FEW,mostly clear,OVC,overcast,IWC65,heavy rain,IWCA63,heavy rain,+RA,heavy rain,IWC63,rain,IWCA62,rain,RA,rain,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWC10,mist,IWCA10,mist,BR,mist
KCLT,America/New_York,2010-01-26,32.00,48.92,19.04,26.06,3.36,14.99,21.92,W,9.94,10.00,0.00,0.00,29.77,30.11,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-27,24.98,48.02,19.94,24.98,0.00,8.05,,W,9.94,10.00,0.00,0.00,30.11,30.30,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-28,30.02,62.96,23.00,33.98,0.00,11.41,,SW,9.94,10.00,0.00,0.00,30.10,30.27,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-01-29,30.92,44.06,12.02,30.20,3.36,11.41,20.80,NE,0.75,10.00,0.13,0.00,30.13,30.28,NCD,no cloud detected,OVC,overcast,IWC71,light snow,IWCA71,light snow,-SN,light snow,-SNPL,light snow and ice pellets,IWC79,ice pellets,IWCA74,light ice pellets,IWC10,mist,IWCA10,mist,BR,mist,,,,,,
KCLT,America/New_York,2010-01-30,23.00,30.92,15.98,28.40,5.82,19.69,26.40,NE,0.75,10.00,0.56,3.15,29.86,30.10,FEW,mostly clear,OVC,overcast,IWC73,snow,SNPL,snow and ice pellets,IWC71,light snow,IWCA71,light snow,-SN,light snow,-SNPL,light snow and ice pellets,IWC79,ice pellets,IWCA74,light ice pellets,-PL,light ice pellets,-FZRAPL,light freezing rain and ice pellets,IWC66,light freezing rain,IWCA64,light freezing rain
KCLT,America/New_York,2010-01-31,15.98,39.92,12.92,26.60,0.00,6.93,,S,7.00,10.00,0.00,3.15,30.01,30.29,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-02-01,21.02,48.02,19.04,30.92,0.00,5.82,,SE,4.00,10.00,0.00,1.97,30.22,30.37,NCD,no cloud detected,OVC,overcast,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-02-02,33.80,37.94,24.08,35.96,0.00,13.87,,N,1.25,10.00,0.53,0.00,29.97,30.22,FEW,mostly clear,OVC,overcast,IWC63,rain,IWCA62,rain,RA,rain,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWCA51,light drizzle,-DZ,light drizzle,IWC51,light drizzle,IWC10,mist,IWCA10,mist,BR,mist
KCLT,America/New_York,2010-02-03,33.80,51.08,26.96,37.94,0.00,9.17,,N,0.00,10.00,0.00,0.00,30.03,30.28,NCD,no cloud detected,VV,overcast,IWCA30,fog,FG,fog,IWC10,mist,IWCA10,mist,BR,mist,IWC41,patches of fog,IWC45,sky-obscuring fog,,,,,,,,,,
KCLT,America/New_York,2010-02-04,33.08,44.96,24.08,37.40,0.00,11.41,20.80,NE,2.98,10.00,0.07,0.00,30.28,30.40,FEW,mostly clear,OVC,overcast,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,
KCLT,America/New_York,2010-02-05,33.80,39.02,32.00,37.40,5.82,14.99,26.40,NE,1.50,10.00,2.01,0.00,29.52,30.28,FEW,mostly clear,OVC,overcast,IWC65,heavy rain,IWCA63,heavy rain,+RA,heavy rain,IWC63,rain,IWCA62,rain,RA,rain,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWC10,mist,IWCA10,mist,BR,mist
KCLT,America/New_York,2010-02-06,35.06,41.00,28.94,33.98,0.00,8.05,,N,3.00,10.00,0.00,0.00,29.53,29.90,FEW,mostly clear,OVC,overcast,IWC51,light drizzle,IWCA51,light drizzle,-DZ,light drizzle,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,,,,,,
KCLT,America/New_York,2010-02-07,28.94,42.98,24.80,30.02,0.00,4.70,,S,9.94,10.00,0.00,0.00,29.90,30.05,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-02-08,33.98,48.92,21.92,33.08,0.00,9.17,,E,8.70,10.00,0.00,0.00,30.05,30.16,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCLT,America/New_York,2010-02-09,37.04,42.98,30.02,39.20,0.00,11.41,,N,0.12,10.00,0.11,0.00,29.62,30.12,FEW,mostly clear,VV,overcast,IWC61,light rain,IWCA61,light rain,-RA,light rain,IWC51,light drizzle,IWCA51,light drizzle,-DZ,light drizzle,IWC44,fog,IWCA30,fog,FG,fog,IWC10,mist,IWCA10,mist,BR,mist
