Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KFAR,America/Chicago,2000-01-01,10.94,23.00,6.08,15.98,3.45,23.02,27.62,E,9.00,10.00,,,29.80,30.04,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-02,6.98,21.20,3.02,17.60,4.60,18.41,,N,10.00,10.00,,,29.79,30.10,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-03,-0.40,10.40,-5.80,8.60,6.90,20.71,,N,1.00,10.00,0.00,,30.11,30.27,FEW,mostly clear,OVC,overcast,-SN,light snow,-FZRA,light freezing rain,-RA,light rain,BR,mist,UP,unknown precipitation,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-04,-5.80,10.40,-13.00,3.20,0.00,19.56,23.02,S,7.00,10.00,,,29.97,30.27,CLR,clear,OVC,overcast,-SN,light snow,UP,unknown precipitation,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-05,12.20,30.20,3.20,24.80,10.36,24.17,33.37,S,1.25,10.00,0.00,,29.64,29.93,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-06,-2.20,15.80,-5.80,10.40,0.00,21.86,,W,0.75,10.00,,,29.91,30.26,CLR,clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-07,-2.92,28.94,-7.96,21.20,4.60,23.04,28.86,S,9.94,10.00,0.00,,29.79,30.25,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-08,17.60,39.20,14.00,28.40,4.60,13.81,,SW,10.00,10.00,,,29.64,29.77,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-09,21.20,33.80,19.40,26.60,4.60,13.81,,S,6.00,10.00,,,29.34,29.63,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2000-01-10,12.20,28.40,8.60,26.60,0.00,34.52,41.43,N,0.25,10.00,,,29.21,29.75,CLR,clear,VV,overcast,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,
