Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KFAR,America/Chicago,2013-01-01,-9.40,19.94,-14.80,15.08,0.00,14.96,,S,8.00,10.00,,,29.89,30.25,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-02,3.92,28.94,-2.02,21.92,4.60,25.32,32.22,N,7.00,10.00,0.00,,29.82,30.23,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-03,-4.00,21.92,-9.94,14.00,0.00,17.26,23.02,S,1.75,10.00,,,29.95,30.29,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-04,6.98,24.98,3.02,15.98,0.00,8.06,,SW,6.00,10.00,,,29.96,30.08,CLR,clear,CLR,clear,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-05,1.40,15.98,-2.92,10.04,0.00,19.56,,N,1.75,10.00,0.00,,29.92,30.12,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-06,3.92,17.06,-2.02,10.94,0.00,23.02,28.77,S,5.00,10.00,,,29.76,30.17,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-07,12.20,35.06,8.60,23.00,4.60,21.86,,SW,9.00,10.00,,,29.72,29.90,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-08,10.40,33.98,6.80,26.06,0.00,20.71,33.37,S,3.00,10.00,0.01,,29.64,29.87,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-09,19.40,32.00,12.20,23.00,4.60,25.32,35.67,W,9.00,10.00,0.00,,29.81,30.23,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFAR,America/Chicago,2013-01-10,28.94,42.98,21.02,32.00,17.26,31.07,40.28,S,1.75,10.00,0.03,,29.55,30.00,CLR,clear,OVC,overcast,-SN,light snow,-RA,light rain,BR,mist,UP,unknown precipitation,,,,,,,,,,,,,,,,
