Call Sign (String),Time Zone ID (String),Taken At (UTC) (ISO 8601),Taken At (Local) (ISO 8601),Is Regular Report (Boolean),Is Correction (Boolean),Has Been Corrected (Boolean),Has Precipitation Sensor (Boolean),Source (String),Sub-Source (String),Report Type (String),Trend (String),Airport Status (String),Automatic Type (String),Temperature (°F),Temperature Precision (Integer),Temperature 6-Hour Low (°F),Temperature 6-Hour High (°F),Temperature 24-Hour Low (°F),Temperature 24-Hour High (°F),Dew Point (°F),Dew Point Precision (Integer),Wind Speed (mph),Wind Direction (degrees),Gust Speed (mph),CAVOK (Boolean),Visibility (mi),Visibility Type (String),Precipitation 1h (in),Precipitation 3h (in),Precipitation 6h (in),Precipitation 24h (in),Snow Depth (in),Pressure Altimeter (in Hg),Pressure Station (in Hg),Pressure Sea Level (in Hg),Max Cloud Layer Code (String),Max Cloud Layer Height (ft),Cloud Layer Code 1 (String),Cloud Layer Label 1 (String),Cloud Layer Height 1 (ft),Cloud Layer Code 2 (String),Cloud Layer Label 2 (String),Cloud Layer Height 2 (ft),Cloud Layer Code 3 (String),Cloud Layer Label 3 (String),Cloud Layer Height 3 (ft),Cloud Layer Code 4 (String),Cloud Layer Label 4 (String),Cloud Layer Height 4 (ft),Cloud Layer Code 5 (String),Cloud Layer Label 5 (String),Cloud Layer Height 5 (ft),Cloud Layer Code 6 (String),Cloud Layer Label 6 (String),Cloud Layer Height 6 (ft),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Raw (String)
KCMH,America/New_York,2010-01-01T05:40:00,2010-01-01T00:40:00,false,false,false,false,Ish,IS7,FM_16,,,,33.80,1,,,,,30.20,1,8.05,260.00,,false,10.00,,0.00,,,,,30.03,30.03,,OVC,1699.48,FEW,mostly clear,800.52,OVC,overcast,1699.48,FEW,mostly clear,800.52,OVC,overcast,1699.48,OVC,overcast,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2010-01-01T05:51:00,2010-01-01T00:51:00,true,false,false,false,Ish,IS7,FM_15,,,,33.98,1,,,,,28.94,1,11.41,270.00,,false,10.00,,0.00,,0.00,,,30.03,30.03,30.05,OVC,1801.18,FEW,mostly clear,1099.08,OVC,overcast,1801.18,FEW,mostly clear,1099.08,OVC,overcast,1801.18,OVC,overcast,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2010-01-01T06:00:00,2010-01-01T01:00:00,false,false,false,false,Ish,IS4,FM_12,,,,33.98,1,,,33.08,35.06,28.94,1,11.41,270.00,,false,9.94,,,,0.00,,,,,30.05,OVC,,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2010-01-01T06:51:00,2010-01-01T01:51:00,true,false,false,false,Ish,IS7,FM_15,,,,33.98,1,,,,,28.04,1,17.22,280.00,,false,10.00,,0.00,,,,,30.03,30.03,30.05,OVC,2001.31,OVC,overcast,2001.31,OVC,overcast,2001.31,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2010-01-01T07:51:00,2010-01-01T02:51:00,true,false,false,false,Ish,IS7,FM_15,,,,32.00,1,,,,,26.96,1,12.75,300.00,20.80,false,7.00,,0.00,,,,,30.05,30.05,30.07,OVC,2001.31,BKN,mostly cloudy,1499.34,OVC,overcast,2001.31,BKN,mostly cloudy,1499.34,OVC,overcast,2001.31,OVC,overcast,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2010-01-01T08:11:00,2010-01-01T03:11:00,false,false,false,false,Ish,IS7,FM_16,,,,30.20,1,,,,,26.60,1,11.41,310.00,,false,5.00,,,,,,,30.06,30.06,,OVC,1299.21,OVC,overcast,1299.21,OVC,overcast,1299.21,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCMH,America/New_York,2010-01-01T08:51:00,2010-01-01T03:51:00,true,false,false,false,Ish,IS7,FM_15,,,,26.06,1,,,,,21.92,1,13.87,300.00,,false,5.00,,0.00,,,,,30.08,30.08,30.11,OVC,1000.66,OVC,overcast,1000.66,OVC,overcast,1000.66,OVC,overcast,,,,,,,,,,,IWC10,mist,IWCA10,mist,BR,mist,,,,,,,
KCMH,America/New_York,2010-01-01T09:51:00,2010-01-01T04:51:00,true,false,false,false,Ish,IS7,FM_15,,,,23.00,1,,,,,19.04,1,12.75,290.00,23.04,false,7.00,,0.00,,,,,30.10,30.10,30.12,OVC,1000.66,OVC,overcast,1000.66,OVC,overcast,1000.66,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2010-01-01T10:51:00,2010-01-01T05:51:00,true,false,false,false,Ish,IS7,FM_15,,,,21.92,1,,,,,15.98,1,12.75,280.00,,false,8.00,,0.00,,,,,30.11,30.11,30.13,OVC,1400.92,OVC,overcast,1400.92,OVC,overcast,1400.92,OVC,overcast,,,,,,,,,,,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,
KCMH,America/New_York,2010-01-01T11:51:00,2010-01-01T06:51:00,true,false,false,false,Ish,IS7,FM_15,,,,21.02,1,,,,,17.06,1,10.29,300.00,,false,5.00,,0.00,,0.00,,,30.12,30.12,30.15,OVC,1200.79,OVC,overcast,1200.79,OVC,overcast,1200.79,OVC,overcast,,,,,,,,,,,IWC10,mist,IWC71,light snow,IWCA10,mist,IWCA71,light snow,-SN,light snow,BR,mist,
KCMH,America/New_York,2010-01-01T12:00:00,2010-01-01T07:00:00,false,false,false,false,Ish,IS4,FM_12,,,,21.02,1,,,,35.96,17.06,1,10.29,300.00,,false,4.97,,,,0.00,,,,,30.15,OVC,,OVC,overcast,,,,,,,,,,,,,,,,,IWC71,light snow,,,,,,,,,,,
KCMH,America/New_York,2010-01-01T12:39:00,2010-01-01T07:39:00,false,false,false,false,Ish,IS7,FM_16,,,,21.20,1,,,,,15.80,1,10.29,300.00,,false,4.00,,0.00,,,,,30.12,30.12,,OVC,3100.39,BKN,mostly cloudy,1601.05,OVC,overcast,3100.39,BKN,mostly cloudy,1601.05,OVC,overcast,3100.39,OVC,overcast,,,,,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,
KCMH,America/New_York,2010-01-01T12:51:00,2010-01-01T07:51:00,true,false,false,false,Ish,IS7,FM_15,,,,21.02,1,,,,,15.98,1,13.87,280.00,,false,4.00,,0.00,,,,,30.13,30.13,30.15,OVC,3100.39,BKN,mostly cloudy,1601.05,OVC,overcast,3100.39,BKN,mostly cloudy,1601.05,OVC,overcast,3100.39,OVC,overcast,,,,,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,
KCMH,America/New_York,2010-01-01T13:51:00,2010-01-01T08:51:00,true,false,false,false,Ish,IS7,FM_15,,,,19.94,1,,,,,14.00,1,14.99,280.00,,false,5.00,,0.00,,,,,30.15,30.15,30.17,OVC,3599.08,BKN,mostly cloudy,1601.05,OVC,overcast,3599.08,BKN,mostly cloudy,1601.05,OVC,overcast,3599.08,OVC,overcast,,,,,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,
KCMH,America/New_York,2010-01-01T14:51:00,2010-01-01T09:51:00,true,false,false,false,Ish,IS7,FM_15,,,,19.94,1,,,,,14.00,1,11.41,290.00,20.80,false,4.00,,0.00,0.00,,,,30.16,30.16,30.19,OVC,4101.05,BKN,mostly cloudy,2001.31,BKN,mostly cloudy,3398.95,OVC,overcast,4101.05,BKN,mostly cloudy,2001.31,BKN,mostly cloudy,3398.95,OVC,overcast,4101.05,IWC71,light snow,IWCA71,light snow,-SN,light snow,,,,,,,
